Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.68421802e-01	2023-03-02T16:39:13.400835	5.12429800e-05	6.72669000e-07	7.61785960e+01	-2.99922200e-01	-2.96810800e-07	1.01048277e+06	1	-9.99886600e-01	-2.93820700e-07	3.40305023e+06
2.35129121e+00	2023-03-02T16:39:15.087205	7.63432700e-05	7.74380600e-07	9.85862378e+01	-2.99959700e-01	-5.89828600e-07	5.08554010e+05	1	-9.49839500e-01	-1.52592300e-07	6.22468827e+06
3.17588727e+00	2023-03-02T16:39:15.912748	1.09812800e-04	7.59359400e-07	1.44612419e+02	-2.99953300e-01	-6.82914700e-07	4.39225133e+05	1	-8.99866900e-01	-8.39316600e-08	1.07214238e+07
3.84785211e+00	2023-03-02T16:39:16.578154	5.96077600e-05	7.38073700e-07	8.07612573e+01	-2.99961700e-01	-6.98281700e-07	4.29571189e+05	1	-8.49915800e-01	-7.70277200e-08	1.10338953e+07
4.51972240e+00	2023-03-02T16:39:17.248158	7.63432700e-05	6.37090500e-07	1.19831123e+02	-2.99972100e-01	-6.48527800e-07	4.62543163e+05	1	-7.99962800e-01	6.26206400e-10	-1.27747465e+09
5.38046837e+00	2023-03-02T16:39:18.108860	7.63425300e-05	5.43326600e-07	1.40509465e+02	-2.99953300e-01	-5.70603900e-07	5.25676919e+05	1	-7.50010300e-01	7.56220400e-09	-9.91787976e+07
6.23847309e+00	2023-03-02T16:39:18.969811	7.63418000e-05	5.32746300e-07	1.43298602e+02	-2.99945000e-01	-5.79322000e-07	5.17751786e+05	1	-6.99928800e-01	2.16227100e-09	-3.23700776e+08
7.09797047e+00	2023-03-02T16:39:19.829818	7.63440100e-05	5.06106700e-07	1.50845681e+02	-2.99970100e-01	-5.44357200e-07	5.51053793e+05	1	-6.49895900e-01	4.47877300e-09	-1.45105791e+08
7.97268447e+00	2023-03-02T16:39:20.700706	4.28726800e-05	5.35210000e-07	8.01044076e+01	-2.99949000e-01	-5.69638300e-07	5.26560451e+05	1	-5.99905900e-01	6.67716100e-09	-8.98444563e+07
8.83222861e+00	2023-03-02T16:39:21.569226	9.30783900e-05	5.50848700e-07	1.68972696e+02	-2.99940900e-01	-5.85900000e-07	5.11931900e+05	1	-5.49864800e-01	6.32146300e-09	-8.69837884e+07
9.70724674e+00	2023-03-02T16:39:22.444281	9.30750000e-05	5.81714100e-07	1.60001279e+02	-2.99957400e-01	-6.17859500e-07	4.85478333e+05	1	-4.99943400e-01	-5.37194000e-09	9.30657081e+07
1.05667595e+01	2023-03-02T16:39:23.304335	9.30783900e-05	5.63209600e-07	1.65264211e+02	-2.99980500e-01	-5.96730400e-07	5.02706918e+05	1	-4.49908300e-01	4.63089600e-09	-9.71536178e+07
1.14261189e+01	2023-03-02T16:39:24.163389	4.28732000e-05	5.88776900e-07	7.28173948e+01	-2.99940900e-01	-6.19852300e-07	4.83890920e+05	1	-3.99910600e-01	4.79679700e-09	-8.33703407e+07
1.22859802e+01	2023-03-02T16:39:25.023443	8.47112000e-05	5.37064500e-07	1.57730031e+02	-2.99953300e-01	-5.77031400e-07	5.19821452e+05	1	-3.49972100e-01	-2.32144000e-07	1.50756470e+06
1.34921847e+01	2023-03-02T16:39:26.229520	7.63418000e-05	1.43479100e-06	5.32076100e+01	-2.99945000e-01	-1.40084600e-06	2.14117041e+05	1	-2.99896200e-01	2.93047300e-09	-1.02337131e+08
1.43632126e+01	2023-03-02T16:39:27.100575	5.96096200e-05	1.38863700e-06	4.29267116e+01	-2.99953300e-01	-1.39726800e-06	2.14671273e+05	1	-2.50025300e-01	3.90729800e-10	-6.39893092e+08
1.52229759e+01	2023-03-02T16:39:27.960629	8.47104100e-05	1.31877000e-06	6.42344078e+01	-2.99930600e-01	-1.42151900e-06	2.10993029e+05	1	-1.99782400e-01	1.43840300e-08	-1.38891813e+07
1.61135943e+01	2023-03-02T16:39:28.850685	7.63425300e-05	1.26740600e-06	6.02352601e+01	-2.99923900e-01	-1.32049100e-06	2.27130590e+05	1	-1.49887300e-01	3.32824200e-08	-4.50349764e+06
1.69728579e+01	2023-03-02T16:39:29.710739	4.28732000e-05	1.05336900e-06	4.07010269e+01	-2.99934300e-01	-1.11745200e-06	2.68409113e+05	1	-9.99802800e-02	2.41892400e-08	-4.13325429e+06
