Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

4.64227090e-01	2023-03-02T17:34:13.676409	-5.99897300e-01	-2.36650500e-08	2.53495049e+07	-6.00015100e-01	-1.04796100e-04	5.72554799e+03
1.58705446e+00	2023-03-02T17:34:14.801809	-5.99905400e-01	-4.36282100e-08	1.37504014e+07	-5.74936300e-01	-1.04754000e-04	5.48844245e+03
2.25992418e+00	2023-03-02T17:34:15.477188	-5.99914300e-01	-4.41627000e-08	1.35841853e+07	-5.49985200e-01	-1.04782100e-04	5.24884689e+03
2.94685477e+00	2023-03-02T17:34:16.165892	-5.99901600e-01	-2.58876600e-08	2.31732648e+07	-5.24957500e-01	-1.04742100e-04	5.01190543e+03
3.60497821e+00	2023-03-02T17:34:16.825241	-5.99901600e-01	-4.01867000e-08	1.49278642e+07	-4.99966700e-01	-1.04742100e-04	4.77331178e+03
4.08728981e+00	2023-03-02T17:34:17.307525	-5.99910300e-01	-5.40712100e-08	1.10948192e+07	-4.74927300e-01	-1.04820600e-04	4.53085844e+03
4.58902737e+00	2023-03-02T17:34:17.809560	-5.99851700e-01	-5.70426900e-08	1.05158382e+07	-4.49917200e-01	-1.04749100e-04	4.29518917e+03
5.08801002e+00	2023-03-02T17:34:18.308595	-5.99872500e-01	-5.96681800e-08	1.00534741e+07	-4.24933500e-01	-1.04754000e-04	4.05648949e+03
5.58810543e+00	2023-03-02T17:34:18.808630	-5.99914600e-01	-6.40477500e-08	9.36667721e+06	-3.99928100e-01	-1.04788400e-04	3.81653026e+03
6.08709593e+00	2023-03-02T17:34:19.307664	-5.99905900e-01	-6.92034500e-08	8.66872822e+06	-3.74917100e-01	-1.04782800e-04	3.57804048e+03
6.58788049e+00	2023-03-02T17:34:19.808699	-5.99902200e-01	-7.87759900e-08	7.61529243e+06	-3.49962400e-01	-1.04761000e-04	3.34057903e+03
7.08751612e+00	2023-03-02T17:34:20.307733	-5.99897900e-01	-8.17192300e-08	7.34096369e+06	-3.24956100e-01	-1.04751900e-04	3.10214994e+03
7.58714389e+00	2023-03-02T17:34:20.807769	-5.99918300e-01	-8.90800200e-08	6.73459997e+06	-2.99915600e-01	-1.04725300e-04	2.86383138e+03
8.08709150e+00	2023-03-02T17:34:21.307803	-5.99926400e-01	-9.68102000e-08	6.19693379e+06	-2.75014800e-01	-2.18053200e-05	1.26122799e+04
8.71629617e+00	2023-03-02T17:34:21.936847	-5.99938800e-01	-1.34520800e-07	4.45982183e+06	-2.49941200e-01	-3.30644000e-05	7.55922382e+03
9.21416027e+00	2023-03-02T17:34:22.434882	-5.99914300e-01	-9.95846900e-08	6.02416195e+06	-2.24923100e-01	-3.03622500e-05	7.40798524e+03
9.71211415e+00	2023-03-02T17:34:22.932916	-5.99935400e-01	-1.15592800e-07	5.19007585e+06	-1.99910400e-01	-2.44508200e-05	8.17602027e+03
