Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.26738049e+02	2023-03-02T17:36:19.959294	2.00106200e-01	2.39370700e-07	8.35967811e+05	-5.99910700e-01	-2.36926500e-07	2.53205403e+06
1.27541556e+02	2023-03-02T17:36:20.763345	2.00030900e-01	2.11905500e-07	9.43962757e+05	-5.74870700e-01	-2.08805700e-07	2.75313701e+06
1.28196620e+02	2023-03-02T17:36:21.418386	2.00035200e-01	1.69414500e-07	1.18074427e+06	-5.49942400e-01	-1.85738600e-07	2.96084067e+06
1.28853637e+02	2023-03-02T17:36:22.075427	2.00066000e-01	1.56654000e-07	1.27712028e+06	-5.24958900e-01	-1.67639100e-07	3.13148245e+06
1.29368526e+02	2023-03-02T17:36:22.589460	2.00142300e-01	1.66020700e-07	1.20552618e+06	-4.99966700e-01	-1.50918900e-07	3.31281702e+06
1.30024794e+02	2023-03-02T17:36:23.246501	2.00127000e-01	1.53611300e-07	1.30281431e+06	-4.74920200e-01	-1.27970600e-07	3.71116647e+06
1.30681050e+02	2023-03-02T17:36:23.902543	2.00039300e-01	1.06310800e-07	1.88164608e+06	-4.49956000e-01	-1.07249700e-07	4.19540567e+06
1.31337242e+02	2023-03-02T17:36:24.558584	2.00011500e-01	6.68138200e-08	2.99356480e+06	-4.24916500e-01	-8.53296500e-08	4.97970518e+06
1.31993399e+02	2023-03-02T17:36:25.214626	2.00047600e-01	5.44895300e-08	3.67130346e+06	-3.99919700e-01	-6.50895500e-08	6.14414603e+06
1.32649706e+02	2023-03-02T17:36:25.870667	2.00137000e-01	6.16785900e-08	3.24483747e+06	-3.74912100e-01	-4.97969700e-08	7.52881350e+06
1.33305883e+02	2023-03-02T17:36:26.527709	2.00124300e-01	5.84106000e-08	3.42616409e+06	-3.49961400e-01	-3.15734600e-08	1.10840370e+07
1.34150432e+02	2023-03-02T17:36:27.371762	2.00075400e-01	1.85987900e-08	1.07574417e+07	-3.24958300e-01	-1.81743900e-08	1.78800114e+07
1.35181041e+02	2023-03-02T17:36:28.402828	2.00060000e-01	1.44391400e-08	1.38553958e+07	-2.99959400e-01	-1.00156800e-08	2.99489800e+07
1.36054322e+02	2023-03-02T17:36:29.275882	2.00078100e-01	9.31691400e-09	2.14747179e+07	-2.74988700e-01	-6.79570600e-09	4.04650672e+07
1.36743480e+02	2023-03-02T17:36:29.964926	2.00094800e-01	6.96697800e-09	2.87204581e+07	-2.49947900e-01	-6.02735800e-09	4.14688990e+07
1.37467966e+02	2023-03-02T17:36:30.688972	2.00039300e-01	5.34001700e-09	3.74604238e+07	-2.24955100e-01	-3.75667500e-09	5.98814377e+07
1.38166608e+02	2023-03-02T17:36:31.388015	2.00112900e-01	2.01931700e-09	9.90992994e+07	-1.99907400e-01	-4.03754500e-09	4.95121169e+07
1.38869280e+02	2023-03-02T17:36:32.091061	2.00125600e-01	1.29184900e-09	1.54914081e+08	-1.74870100e-01	-2.36310800e-09	7.40000457e+07
