Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.59383907e+02	2023-03-06T17:20:04.334386	6.79747800e-05	8.39657800e-05	8.09553368e-01	-6.99927200e-01	-8.34374800e-05	8.38864261e+03	-1.49995700e+00	1.06816900e-09	-1.40423191e+09
2.59915095e+02	2023-03-06T17:20:04.865417	6.79747800e-05	8.36203200e-05	8.12897870e-01	-6.99916900e-01	-8.34344100e-05	8.38882782e+03	-1.44992800e+00	8.89021500e-10	-1.63092569e+09
2.60633861e+02	2023-03-06T17:20:05.584457	7.63432700e-05	8.36461200e-05	9.12693500e-01	-6.99909500e-01	-8.33990800e-05	8.39229282e+03	-1.39991100e+00	-6.55062200e-11	2.13706576e+10
2.61336964e+02	2023-03-06T17:20:06.287497	6.79754600e-05	8.38426800e-05	8.10750086e-01	-6.99925200e-01	-8.34873800e-05	8.38360480e+03	-1.35000600e+00	-1.02927400e-09	1.31160993e+09
2.62040526e+02	2023-03-06T17:20:06.990538	8.47080500e-05	8.38805500e-05	1.00986522e+00	-6.99887000e-01	-8.36399100e-05	8.36785932e+03	-1.29994900e+00	-4.18722000e-10	3.10456341e+09
2.62774155e+02	2023-03-06T17:20:07.724579	5.96083700e-05	8.38822200e-05	7.10619843e-01	-6.99914300e-01	-8.36477500e-05	8.36740139e+03	-1.24997900e+00	7.03172500e-10	-1.77762782e+09
2.63493174e+02	2023-03-06T17:20:08.443620	7.63418000e-05	8.39915900e-05	9.08921953e-01	-6.99915700e-01	-8.37139100e-05	8.36080527e+03	-1.19995000e+00	1.39404800e-09	-8.60766631e+08
2.64211955e+02	2023-03-06T17:20:09.161661	8.47056700e-05	8.40277600e-05	1.00806769e+00	-6.99899000e-01	-8.38574500e-05	8.34629481e+03	-1.14996300e+00	4.67259600e-10	-2.46107945e+09
2.64914970e+02	2023-03-06T17:20:09.864701	6.79741100e-05	8.41634900e-05	8.07643671e-01	-6.99927800e-01	-8.38664300e-05	8.34574454e+03	-1.09995200e+00	-3.56897900e-10	3.08197947e+09
2.65618211e+02	2023-03-06T17:20:10.568741	7.63440100e-05	8.41623500e-05	9.07104067e-01	-6.99915300e-01	-8.40346400e-05	8.32889032e+03	-1.04988700e+00	-1.33157400e-09	7.88455617e+08
2.66321335e+02	2023-03-06T17:20:11.271781	7.63418000e-05	8.41575800e-05	9.07129221e-01	-6.99876000e-01	-8.41176100e-05	8.32020786e+03	-9.99925200e-01	-7.10970300e-10	1.40642331e+09
2.67024340e+02	2023-03-06T17:20:11.974822	6.79774800e-05	8.43894900e-05	8.05520687e-01	-6.99917900e-01	-8.41476200e-05	8.31773852e+03	-9.49900000e-01	2.43979500e-10	-3.89335989e+09
2.67729006e+02	2023-03-06T17:20:12.678862	6.79734300e-05	8.44963400e-05	8.04454134e-01	-6.99980200e-01	-8.42045400e-05	8.31285582e+03	-8.99901200e-01	1.26074100e-09	-7.13787527e+08
2.68430730e+02	2023-03-06T17:20:13.380901	6.79747800e-05	8.44200700e-05	8.05196916e-01	-6.99917900e-01	-8.41248900e-05	8.31998592e+03	-8.49890600e-01	5.89211800e-10	-1.44241952e+09
2.69149636e+02	2023-03-06T17:20:14.099942	6.79768000e-05	8.45594300e-05	8.03893782e-01	-6.99921500e-01	-8.41644400e-05	8.31611902e+03	-7.99921000e-01	1.25021100e-09	-6.39828797e+08
2.69852468e+02	2023-03-06T17:20:14.802983	6.79761400e-05	8.45389700e-05	8.04080532e-01	-6.99917900e-01	-8.42838900e-05	8.30429042e+03	-7.49952000e-01	1.34526100e-09	-5.57476951e+08
2.70571208e+02	2023-03-06T17:20:15.521024	1.01445600e-04	8.45714900e-05	1.19952480e+00	-6.99924100e-01	-8.43548100e-05	8.29738221e+03	-6.99889500e-01	1.11144900e-09	-6.29709055e+08
2.71290210e+02	2023-03-06T17:20:16.240064	8.47096200e-05	8.45588700e-05	1.00178278e+00	-6.99940900e-01	-8.44010700e-05	8.29303349e+03	-6.49904200e-01	5.93828400e-10	-1.09443098e+09
2.71993100e+02	2023-03-06T17:20:16.943104	6.79741100e-05	8.46785700e-05	8.02730963e-01	-6.99916900e-01	-8.44523300e-05	8.28771569e+03	-5.99918300e-01	1.10242800e-11	-5.44179121e+10
