Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

6.77085068e-01	2023-03-06T17:22:28.004080	6.79768000e-05	-1.08169300e-03	-6.28429693e-02	3.00101700e-01	1.06664700e-03	2.81350531e+02	-9.99940100e-01	-1.33832800e-09	7.47156228e+08
1.65401708e+00	2023-03-06T17:22:28.984082	5.96096200e-05	-1.08556600e-03	-5.49110971e-02	3.00099400e-01	1.08962700e-03	2.75414798e+02	-9.49903500e-01	-9.17843900e-10	1.03492925e+09
2.38792083e+00	2023-03-06T17:22:29.724082	6.79761400e-05	-1.09535500e-03	-6.20585472e-02	3.00118100e-01	1.09678800e-03	2.73633647e+02	-8.99909700e-01	3.84431700e-10	-2.34088318e+09
3.10677383e+00	2023-03-06T17:22:30.434083	6.79734300e-05	-1.09408500e-03	-6.21281070e-02	3.00074600e-01	1.10269700e-03	2.72127883e+02	-8.49909500e-01	1.25232200e-09	-6.78666908e+08
3.82552272e+00	2023-03-06T17:22:31.154083	7.63425300e-05	-1.11165100e-03	-6.86749079e-02	3.00089000e-01	1.11471500e-03	2.69206927e+02	-7.99951500e-01	3.14623000e-10	-2.54257159e+09
4.52854536e+00	2023-03-06T17:22:31.864734	6.79754600e-05	-1.11887000e-03	-6.07536711e-02	3.00072500e-01	1.12222600e-03	2.67390437e+02	-7.49948500e-01	7.86858400e-10	-9.53092068e+08
5.24729050e+00	2023-03-06T17:22:32.583775	5.96071300e-05	-1.12421800e-03	-5.30209710e-02	3.00116100e-01	1.12741400e-03	2.66198663e+02	-6.99957500e-01	1.23088600e-09	-5.68661517e+08
5.96631757e+00	2023-03-06T17:22:33.302816	7.63418000e-05	-1.12837800e-03	-6.76562287e-02	3.00091000e-01	1.13098800e-03	2.65335264e+02	-6.49863100e-01	7.07338400e-11	-9.18744267e+09
6.70056061e+00	2023-03-06T17:22:34.036857	7.63425300e-05	-1.13188800e-03	-6.74470707e-02	3.00095300e-01	1.13457700e-03	2.64499721e+02	-5.99927000e-01	-6.04602900e-11	9.92266163e+09
7.45054286e+00	2023-03-06T17:22:34.786900	6.79754600e-05	-1.13462200e-03	-5.99102256e-02	3.00099400e-01	1.13747100e-03	2.63830375e+02	-5.49911300e-01	1.31539600e-09	-4.18057604e+08
8.18478486e+00	2023-03-06T17:22:35.520942	7.63418000e-05	-1.13690800e-03	-6.71486171e-02	3.00091000e-01	1.14002000e-03	2.63233101e+02	-4.99908200e-01	-1.31939700e-09	3.78891418e+08
8.93525829e+00	2023-03-06T17:22:36.271985	6.79747800e-05	-1.13961100e-03	-5.96473534e-02	3.00091000e-01	1.14250900e-03	2.62659638e+02	-4.49941000e-01	1.29940800e-09	-3.46266146e+08
9.68491013e+00	2023-03-06T17:22:37.021028	6.79741100e-05	-1.14186400e-03	-5.95290770e-02	3.00118100e-01	1.14431700e-03	2.62268323e+02	-3.99904900e-01	-1.30635400e-09	3.06122919e+08
1.04349306e+01	2023-03-06T17:22:37.771070	6.79747800e-05	-1.14334300e-03	-5.94526577e-02	3.00103700e-01	1.14624400e-03	2.61814849e+02	-3.49931600e-01	2.59958400e-10	-1.34610615e+09
1.11695061e+01	2023-03-06T17:22:38.506112	9.30767000e-05	-1.14538900e-03	-8.12620865e-02	3.00130800e-01	1.14816200e-03	2.61401091e+02	-2.99881200e-01	8.16263700e-10	-3.67382747e+08
1.19037966e+01	2023-03-06T17:22:39.240154	1.01442900e-04	-1.14688000e-03	-8.84511893e-02	3.00107700e-01	1.14974100e-03	2.61022004e+02	-2.49861300e-01	3.81482000e-10	-6.54975333e+08
1.26380454e+01	2023-03-06T17:22:39.974196	5.12418500e-05	-1.14791200e-03	-4.46391797e-02	3.00093300e-01	1.15080000e-03	2.60769291e+02	-1.99888700e-01	7.89772700e-10	-2.53096492e+08
1.34039280e+01	2023-03-06T17:22:40.740239	7.63432700e-05	-1.14925800e-03	-6.64283129e-02	3.00078600e-01	1.15204600e-03	2.60474495e+02	-1.49912400e-01	1.27128100e-09	-1.17922316e+08
1.41850327e+01	2023-03-06T17:22:41.521284	5.96096200e-05	-1.15053500e-03	-5.18103491e-02	3.00120100e-01	1.15308600e-03	2.60275556e+02	-9.99384600e-02	-1.26934300e-09	7.87324309e+07
