Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

4.45294497e+01	2023-03-06T16:03:55.089215	-3.99893900e-01	-3.13171400e-10	1.27691705e+09	-5.99890000e-01	-7.89433700e-11	7.59899153e+09
4.52478509e+01	2023-03-06T16:03:55.808259	-3.99885200e-01	-3.79187300e-10	1.05458490e+09	-5.74925300e-01	2.47368200e-10	-2.32416818e+09
4.59528786e+01	2023-03-06T16:03:56.513305	-3.99918600e-01	1.76694900e-10	-2.26332848e+09	-5.49973100e-01	1.65562900e-09	-3.32183780e+08
4.66544258e+01	2023-03-06T16:03:57.214349	-3.99891200e-01	4.23528300e-10	-9.44190034e+08	-5.24932400e-01	4.73589800e-10	-1.10841154e+09
4.73574001e+01	2023-03-06T16:03:57.917393	-3.99885500e-01	1.59451700e-10	-2.50787856e+09	-4.99983500e-01	-4.81360700e-10	1.03868783e+09
4.80609597e+01	2023-03-06T16:03:58.621438	-3.99904900e-01	-2.26130300e-10	1.76847110e+09	-4.74909400e-01	-1.41446600e-09	3.35751725e+08
4.87637708e+01	2023-03-06T16:03:59.323482	-3.99899500e-01	-4.66647900e-10	8.56961962e+08	-4.49921800e-01	3.11698400e-10	-1.44345239e+09
4.94667697e+01	2023-03-06T16:04:00.026526	-3.99913300e-01	-5.12092500e-11	7.80939576e+09	-4.24905500e-01	1.38693800e-09	-3.06362289e+08
5.01699054e+01	2023-03-06T16:04:00.729570	-3.99921900e-01	3.17981700e-10	-1.25768841e+09	-3.99925100e-01	9.30689400e-10	-4.29708451e+08
5.08730148e+01	2023-03-06T16:04:01.433615	-3.99877100e-01	2.57010500e-10	-1.55587846e+09	-3.74930600e-01	7.87706400e-10	-4.75977598e+08
5.17503141e+01	2023-03-06T16:04:02.310671	-3.99899200e-01	2.16645200e-10	-1.84587150e+09	-3.49962400e-01	1.12071900e-09	-3.12265965e+08
5.24525129e+01	2023-03-06T16:04:03.012715	-3.99916000e-01	1.89730000e-10	-2.10781637e+09	-3.24941200e-01	9.97542800e-10	-3.25741612e+08
5.33105207e+01	2023-03-06T16:04:03.870769	-3.99908200e-01	3.28911700e-10	-1.21585277e+09	-2.99963700e-01	8.02440900e-10	-3.73814072e+08
5.41699283e+01	2023-03-06T16:04:04.729823	-3.99893900e-01	3.16307600e-10	-1.26425638e+09	-2.74972000e-01	8.47014800e-10	-3.24636594e+08
5.50293376e+01	2023-03-06T16:04:05.589877	-3.99907900e-01	3.00326100e-10	-1.33157891e+09	-2.49986400e-01	8.02861500e-10	-3.11369271e+08
5.58887838e+01	2023-03-06T16:04:06.448932	-3.99907600e-01	2.76350600e-10	-1.44710234e+09	-2.24972600e-01	7.12862700e-10	-3.15590365e+08
5.67480944e+01	2023-03-06T16:04:07.307986	-3.99868700e-01	1.03954100e-10	-3.84658902e+09	-1.99936800e-01	6.43068300e-10	-3.10910676e+08
