Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.39415971e+02	2023-03-10T19:22:48.566773	1.34905400e-04	-4.12375300e-08	-3.27142290e+03	-2.99928800e-01	-1.65801200e-07	1.80896640e+06	1	8.00260900e-01	2.72467000e-07	2.93709293e+06
3.40337692e+02	2023-03-10T19:22:49.488837	8.47088300e-05	-2.58339700e-08	-3.27897067e+03	-2.99976400e-01	-1.53454800e-07	1.95481927e+06	1	7.50129800e-01	1.17717500e-07	6.37228789e+06
3.41338628e+02	2023-03-10T19:22:50.489906	1.34909900e-04	-1.66485900e-08	-8.10338293e+03	-2.99978700e-01	-1.45004800e-07	2.06875014e+06	1	7.00258100e-01	2.38082100e-07	2.94124632e+06
3.42091547e+02	2023-03-10T19:22:51.242959	-7.32861800e-06	-8.73073800e-09	8.39404183e+02	-2.99936300e-01	-1.29816800e-07	2.31045828e+06	1	6.49938300e-01	5.97125800e-08	1.08844451e+07
3.42846910e+02	2023-03-10T19:22:51.998013	1.09809000e-04	-7.40956000e-09	-1.48199083e+04	-2.99961700e-01	-1.20965400e-07	2.47973139e+06	1	6.00109100e-01	2.08230600e-07	2.88194482e+06
3.43603063e+02	2023-03-10T19:22:52.754065	4.28762400e-05	-7.00274000e-09	-6.12278051e+03	-2.99934600e-01	-1.05736700e-07	2.83661775e+06	1	5.50019300e-01	7.12130300e-08	7.72357671e+06
3.44401049e+02	2023-03-10T19:22:53.552120	1.51645100e-04	-5.96700600e-09	-2.54139346e+04	-2.99957700e-01	-9.67120500e-08	3.10155456e+06	1	4.99968200e-01	5.87577800e-08	8.50897022e+06
3.45478347e+02	2023-03-10T19:22:54.629195	9.30783900e-05	-3.27078700e-09	-2.84574905e+04	-2.99926200e-01	-8.65920400e-08	3.46366941e+06	1	4.50232800e-01	1.78665500e-07	2.51997616e+06
3.46228333e+02	2023-03-10T19:22:55.379246	7.63432700e-05	-2.04941500e-09	-3.72512497e+04	-2.99909500e-01	-7.20506100e-08	4.16248384e+06	1	3.99998700e-01	4.91331100e-08	8.14112317e+06
3.47322132e+02	2023-03-10T19:22:56.473323	8.47088300e-05	-8.99439900e-10	-9.41795333e+04	-2.99951400e-01	-6.53851800e-08	4.58745239e+06	1	3.50257500e-01	1.05477700e-07	3.32067821e+06
3.48076694e+02	2023-03-10T19:22:57.227375	7.63418000e-05	1.37949900e-09	5.53402358e+04	-2.99953300e-01	-5.28550400e-08	5.67501794e+06	1	3.00165600e-01	9.41828100e-08	3.18705292e+06
3.48806448e+02	2023-03-10T19:22:57.957426	7.63432700e-05	1.03720000e-08	7.36051581e+03	-2.99930300e-01	-4.43806100e-08	6.75813830e+06	1	2.50335400e-01	1.74414600e-08	1.43528925e+07
3.49915607e+02	2023-03-10T19:22:59.066503	6.79747800e-05	6.13460400e-08	1.10805490e+03	-2.99921900e-01	-3.48121900e-08	8.61542753e+06	1	2.00251100e-01	2.59002700e-08	7.73162210e+06
3.51181611e+02	2023-03-10T19:23:00.332592	6.79754600e-05	1.38989200e-07	4.89070086e+02	-2.99940900e-01	-1.13179100e-06	2.65014389e+05	1	1.50638800e-01	2.79109900e-08	5.39711418e+06
3.52712746e+02	2023-03-10T19:23:01.863697	8.47072500e-05	1.10593200e-05	7.65935428e+00	-2.99995200e-01	-1.28609800e-05	2.33259985e+04	1	1.00112700e-01	5.82156900e-09	1.71968588e+07
3.53994147e+02	2023-03-10T19:23:03.145787	8.47112000e-05	3.52360200e-05	2.40410807e+00	-2.99943000e-01	-3.54414900e-05	8.46304712e+03	1	4.99985000e-02	9.72714700e-10	5.14009915e+07
3.54900454e+02	2023-03-10T19:23:04.051850	1.01447400e-04	6.97870300e-05	1.45367126e+00	-2.99928600e-01	-6.98422900e-05	4.29436950e+03	1	3.68775800e-05	1.94145700e-09	1.89947962e+04
3.56040809e+02	2023-03-10T19:23:05.191930	6.79754600e-05	1.11150000e-04	6.11565092e-01	-2.99959700e-01	-1.11086000e-04	2.70024756e+03	1	-4.99110100e-02	-1.37976600e-08	3.61735323e+06
3.56917026e+02	2023-03-10T19:23:06.067991	7.63418000e-05	1.57770600e-04	4.83878492e-01	-2.99959700e-01	-1.57841500e-04	1.90038551e+03	1	-9.99900000e-02	-9.12212300e-09	1.09612642e+07
