Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.34400899e+02	2023-03-10T20:08:56.204649	1.26545000e-04	-2.80856500e-08	-4.50568173e+03	-9.99407900e-02	-1.11114000e-07	8.99443724e+05	3	1.00012300e+00	1.11491400e-07	8.97040489e+06
1.34801042e+02	2023-03-10T20:08:56.604677	1.09810900e-04	-1.05430700e-08	-1.04154577e+04	-9.99227100e-02	-6.97401400e-08	1.43278620e+06	3	9.50168800e-01	7.52164200e-08	1.26324651e+07
1.35538068e+02	2023-03-10T20:08:57.341729	5.96077600e-05	-2.99156800e-09	-1.99252566e+04	-9.98842600e-02	-4.37392000e-08	2.28363253e+06	3	9.00122300e-01	6.23932200e-08	1.44266044e+07
1.36473625e+02	2023-03-10T20:08:58.277793	3.45071300e-05	-1.58251200e-09	-2.18052880e+04	-9.99163700e-02	-2.14493900e-08	4.65823830e+06	3	8.50277500e-01	4.21781500e-08	2.01591938e+07
1.37431501e+02	2023-03-10T20:08:59.234860	7.63425300e-05	-2.12383400e-09	-3.59456200e+04	-9.98982900e-02	-1.31814400e-08	7.57870840e+06	3	7.99979400e-01	2.68056200e-08	2.98437193e+07
1.38396152e+02	2023-03-10T20:09:00.199927	9.30775400e-05	-6.26471600e-10	-1.48574237e+05	-9.99826300e-02	-6.46749400e-09	1.54592536e+07	3	7.50339000e-01	1.17635700e-08	6.37849734e+07
1.39365571e+02	2023-03-10T20:09:01.168995	1.18182000e-04	9.74281300e-09	1.21301723e+04	-9.99150200e-02	-5.48323000e-09	1.82219276e+07	3	7.00232000e-01	7.94404100e-10	8.81455672e+08
1.40145226e+02	2023-03-10T20:09:01.949049	7.63410700e-05	4.67316600e-08	1.63360493e+03	-9.99401200e-02	-3.24904000e-09	3.07598922e+07	3	6.50059800e-01	1.11184500e-08	5.84667647e+07
1.41115032e+02	2023-03-10T20:09:02.919116	9.30775400e-05	4.21526300e-08	2.20810754e+03	-9.99150200e-02	-2.04228100e-08	4.89232481e+06	3	6.00084000e-01	1.03585400e-08	5.79313301e+07
1.42379549e+02	2023-03-10T20:09:04.183204	1.09811800e-04	1.79595900e-07	6.11438234e+02	-9.99394500e-02	-5.25686800e-07	1.90112154e+05	3	5.50174600e-01	6.80433700e-09	8.08564596e+07
1.43754678e+02	2023-03-10T20:09:05.558300	1.01444700e-04	2.68433600e-06	3.77913570e+01	-9.99331100e-02	-2.71101800e-06	3.68618394e+04	3	5.00135500e-01	2.59492300e-09	1.92736162e+08
1.44770816e+02	2023-03-10T20:09:06.574371	6.79747800e-05	9.68618600e-06	7.01770336e+00	-9.99304000e-02	-9.55353700e-06	1.04600422e+04	3	4.50124700e-01	2.08231500e-10	2.16165518e+09
1.45910939e+02	2023-03-10T20:09:07.714450	6.79747800e-05	2.26386300e-05	3.00260131e+00	-9.99157000e-02	-2.24106900e-05	4.45839463e+03	3	4.00094000e-01	-5.79964300e-09	-6.89859703e+07
1.46801587e+02	2023-03-10T20:09:08.605511	1.01445600e-04	4.50399700e-05	2.25234608e+00	-9.99561800e-02	-4.50291200e-05	2.21981198e+03	3	3.50103500e-01	-7.73166300e-09	-4.52817848e+07
1.47692239e+02	2023-03-10T20:09:09.496574	8.47096200e-05	8.14894000e-05	1.03951704e+00	-9.99491700e-02	-8.09269300e-05	1.23505451e+03	3	3.00052800e-01	-9.26268500e-09	-3.23937174e+07
1.48832824e+02	2023-03-10T20:09:10.636654	5.96071300e-05	1.28550200e-04	4.63687571e-01	-9.99555000e-02	-1.28196800e-04	7.79703550e+02	3	2.50104500e-01	-1.29019500e-08	-1.93850154e+07
1.49723426e+02	2023-03-10T20:09:11.527715	5.96071300e-05	1.79314600e-04	3.32416490e-01	-9.99414700e-02	-1.81600100e-04	5.50338188e+02	3	2.00056000e-01	-1.62722300e-08	-1.22943198e+07
1.50629669e+02	2023-03-10T20:09:12.433778	9.30783900e-05	2.35087000e-04	3.95931676e-01	-9.99407900e-02	-2.34455900e-04	4.26266901e+02	3	1.50051200e-01	-1.84345900e-08	-8.13965486e+06
1.51535930e+02	2023-03-10T20:09:13.339841	6.79741100e-05	2.83655100e-04	2.39636481e-01	-9.99331100e-02	-2.82820500e-04	3.53344648e+02	3	1.00062500e-01	-2.30960200e-08	-4.33245641e+06
