Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.16459663e+02	2023-03-10T18:58:26.960855	5.12412900e-05	-9.11283300e-08	-5.62298135e+02	-6.99867700e-01	-3.62999800e-07	1.92801126e+06	2	8.00091100e-01	4.49171100e-07	1.78126131e+06
2.16679035e+02	2023-03-10T18:58:27.179870	8.47127700e-05	-7.29625500e-08	-1.16104454e+03	-6.99869800e-01	-3.26701600e-07	2.14222948e+06	2	7.50113200e-01	4.05553100e-07	1.84960539e+06
2.17257779e+02	2023-03-10T18:58:27.758911	4.28752200e-05	-6.33597700e-08	-6.76694691e+02	-6.99941900e-01	-2.98255000e-07	2.34679016e+06	2	7.00028600e-01	4.07767100e-07	1.71673634e+06
2.17992264e+02	2023-03-10T18:58:28.492961	4.28732000e-05	-5.56082200e-08	-7.70986735e+02	-6.99954000e-01	-2.67007400e-07	2.62147791e+06	2	6.49930400e-01	2.43990700e-07	2.66375071e+06
2.18729432e+02	2023-03-10T18:58:29.230013	6.79754600e-05	-4.00111800e-08	-1.69891165e+03	-6.99938200e-01	-2.44379200e-07	2.86414801e+06	2	6.00221600e-01	2.81565000e-07	2.13173370e+06
2.19460820e+02	2023-03-10T18:58:29.962064	8.47104100e-05	-2.85598200e-08	-2.96606946e+03	-6.99846300e-01	-2.14806800e-07	3.25802675e+06	2	5.50077900e-01	1.69414200e-07	3.24694093e+06
2.20368457e+02	2023-03-10T18:58:30.869127	9.30775400e-05	-1.54492100e-08	-6.02474431e+03	-6.99892800e-01	-1.93824200e-07	3.61096705e+06	2	5.00103700e-01	2.02698500e-07	2.46722941e+06
2.21101432e+02	2023-03-10T18:58:31.602178	5.12418500e-05	-6.31131800e-09	-8.11904106e+03	-6.99917900e-01	-1.67375900e-07	4.18171254e+06	2	4.50099600e-01	1.74901000e-07	2.57345355e+06
2.21853369e+02	2023-03-10T18:58:32.354230	1.18179000e-04	-4.21851600e-09	-2.80143539e+04	-6.99918900e-01	-1.53502600e-07	4.55965502e+06	2	4.00121800e-01	1.27642200e-07	3.13471407e+06
2.22587291e+02	2023-03-10T18:58:33.088281	5.96083700e-05	6.38737700e-10	9.33221415e+04	-6.99950300e-01	-1.37293800e-07	5.09819307e+06	2	3.50129600e-01	1.53221000e-07	2.28512802e+06
2.23320280e+02	2023-03-10T18:58:33.821332	7.63418000e-05	1.37988300e-09	5.53248355e+04	-6.99956100e-01	-1.22861600e-07	5.69711041e+06	2	2.99634600e-01	1.38664500e-07	2.16086021e+06
2.24054680e+02	2023-03-10T18:58:34.555383	1.09811800e-04	3.11493700e-10	3.52532973e+05	-6.99926300e-01	-1.10814400e-07	6.31620349e+06	2	2.50020800e-01	1.08687200e-07	2.30037024e+06
2.25132819e+02	2023-03-10T18:58:35.633459	4.28742100e-05	1.95981200e-08	2.18766953e+03	-6.99884400e-01	-9.58766600e-08	7.29984128e+06	2	2.00108900e-01	1.06286100e-07	1.88273819e+06
2.25882848e+02	2023-03-10T18:58:36.383511	6.79774800e-05	4.15279700e-08	1.63690833e+03	-6.99909500e-01	-1.28818200e-07	5.43331222e+06	2	1.50083700e-01	6.89139600e-08	2.17784176e+06
2.26773375e+02	2023-03-10T18:58:37.274572	6.79727500e-05	5.44508600e-07	1.24833198e+02	-6.99922600e-01	-5.53952300e-07	1.26350698e+06	2	1.00123100e-01	1.62204500e-08	6.17264626e+06
2.27945259e+02	2023-03-10T18:58:38.446654	6.79747800e-05	2.72739000e-06	2.49230143e+01	-6.99946700e-01	-2.75499400e-06	2.54064691e+05	2	5.01500600e-02	-1.73910500e-08	-2.88367062e+06
2.28663795e+02	2023-03-10T18:58:39.164704	7.63418000e-05	5.38800200e-06	1.41688515e+01	-6.99839000e-01	-5.34619000e-06	1.30904251e+05	2	1.12148700e-04	-1.73230700e-08	-6.47395063e+03
2.29804638e+02	2023-03-10T18:58:40.305783	5.96077600e-05	5.62531000e-06	1.05963511e+01	-6.99927200e-01	-5.50640200e-06	1.27111533e+05	2	-4.99775900e-02	-3.41469300e-08	1.46360420e+06
2.30679627e+02	2023-03-10T18:58:41.180844	6.79761400e-05	5.85838400e-06	1.16032237e+01	-6.99916900e-01	-5.66619300e-06	1.23525072e+05	2	-9.99391400e-02	-5.64945400e-08	1.76900529e+06
