Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.94068912e+02	2023-03-10T16:41:35.571369	5.12424200e-05	-3.08590800e-07	-1.66052974e+02	-5.00013500e-01	-6.90851000e-07	7.23764603e+05	3	1.00012100e+00	1.00222600e-06	9.97899675e+05
2.94225718e+02	2023-03-10T16:41:35.728379	6.79768000e-05	-2.62532400e-07	-2.58927279e+02	-4.99928200e-01	-5.64029700e-07	8.86350843e+05	3	9.50236200e-01	8.02054200e-07	1.18475310e+06
2.94897936e+02	2023-03-10T16:41:36.400421	8.47112000e-05	-2.15493600e-07	-3.93103090e+02	-4.99980100e-01	-5.05702100e-07	9.88685038e+05	3	9.00088900e-01	7.56546100e-07	1.18973437e+06
2.95570924e+02	2023-03-10T16:41:37.073464	7.63462000e-05	-1.83132400e-07	-4.16890730e+02	-4.99948300e-01	-4.50398300e-07	1.11001374e+06	3	8.50121200e-01	5.57997700e-07	1.52352098e+06
2.96241664e+02	2023-03-10T16:41:37.743506	1.01446500e-04	-1.55694600e-07	-6.51573658e+02	-4.99960100e-01	-4.04562000e-07	1.23580588e+06	3	8.00130000e-01	6.47532600e-07	1.23565980e+06
2.96917784e+02	2023-03-10T16:41:38.419549	6.79747800e-05	-1.26955700e-07	-5.35421253e+02	-4.99938300e-01	-3.71414800e-07	1.34603764e+06	3	7.50088000e-01	5.28804800e-07	1.41845914e+06
2.97757568e+02	2023-03-10T16:41:39.259602	7.63418000e-05	-1.04500200e-07	-7.30542143e+02	-4.99988400e-01	-3.52828200e-07	1.41708741e+06	3	7.00246100e-01	4.76953900e-07	1.46816307e+06
2.98477625e+02	2023-03-10T16:41:39.979648	7.63425300e-05	-8.56837400e-08	-8.90980366e+02	-4.99951600e-01	-3.36943600e-07	1.48378423e+06	3	6.50206100e-01	4.98584900e-07	1.30410307e+06
2.99195051e+02	2023-03-10T16:41:40.697693	6.79727500e-05	-6.68439300e-08	-1.01688740e+03	-4.99980100e-01	-3.16881600e-07	1.57781361e+06	3	6.00385200e-01	4.96554100e-07	1.20910330e+06
2.99913823e+02	2023-03-10T16:41:41.415738	5.12424200e-05	-4.74202900e-08	-1.08060115e+03	-4.99960000e-01	-2.94901900e-07	1.69534343e+06	3	5.50237800e-01	4.59437700e-07	1.19763311e+06
3.00632503e+02	2023-03-10T16:41:42.134783	9.30758600e-05	-2.81192500e-08	-3.31004063e+03	-4.99956600e-01	-2.72334700e-07	1.83581674e+06	3	5.00520400e-01	2.94053300e-07	1.70214175e+06
3.01539012e+02	2023-03-10T16:41:43.040841	6.79768000e-05	-1.06835500e-08	-6.36275395e+03	-4.99958300e-01	-2.45093800e-07	2.03986515e+06	3	4.50224400e-01	3.45393100e-07	1.30351301e+06
3.02279081e+02	2023-03-10T16:41:43.780887	7.63418000e-05	-5.25273300e-09	-1.45337294e+04	-4.99963300e-01	-2.14130800e-07	2.33485001e+06	3	3.99954200e-01	1.87563100e-07	2.13237145e+06
3.03012183e+02	2023-03-10T16:41:44.513933	1.09810900e-04	-2.06409400e-09	-5.32005325e+04	-4.99968400e-01	-1.94132800e-07	2.57539375e+06	3	3.50097500e-01	1.91598700e-07	1.82724361e+06
3.03742112e+02	2023-03-10T16:41:45.243979	5.96077600e-05	2.02343900e-09	2.94586395e+04	-4.99945000e-01	-1.70719700e-07	2.92845524e+06	3	3.00167600e-01	2.61383700e-07	1.14837918e+06
3.04477273e+02	2023-03-10T16:41:45.980025	6.79768000e-05	2.04742900e-09	3.32010536e+04	-4.99951700e-01	-1.40990900e-07	3.54598559e+06	3	2.49943800e-01	9.23877900e-08	2.70537698e+06
3.05210817e+02	2023-03-10T16:41:46.713072	1.26547200e-04	3.26430400e-09	3.87669776e+04	-4.99923300e-01	-1.23828800e-07	4.03721348e+06	3	1.99881700e-01	9.72459800e-08	2.05542378e+06
3.06292522e+02	2023-03-10T16:41:47.795141	6.79747800e-05	5.64750500e-09	1.20362496e+04	-4.99944900e-01	-1.08133400e-07	4.62340868e+06	3	1.50176700e-01	1.28844000e-07	1.16556999e+06
3.07026151e+02	2023-03-10T16:41:48.528187	6.79761400e-05	1.17350100e-08	5.79259327e+03	-4.99968500e-01	-8.88923800e-08	5.62442473e+06	3	1.00086900e-01	1.74463200e-07	5.73684880e+05
