Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.77383173e-01	2023-03-16T20:30:29.193171	-4.07967300e-05	-4.07642300e-07	1.00079727e+02	-6.99943000e-01	-1.38741100e-06	5.04495784e+05	1	1.00021600e+00	1.65700100e-06	6.03630294e+05
2.38867408e+00	2023-03-16T20:30:30.902295	9.30767000e-05	-2.86256000e-07	-3.25151962e+02	-6.99926300e-01	-9.13339700e-07	7.66337322e+05	1	9.50187400e-01	1.20351000e-06	7.89513506e+05
3.07467319e+00	2023-03-16T20:30:31.581756	1.76748900e-04	-1.47052400e-07	-1.20194502e+03	-6.99853600e-01	-5.01138900e-07	1.39652619e+06	1	9.00135800e-01	9.71143400e-07	9.26882477e+05
3.75331793e+00	2023-03-16T20:30:32.267129	-9.93667100e-05	-2.23085300e-07	4.45420250e+02	-6.99820100e-01	-4.76907500e-07	1.46741265e+06	1	8.49970600e-01	6.23116600e-07	1.36406348e+06
4.73346051e+00	2023-03-16T20:30:33.245588	-6.58985700e-05	-1.22133300e-07	5.39562675e+02	-6.99896500e-01	-4.45144800e-07	1.57228951e+06	1	8.00099500e-01	8.97916700e-07	8.91062055e+05
5.43422060e+00	2023-03-16T20:30:33.940262	5.12401700e-05	-6.82170500e-08	-7.51134357e+02	-6.99963400e-01	-4.28051200e-07	1.63523289e+06	1	7.50151600e-01	6.12626500e-07	1.22448441e+06
6.28436904e+00	2023-03-16T20:30:34.798146	1.93478600e-04	-4.79134100e-08	-4.03808871e+03	-6.99886000e-01	-4.58155900e-07	1.52761538e+06	1	7.00395600e-01	4.88623600e-07	1.43340518e+06
6.84212404e+00	2023-03-16T20:30:35.351784	1.76747500e-04	-5.99729000e-08	-2.94712278e+03	-6.99761600e-01	-1.92003400e-07	3.64452713e+06	1	6.50579200e-01	5.75353300e-07	1.13074732e+06
7.55964632e+00	2023-03-16T20:30:36.074912	8.47096200e-05	-1.10499200e-07	-7.66608446e+02	-6.99896500e-01	-3.13903700e-07	2.22965355e+06	1	6.00055200e-01	5.39928500e-07	1.11136049e+06
8.83335859e+00	2023-03-16T20:30:37.349201	6.79734300e-05	-8.14848800e-08	-8.34184575e+02	-6.99924100e-01	-3.53428200e-07	1.98038555e+06	1	5.49829800e-01	4.54610500e-07	1.20945249e+06
9.55079691e+00	2023-03-16T20:30:38.066498	7.63432700e-05	-5.00390500e-08	-1.52567385e+03	-6.99832100e-01	-3.26046500e-07	2.14641807e+06	1	4.99657100e-01	1.43604900e-07	3.47938754e+06
1.02631217e+01	2023-03-16T20:30:38.778325	-2.91812900e-04	-2.21385900e-08	1.31811872e+04	-6.99908500e-01	-3.16658800e-07	2.21029228e+06	1	4.50250200e-01	1.19294900e-07	3.77426193e+06
1.16862572e+01	2023-03-16T20:30:40.201416	3.94288800e-04	-1.93897800e-08	-2.03348774e+04	-6.99756400e-01	-3.06637300e-07	2.28203288e+06	1	4.00860900e-01	4.59015100e-07	8.73306564e+05
1.24405069e+01	2023-03-16T20:30:40.956465	-1.83038200e-04	9.86213900e-09	-1.85596857e+04	-7.00165200e-01	-1.12801100e-07	6.20707777e+06	1	3.50003100e-01	1.98658600e-07	1.76183211e+06
1.31868108e+01	2023-03-16T20:30:41.702512	2.43686000e-04	-2.73665900e-09	-8.90450728e+04	-7.00046000e-01	-3.05877900e-07	2.28864524e+06	1	2.99917000e-01	1.58942400e-07	1.88695402e+06
1.42632187e+01	2023-03-16T20:30:42.778582	1.68380400e-04	1.38148700e-08	1.21883449e+04	-7.00025600e-01	-1.24636500e-07	5.61653769e+06	1	2.50005800e-01	1.76663200e-07	1.41515494e+06
1.53411079e+01	2023-03-16T20:30:43.856650	7.63432700e-05	4.61952400e-08	1.65262200e+03	-6.99815400e-01	-2.93173700e-07	2.38703335e+06	1	1.99625400e-01	2.86691500e-07	6.96307355e+05
1.67627353e+01	2023-03-16T20:30:45.277742	1.77722900e-05	4.72280500e-07	3.76307936e+01	-6.99883400e-01	-3.70301700e-07	1.89003561e+06	1	1.49949800e-01	5.90212800e-08	2.54060569e+06
1.81379196e+01	2023-03-16T20:30:46.653830	8.47080500e-05	2.67925700e-06	3.16162466e+01	-6.99960800e-01	-3.91796800e-06	1.78654037e+05	1	1.00542000e-01	4.15743300e-07	2.41836730e+05
