Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.97954813e+02	2023-03-16T19:13:37.673016	-5.75314800e-05	-1.78027200e-07	3.23161180e+02	-2.99940900e-01	-1.00305100e-05	2.99028564e+04	3	1.00016100e+00	1.01195500e-05	9.88345332e+04
3.98125502e+02	2023-03-16T19:13:37.843028	9.40616100e-06	-9.47928900e-08	-9.92285497e+01	-2.99955700e-01	-9.01092300e-06	3.32880106e+04	3	9.50133400e-01	9.11114600e-06	1.04282535e+05
3.98672587e+02	2023-03-16T19:13:38.391066	1.43279200e-04	-1.35531600e-07	-1.05716453e+03	-2.99968100e-01	-8.04160600e-06	3.73020141e+04	3	9.00166900e-01	8.19761800e-06	1.09808349e+05
3.99208665e+02	2023-03-16T19:13:38.927105	1.85116100e-04	-4.26141600e-08	-4.34400443e+03	-2.99984800e-01	-7.15281000e-06	4.19394336e+04	3	8.50079300e-01	7.06246900e-06	1.20365739e+05
4.00079117e+02	2023-03-16T19:13:39.797165	8.47104100e-05	-1.13019300e-07	-7.49521630e+02	-2.99945000e-01	-6.35623600e-06	4.71890912e+04	3	8.00091100e-01	6.52223100e-06	1.22671383e+05
4.00626358e+02	2023-03-16T19:13:40.344205	-6.58985700e-05	-3.73593900e-08	1.76390915e+03	-2.99936600e-01	-5.57578500e-06	5.37927126e+04	3	7.50113200e-01	5.53231500e-06	1.35587580e+05
4.01506722e+02	2023-03-16T19:13:41.225267	3.10618500e-04	-1.73386300e-08	-1.79148237e+04	-2.99957700e-01	-4.83398700e-06	6.20518218e+04	3	7.00167100e-01	4.62493500e-06	1.51389609e+05
4.02220388e+02	2023-03-16T19:13:41.938317	-2.58342600e-04	-9.27639000e-09	2.78494759e+04	-2.99930600e-01	-4.01695900e-06	7.46660845e+04	3	6.50194400e-01	4.30549000e-06	1.51015192e+05
4.02907695e+02	2023-03-16T19:13:42.625365	1.93480100e-04	3.50025300e-09	5.52760329e+04	-2.99978700e-01	-3.37395000e-06	8.89102387e+04	3	6.00147000e-01	3.34435400e-06	1.79450800e+05
4.03752785e+02	2023-03-16T19:13:43.470425	2.85523900e-04	-7.35866600e-09	-3.88010408e+04	-2.99940900e-01	-2.72207700e-06	1.10188250e+05	3	5.50038000e-01	2.71335800e-06	2.02714865e+05
4.04442875e+02	2023-03-16T19:13:44.160475	-8.26331000e-05	-3.11018100e-10	2.65685823e+05	-2.99951400e-01	-2.20534600e-06	1.36011039e+05	3	4.99986700e-01	2.18511300e-06	2.28815032e+05
4.05158000e+02	2023-03-16T19:13:44.876524	2.61384700e-05	1.42746000e-08	1.83111751e+03	-2.99964000e-01	-1.71016600e-06	1.75400517e+05	3	4.50157400e-01	1.81342800e-06	2.48235607e+05
4.05844620e+02	2023-03-16T19:13:45.562573	7.63418000e-05	1.63000900e-08	4.68352015e+03	-2.99957700e-01	-1.22161100e-06	2.45542730e+05	3	4.00085600e-01	1.32873400e-06	3.01102854e+05
4.06547639e+02	2023-03-16T19:13:46.265623	9.40475700e-06	7.82848300e-08	1.20135114e+02	-2.99940700e-01	-8.42269300e-07	3.56110213e+05	3	3.50059100e-01	7.39245100e-07	4.73535908e+05
4.07391546e+02	2023-03-16T19:13:47.109682	1.43282700e-04	3.76184400e-07	3.80884215e+02	-2.99987100e-01	-7.64855900e-07	3.92213880e+05	3	3.00109300e-01	5.22940200e-07	5.73888372e+05
4.08079171e+02	2023-03-16T19:13:47.797731	1.01444700e-04	1.09612900e-06	9.25481399e+01	-2.99940900e-01	-1.26512800e-06	2.37083441e+05	3	2.50096100e-01	2.98952800e-07	8.36573867e+05
4.08908458e+02	2023-03-16T19:13:48.626790	4.28737000e-05	2.02015300e-06	2.12229965e+01	-2.99945000e-01	-1.93468100e-06	1.55035895e+05	3	2.00074100e-01	1.99811300e-07	1.00131524e+06
4.09579415e+02	2023-03-16T19:13:49.297837	1.01446500e-04	3.05755900e-06	3.31789182e+01	-2.99943000e-01	-3.03116700e-06	9.89529775e+04	3	1.50141200e-01	1.30296200e-07	1.15230682e+06
4.10251069e+02	2023-03-16T19:13:49.968884	7.63396100e-05	4.36249700e-06	1.74990630e+01	-2.99928300e-01	-3.54415500e-06	8.46261803e+04	3	1.00015700e-01	4.65285500e-08	2.14955549e+06
