Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.82484510e+02	2023-03-16T19:39:25.560161	5.12424200e-05	-4.60070600e-07	-1.11379471e+02	-5.00016900e-01	-7.48817800e-07	6.67741739e+05	3	1.00021600e+00	1.07400200e-06	9.31298080e+05
2.82656897e+02	2023-03-16T19:39:25.733172	1.34909900e-04	-4.51360500e-07	-2.98896115e+02	-4.99934900e-01	-7.08176800e-07	7.05946453e+05	3	9.50135300e-01	1.21026500e-06	7.85063850e+05
2.83485266e+02	2023-03-16T19:39:26.561225	1.51646300e-04	-4.44808100e-07	-3.40925221e+02	-4.99966600e-01	-6.68582300e-07	7.47801131e+05	3	9.00199000e-01	1.17255800e-06	7.67722364e+05
2.84178972e+02	2023-03-16T19:39:27.255270	9.30758600e-05	-2.34687400e-07	-3.96595045e+02	-4.99923300e-01	-6.35173600e-07	7.87065615e+05	3	8.50028700e-01	9.56284900e-07	8.88886461e+05
2.84845106e+02	2023-03-16T19:39:27.921313	-6.58981200e-05	-3.57466300e-07	1.84347783e+02	-4.99991700e-01	-5.99785500e-07	8.33617518e+05	3	7.99986000e-01	7.77469000e-07	1.02896193e+06
2.85521836e+02	2023-03-16T19:39:28.597357	6.79761400e-05	-1.70613200e-07	-3.98422514e+02	-5.00003600e-01	-5.72126000e-07	8.73939657e+05	3	7.50119800e-01	7.37678600e-07	1.01686534e+06
2.86204005e+02	2023-03-16T19:39:29.280400	1.26541800e-04	-2.93153100e-07	-4.31657724e+02	-4.99950000e-01	-5.40082900e-07	9.25691223e+05	3	7.00135300e-01	9.15603100e-07	7.64671177e+05
2.86892192e+02	2023-03-16T19:39:29.968445	3.45057800e-05	-1.50365500e-07	-2.29479369e+02	-4.99960000e-01	-5.12058500e-07	9.76372817e+05	3	6.50047400e-01	6.94527800e-07	9.35955911e+05
2.87563546e+02	2023-03-16T19:39:30.639487	1.85117500e-04	-2.22817100e-07	-8.30804727e+02	-4.99950000e-01	-4.83898200e-07	1.03317185e+06	3	6.00255400e-01	8.27100800e-07	7.25734276e+05
2.88250995e+02	2023-03-16T19:39:31.326531	2.61392600e-05	-8.81255000e-08	-2.96614033e+02	-4.99951600e-01	-4.54349700e-07	1.10036740e+06	3	5.50058400e-01	6.92758100e-07	7.94012224e+05
2.88789318e+02	2023-03-16T19:39:31.865566	5.96077600e-05	-1.17833400e-07	-5.05864721e+02	-4.99978500e-01	-4.26565500e-07	1.17210253e+06	3	5.00061900e-01	6.15688500e-07	8.12199513e+05
2.89454237e+02	2023-03-16T19:39:32.530608	-8.26334400e-05	-3.52051700e-08	2.34719616e+03	-4.99919900e-01	-3.98962500e-07	1.25304985e+06	3	4.50667000e-01	4.97722600e-07	9.05458181e+05
2.90657843e+02	2023-03-16T19:39:33.733685	1.34911000e-04	4.19968000e-08	3.21241142e+03	-4.99965100e-01	-3.65916500e-07	1.36633658e+06	3	4.00169300e-01	6.19404400e-07	6.46054984e+05
2.91407899e+02	2023-03-16T19:39:34.483733	-2.40623900e-05	-2.45626600e-08	9.79632906e+02	-4.99975200e-01	-3.37972700e-07	1.47933605e+06	3	3.50236000e-01	6.21727700e-07	5.63327000e+05
2.92142269e+02	2023-03-16T19:39:35.218781	1.68381800e-04	3.36350500e-09	5.00614092e+04	-4.99941600e-01	-3.12240900e-07	1.60114066e+06	3	2.99923300e-01	2.33192000e-07	1.28616462e+06
2.92876215e+02	2023-03-16T19:39:35.951828	1.18176900e-04	-1.64098800e-09	-7.20157003e+04	-4.99913100e-01	-2.93465300e-07	1.70348283e+06	3	2.50184800e-01	4.30710500e-07	5.80865338e+05
2.93610982e+02	2023-03-16T19:39:36.686875	1.43279200e-04	9.64432800e-08	1.48563176e+03	-4.99983500e-01	-3.49650900e-07	1.42995056e+06	3	1.99897100e-01	4.40337100e-07	4.53963793e+05
2.94501409e+02	2023-03-16T19:39:37.577932	4.28732000e-05	6.24461800e-07	6.86562413e+01	-4.99923200e-01	-9.03779900e-07	5.53147066e+05	3	1.50018800e-01	2.19911700e-07	6.82177438e+05
2.95485816e+02	2023-03-16T19:39:38.561995	9.30775400e-05	3.01788800e-06	3.08419464e+01	-4.99938300e-01	-3.18582900e-06	1.56925654e+05	3	1.00106300e-01	1.77671300e-07	5.63435400e+05
