Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.32862779e+02	2023-03-16T21:17:43.460048	1.76747500e-04	-2.61045200e-07	-6.77076230e+02	-6.99857200e-01	-9.99665500e-07	7.00091381e+05	3	1.00011600e+00	1.13502100e-06	8.81143168e+05
1.33098158e+02	2023-03-16T21:17:43.695063	6.79741100e-05	-2.25271500e-07	-3.01743052e+02	-6.99916900e-01	-7.15843900e-07	9.77750736e+05	3	9.50145700e-01	1.10958500e-06	8.56307268e+05
1.33769716e+02	2023-03-16T21:17:44.366106	1.01443800e-04	-1.12619000e-07	-9.00769852e+02	-6.99882300e-01	-5.74717700e-07	1.21778449e+06	3	9.00121400e-01	6.84348600e-07	1.31529662e+06
1.34461868e+02	2023-03-16T21:17:45.059151	2.35318900e-04	-1.69211800e-07	-1.39067665e+03	-6.99911700e-01	-5.05001900e-07	1.38595855e+06	3	8.50242200e-01	7.00417300e-07	1.21390805e+06
1.35144958e+02	2023-03-16T21:17:45.742195	2.61408300e-05	-1.53256500e-07	-1.70569144e+02	-6.99896500e-01	-4.64046300e-07	1.50824713e+06	3	8.00035600e-01	5.84152800e-07	1.36956563e+06
1.35852418e+02	2023-03-16T21:17:46.449240	-4.91639400e-05	-7.65857900e-08	6.41945980e+02	-6.99905900e-01	-4.30219500e-07	1.62685769e+06	3	7.50031100e-01	6.28527400e-07	1.19331488e+06
1.36555994e+02	2023-03-16T21:17:47.153285	4.28747200e-05	-5.54608700e-08	-7.73062521e+02	-6.99899000e-01	-4.04641700e-07	1.72967591e+06	3	7.00723000e-01	5.72585000e-07	1.22378861e+06
1.37258236e+02	2023-03-16T21:17:47.855330	5.12412900e-05	-5.05357200e-08	-1.01396181e+03	-6.99916900e-01	-3.62130900e-07	1.93277320e+06	3	6.50315200e-01	3.41459300e-07	1.90451746e+06
1.38473090e+02	2023-03-16T21:17:49.069408	1.26548200e-04	-1.23270100e-07	-1.02659282e+03	-6.99951400e-01	-3.07538500e-07	2.27597976e+06	3	6.00828600e-01	4.11969000e-07	1.45843158e+06
1.39899392e+02	2023-03-16T21:17:50.496500	2.01845600e-04	-9.88101700e-08	-2.04276139e+03	-6.99944000e-01	-2.47982300e-07	2.82255629e+06	3	5.50016600e-01	1.64482100e-07	3.34392983e+06
1.41072456e+02	2023-03-16T21:17:51.669575	1.26540700e-04	-2.27567400e-08	-5.56058117e+03	-6.99921500e-01	-2.23170600e-07	3.13626212e+06	3	4.99872800e-01	3.77143400e-07	1.32541840e+06
1.42238896e+02	2023-03-16T21:17:52.835650	4.44500500e-04	-3.45119200e-08	-1.28796225e+04	-6.99900100e-01	-2.25903700e-07	3.09822327e+06	3	4.49546800e-01	1.77371900e-07	2.53448714e+06
1.43316848e+02	2023-03-16T21:17:53.913718	5.44910800e-04	-1.79767100e-08	-3.03120426e+04	-6.99958600e-01	-2.25684300e-07	3.10149443e+06	3	4.00690600e-01	3.54110700e-07	1.13154050e+06
1.44071833e+02	2023-03-16T21:17:54.668767	-2.83445700e-04	1.17780700e-08	-2.40655472e+04	-6.99920500e-01	-2.08511600e-07	3.35674610e+06	3	3.49539400e-01	8.97743700e-08	3.89353220e+06
1.44816810e+02	2023-03-16T21:17:55.413814	2.43684200e-04	4.00652300e-10	6.08218647e+05	-6.99903700e-01	-2.01938000e-07	3.46593360e+06	3	3.00665500e-01	3.79350000e-07	7.92580730e+05
1.45566690e+02	2023-03-16T21:17:56.163863	2.61384700e-05	2.77927400e-08	9.40478341e+02	-6.99946700e-01	-1.82321500e-07	3.83907932e+06	3	2.50034200e-01	3.91373400e-07	6.38863551e+05
1.46848533e+02	2023-03-16T21:17:57.444945	1.03834800e-06	-4.89020300e-09	-2.12332290e+02	-6.99921500e-01	-1.71321700e-07	4.08542234e+06	3	2.00254100e-01	4.57512300e-07	4.37702112e+05
1.47941873e+02	2023-03-16T21:17:58.539016	1.34911000e-04	8.64719300e-08	1.56017103e+03	-6.99894300e-01	-2.15414600e-07	3.24905693e+06	3	1.50316900e-01	1.81652300e-07	8.27497918e+05
1.48880864e+02	2023-03-16T21:17:59.478075	9.30750000e-05	4.03723500e-07	2.30541447e+02	-6.99894300e-01	-5.51236800e-07	1.26967993e+06	3	9.98881800e-02	1.87689100e-07	5.32200218e+05
