Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.49459834e+02	2023-03-28T15:25:43.745818	6.79741100e-05	-2.08269200e-07	-3.26376200e+02	-9.99582100e-02	-2.35341600e-07	4.24736681e+05	2	1.00010200e+00	4.59118700e-07	2.17830814e+06
5.49631804e+02	2023-03-28T15:25:43.917829	5.12418500e-05	-1.82830500e-07	-2.80269703e+02	-9.99317600e-02	-2.06481000e-07	4.83975572e+05	2	9.50179100e-01	4.14619200e-07	2.29169103e+06
5.50351155e+02	2023-03-28T15:25:44.637874	5.12401700e-05	-1.59347100e-07	-3.21563242e+02	-9.99381000e-02	-1.79374500e-07	5.57147755e+05	2	9.00078200e-01	3.57589900e-07	2.51706830e+06
5.51069920e+02	2023-03-28T15:25:45.355920	5.12407300e-05	-1.37390300e-07	-3.72957407e+02	-9.99317600e-02	-1.57725400e-07	6.33580641e+05	2	8.50041000e-01	3.03448600e-07	2.80126849e+06
5.51788729e+02	2023-03-28T15:25:46.074967	5.96090000e-05	-1.16847600e-07	-5.10143127e+02	-9.99498300e-02	-1.33917100e-07	7.46355992e+05	2	8.00015900e-01	2.56478300e-07	3.11923426e+06
5.52507501e+02	2023-03-28T15:25:46.794012	6.79747800e-05	-9.75466800e-08	-6.96843603e+02	-9.99086800e-02	-1.15103800e-07	8.67987677e+05	2	7.50031100e-01	1.83934100e-07	4.07771642e+06
5.53225681e+02	2023-03-28T15:25:47.512057	8.47112000e-05	-7.80153800e-08	-1.08582692e+03	-9.99317600e-02	-9.59729500e-08	1.04124923e+06	2	7.00085000e-01	1.43127400e-07	4.89134156e+06
5.53945379e+02	2023-03-28T15:25:48.232102	9.30783900e-05	-6.25991500e-08	-1.48689543e+03	-9.99749300e-02	-7.71801700e-08	1.29534478e+06	2	6.50136200e-01	1.21132700e-07	5.36714033e+06
5.54663693e+02	2023-03-28T15:25:48.950149	7.63440100e-05	-5.40948900e-08	-1.41129800e+03	-9.99317600e-02	-6.17414100e-08	1.61855325e+06	2	6.00172100e-01	1.10210600e-07	5.44568399e+06
5.55382693e+02	2023-03-28T15:25:49.669194	6.79768000e-05	-4.56627100e-08	-1.48867205e+03	-9.99080100e-02	-4.81138900e-08	2.07648997e+06	2	5.50129000e-01	1.06709600e-07	5.15538433e+06
5.56101190e+02	2023-03-28T15:25:50.387239	9.30817600e-05	-4.11302900e-08	-2.26309515e+03	-9.99665700e-02	-3.48269000e-08	2.87038381e+06	2	5.00035200e-01	6.19735300e-08	8.06852861e+06
5.57351309e+02	2023-03-28T15:25:51.637319	4.28742100e-05	-3.79856800e-08	-1.12869402e+03	-9.99421500e-02	-2.36137300e-08	4.23237455e+06	2	4.50158200e-01	7.74675300e-08	5.81092749e+06
5.58257607e+02	2023-03-28T15:25:52.544380	8.47119800e-05	-3.47976600e-08	-2.43441599e+03	-9.99491700e-02	-1.55470900e-08	6.42880243e+06	2	4.00149600e-01	4.88929400e-08	8.18420001e+06
5.59358023e+02	2023-03-28T15:25:53.644009	5.96059000e-05	-2.88942100e-08	-2.06290118e+03	-9.99471400e-02	-1.26567300e-08	7.89675848e+06	2	3.50023500e-01	5.39749500e-08	6.48492495e+06
5.60274833e+02	2023-03-28T15:25:54.561066	1.01446500e-04	-2.37615700e-08	-4.26935173e+03	-9.99317600e-02	-9.75698200e-09	1.02420769e+07	2	3.00040400e-01	2.77359700e-08	1.08177360e+07
5.61195005e+02	2023-03-28T15:25:55.481125	1.09809900e-04	-1.82951800e-08	-6.00212187e+03	-9.99561800e-02	-6.92386700e-09	1.44364674e+07	2	2.50129500e-01	2.04893600e-08	1.22077752e+07
5.62117033e+02	2023-03-28T15:25:56.403184	5.12424200e-05	-1.32030600e-08	-3.88110181e+03	-9.99080100e-02	-3.63933000e-09	2.74523085e+07	2	2.00166400e-01	1.75579400e-08	1.14003351e+07
5.62882786e+02	2023-03-28T15:25:57.169232	1.03947600e-06	-3.17129500e-08	-3.27776508e+01	-9.99317600e-02	-2.23175700e-10	4.47771688e+08	2	1.50395200e-01	1.52385800e-08	9.86937103e+06
5.63827887e+02	2023-03-28T15:25:58.114292	9.30775400e-05	1.65122800e-08	5.63686783e+03	-9.99177200e-02	-2.09607700e-08	4.76689167e+06	2	9.99370300e-02	1.83705100e-08	5.44007924e+06
