Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.25631009e+02	2023-04-06T16:30:12.301203	-1.32836700e-04	-1.91450500e-07	6.93843578e+02	-2.99896900e-01	-2.62942900e-07	1.14054002e+06	2	9.99767700e-01	4.93006800e-07	2.02789840e+06
4.25827728e+02	2023-04-06T16:30:12.498215	7.63418000e-05	-1.44584400e-07	-5.28008554e+02	-2.99936600e-01	-2.05011900e-07	1.46302044e+06	2	9.49933000e-01	1.63458700e-07	5.81145574e+06
4.26547058e+02	2023-04-06T16:30:13.217261	6.79754600e-05	-1.27182200e-07	-5.34473063e+02	-2.99930300e-01	-1.86104100e-07	1.61162650e+06	2	8.99891800e-01	1.21469600e-07	7.40837049e+06
4.27266738e+02	2023-04-06T16:30:13.937306	5.96083700e-05	-1.14107200e-07	-5.22389209e+02	-2.99963700e-01	-1.71845000e-07	1.74554802e+06	2	8.49803300e-01	1.02542600e-07	8.28731961e+06
4.27984562e+02	2023-04-06T16:30:14.655351	7.63432700e-05	-1.03460900e-07	-7.37894896e+02	-2.99947000e-01	-1.62099000e-07	1.85039390e+06	2	8.00137800e-01	1.48701500e-07	5.38083207e+06
4.28703315e+02	2023-04-06T16:30:15.374397	8.47088300e-05	-9.38766100e-08	-9.02342234e+02	-2.99926000e-01	-1.53828300e-07	1.94974527e+06	2	7.49957600e-01	1.24660700e-07	6.01599060e+06
4.29422111e+02	2023-04-06T16:30:16.092442	7.63432700e-05	-8.22585900e-08	-9.28088726e+02	-2.99936600e-01	-1.46667600e-07	2.04500926e+06	2	7.00718100e-01	2.19232800e-07	3.19622839e+06
4.30140931e+02	2023-04-06T16:30:16.811487	9.30783900e-05	-6.49916800e-08	-1.43215855e+03	-2.99959700e-01	-1.39769700e-07	2.14609962e+06	2	6.50253400e-01	2.73990400e-07	2.37327074e+06
4.30859629e+02	2023-04-06T16:30:17.530533	9.30767000e-05	-4.35513600e-08	-2.13717092e+03	-2.99959700e-01	-1.33894100e-07	2.24027571e+06	2	6.00477200e-01	3.15374900e-07	1.90401075e+06
4.31582564e+02	2023-04-06T16:30:18.253579	4.28732000e-05	-2.44642200e-08	-1.75248588e+03	-2.99940900e-01	-1.25901400e-07	2.38234761e+06	2	5.49899500e-01	9.57960000e-08	5.74031797e+06
4.32828321e+02	2023-04-06T16:30:19.498657	1.18179000e-04	-8.67437600e-09	-1.36239195e+04	-2.99943000e-01	-1.23784600e-07	2.42310433e+06	2	4.99822700e-01	6.26058200e-08	7.98364593e+06
4.33906679e+02	2023-04-06T16:30:20.577725	8.47112000e-05	3.52301100e-10	2.40451137e+05	-2.99963700e-01	-1.19831000e-07	2.50322287e+06	2	4.50495100e-01	1.27244200e-07	3.54039791e+06
4.34641059e+02	2023-04-06T16:30:21.311772	8.47104100e-05	6.50482000e-09	1.30227139e+04	-2.99991100e-01	-1.10359000e-07	2.71832021e+06	2	4.00277700e-01	2.70083400e-07	1.48205221e+06
4.35376938e+02	2023-04-06T16:30:22.047817	9.30792300e-05	5.77831900e-09	1.61083578e+04	-2.99949300e-01	-9.31592200e-08	3.21974894e+06	2	3.50108200e-01	1.77390000e-07	1.97366368e+06
4.36453409e+02	2023-04-06T16:30:23.123886	1.09809900e-04	4.41009400e-09	2.48996733e+04	-2.99938400e-01	-7.43959100e-08	4.03165174e+06	2	3.00287000e-01	-5.81779900e-08	-5.16152242e+06
4.37531436e+02	2023-04-06T16:30:24.201954	5.96077600e-05	5.09526300e-09	1.16986621e+04	-2.99918200e-01	-5.08411600e-08	5.89912189e+06	2	2.49982400e-01	-1.01373200e-07	-2.46596142e+06
4.38266019e+02	2023-04-06T16:30:24.937000	9.30758600e-05	1.38856700e-08	6.70301541e+03	-2.99949300e-01	-3.04671200e-08	9.84501653e+06	2	2.00157700e-01	-9.02433200e-08	-2.21797802e+06
4.39532211e+02	2023-04-06T16:30:26.203080	9.30792300e-05	3.77284200e-08	2.46708529e+03	-2.99957900e-01	-1.34091700e-08	2.23696098e+07	2	1.50258300e-01	1.41828200e-07	1.05943881e+06
4.40656569e+02	2023-04-06T16:30:27.327151	1.77726200e-05	1.39316800e-07	1.27569826e+02	-2.99928300e-01	-1.23570000e-06	2.42719349e+05	2	1.00130800e-01	-8.37333400e-08	-1.19582952e+06
