Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.76379435e+01	2023-04-11T12:05:15.622467	1.26546100e-04	-2.23337400e-07	-5.66614011e+02	-6.99896500e-01	-1.22436400e-06	5.71640868e+05	2	1.00019800e+00	1.36965200e-06	7.30257029e+05
5.77960958e+01	2023-04-11T12:05:15.780477	7.63447300e-05	-1.30801600e-07	-5.83668166e+02	-6.99891700e-01	-1.08387100e-06	6.45733394e+05	2	9.50116100e-01	1.22864700e-06	7.73302747e+05
5.84821959e+01	2023-04-11T12:05:16.466525	6.79761400e-05	-6.80859900e-08	-9.98386599e+02	-6.99927200e-01	-9.93457800e-07	7.04536418e+05	2	9.00090300e-01	1.00243800e-06	8.97901217e+05
5.91585424e+01	2023-04-11T12:05:17.142572	2.61380700e-05	-3.12513300e-08	-8.36382644e+02	-6.99931500e-01	-9.25048500e-07	7.56643030e+05	2	8.50137900e-01	8.99791600e-07	9.44816444e+05
6.00132584e+01	2023-04-11T12:05:17.997632	8.47072500e-05	-1.07392800e-08	-7.88760978e+03	-6.99918900e-01	-8.46407700e-07	8.26928796e+05	2	8.00069000e-01	8.39445500e-07	9.53092250e+05
6.07056483e+01	2023-04-11T12:05:18.689681	6.79768000e-05	-3.90297700e-09	-1.74166540e+04	-6.99915700e-01	-7.71133900e-07	9.07644833e+05	2	7.50089600e-01	9.64459000e-07	7.77730935e+05
6.13946825e+01	2023-04-11T12:05:19.378729	7.63432700e-05	8.37248800e-10	9.11834929e+04	-6.99963400e-01	-7.03276400e-07	9.95289192e+05	2	7.00141000e-01	6.48578200e-07	1.07950128e+06
6.20802461e+01	2023-04-11T12:05:20.064776	5.96077600e-05	3.81446000e-09	1.56267886e+04	-6.99879700e-01	-6.43297400e-07	1.08795667e+06	2	6.50106400e-01	6.93248900e-07	9.37767662e+05
6.27631052e+01	2023-04-11T12:05:20.747823	5.12418500e-05	7.86308100e-09	6.51676487e+03	-6.99913100e-01	-5.78278900e-07	1.21033830e+06	2	6.00192800e-01	6.00025100e-07	1.00027949e+06
6.34557999e+01	2023-04-11T12:05:21.439872	7.63432700e-05	1.06536800e-08	7.16590605e+03	-6.99922600e-01	-5.21798900e-07	1.34136465e+06	2	5.50104900e-01	5.57094500e-07	9.87453475e+05
6.39978667e+01	2023-04-11T12:05:21.981910	1.01445600e-04	1.31929800e-08	7.68936207e+03	-6.99930900e-01	-4.64592300e-07	1.50654864e+06	2	5.00159000e-01	4.62513400e-07	1.08139353e+06
6.45452497e+01	2023-04-11T12:05:22.529948	6.79747800e-05	2.11032700e-08	3.22105437e+03	-6.99955000e-01	-4.08298300e-07	1.71432259e+06	2	4.50060100e-01	3.48970300e-07	1.28968024e+06
6.52479703e+01	2023-04-11T12:05:23.232996	9.30792300e-05	3.72933400e-08	2.49586736e+03	-6.99894900e-01	-3.63954900e-07	1.92302645e+06	2	4.00501200e-01	4.74855300e-07	8.43417353e+05
6.61228349e+01	2023-04-11T12:05:24.107057	8.47112000e-05	1.91677700e-07	4.41946038e+02	-6.99943000e-01	-4.57618000e-07	1.52953555e+06	2	3.50181100e-01	1.75803600e-07	1.99188811e+06
6.70179787e+01	2023-04-11T12:05:25.002120	6.79754600e-05	9.45783300e-07	7.18721297e+01	-6.99944000e-01	-1.30708200e-06	5.35501216e+05	2	2.99754300e-01	9.34359400e-08	3.20812634e+06
6.79979971e+01	2023-04-11T12:05:25.982188	5.96083700e-05	3.46799400e-06	1.71881410e+01	-6.99921500e-01	-3.48027600e-06	2.01110918e+05	2	2.49917100e-01	6.86414300e-08	3.64090754e+06
6.88573282e+01	2023-04-11T12:05:26.842248	5.12412900e-05	9.00331300e-06	5.69138161e+00	-6.99880800e-01	-9.11544500e-06	7.67796635e+04	2	2.00273500e-01	-2.39323200e-08	-8.36832785e+06
7.00133925e+01	2023-04-11T12:05:27.998328	1.76746100e-04	1.52952300e-05	1.15556353e+01	-6.99879700e-01	-1.57158700e-05	4.45333093e+04	2	1.50091000e-01	-7.57205800e-08	-1.98216918e+06
7.06854495e+01	2023-04-11T12:05:28.670375	1.09812800e-04	2.11059900e-05	5.20292107e+00	-6.99905900e-01	-2.00891000e-05	3.48400824e+04	2	9.98520400e-02	-2.35309900e-07	-4.24342707e+05
