Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.77287138e-01	2023-04-12T13:13:45.387476	4.28742100e-05	7.75091300e-06	5.53150448e+00	-6.99941900e-01	-6.96161700e-06	1.00543006e+05	1	1.00024800e+00	7.09324800e-08	1.41014102e+07
2.02924236e+00	2023-04-12T13:13:46.737336	6.79774800e-05	7.89553800e-06	8.60960710e+00	-6.99910500e-01	-7.91745300e-06	8.84009668e+04	1	9.50095400e-01	2.36003200e-08	4.02577338e+07
2.80612816e+00	2023-04-12T13:13:47.515735	5.96071300e-05	9.19112300e-06	6.48529347e+00	6.99933500e-01	-9.24850800e-06	-7.56806936e+04	1	9.00380700e-01	2.29774600e-08	3.91853886e+07
3.68409298e+00	2023-04-12T13:13:48.390633	7.63418000e-05	1.04381500e-05	7.31372897e+00	-6.99945100e-01	-1.05514400e-05	6.63364527e+04	1	8.49828400e-01	1.40592100e-08	6.04463835e+07
4.55912165e+00	2023-04-12T13:13:49.268999	9.30758600e-05	1.16171700e-05	8.01192201e+00	-6.99938200e-01	-1.16676700e-05	5.99895438e+04	1	8.00390000e-01	2.99365400e-08	2.67362227e+07
5.45218160e+00	2023-04-12T13:13:50.160718	1.18177900e-04	1.29208900e-05	9.14626624e+00	6.99920500e-01	-1.28547500e-05	-5.44483946e+04	1	7.49991000e-01	1.22920500e-08	6.10143141e+07
6.37162421e+00	2023-04-12T13:13:51.081914	7.63418000e-05	1.41687300e-05	5.38804819e+00	-6.99949200e-01	-1.41377100e-05	4.95093760e+04	1	6.99985700e-01	4.06155900e-09	1.72344093e+08
7.26223987e+00	2023-04-12T13:13:51.964069	1.01445600e-04	1.56650100e-05	6.47593586e+00	6.99896500e-01	-1.56447000e-05	-4.47369716e+04	1	6.50010000e-01	2.24907500e-08	2.89012149e+07
8.14087029e+00	2023-04-12T13:13:52.849266	9.30775400e-05	1.71983900e-05	5.41199147e+00	-6.99901200e-01	-1.71407700e-05	4.08325414e+04	1	6.00393600e-01	1.37305300e-08	4.37269064e+07
8.87394187e+00	2023-04-12T13:13:53.584044	5.96071300e-05	1.91380700e-05	3.11458418e+00	-6.99922600e-01	-1.91927300e-05	3.64681106e+04	1	5.50175500e-01	-3.29696700e-09	-1.66873220e+08
9.60596760e+00	2023-04-12T13:13:54.316280	6.79754600e-05	2.13842600e-05	3.17876139e+00	-6.99978600e-01	-2.14559000e-05	3.26240614e+04	1	5.00090400e-01	-3.98525500e-09	-1.25485170e+08
1.03264549e+01	2023-04-12T13:13:55.037331	6.79761400e-05	2.38515700e-05	2.84996501e+00	-6.99933500e-01	-2.40268200e-05	2.91313416e+04	1	4.49828200e-01	1.42580100e-08	3.15491573e+07
1.12221721e+01	2023-04-12T13:13:55.932394	9.30758600e-05	2.66608700e-05	3.49110363e+00	-6.99939300e-01	-2.68897500e-05	2.60299668e+04	1	4.00130200e-01	-6.54706000e-09	-6.11160124e+07
1.21058526e+01	2023-04-12T13:13:56.816455	4.28732000e-05	3.02702000e-05	1.41635007e+00	-6.99912100e-01	-3.02623900e-05	2.31281171e+04	1	3.50049700e-01	-6.60407200e-09	-5.30051308e+07
1.29666309e+01	2023-04-12T13:13:57.677516	7.63418000e-05	3.41668900e-05	2.23437954e+00	-6.99951400e-01	-3.43572500e-05	2.03727423e+04	1	3.00136400e-01	1.37399700e-08	2.18440360e+07
1.38762278e+01	2023-04-12T13:13:58.586580	7.63425300e-05	3.90187900e-05	1.95655811e+00	-6.99902700e-01	-3.90865600e-05	1.79064799e+04	1	2.50121200e-01	-8.76891200e-09	-2.85236298e+07
1.47466976e+01	2023-04-12T13:13:59.457640	8.47104100e-05	4.42046900e-05	1.91632177e+00	-6.99905900e-01	-4.44632400e-05	1.57412258e+04	1	1.99972400e-01	-6.89504900e-09	-2.90023175e+07
1.54811741e+01	2023-04-12T13:14:00.191692	9.30783900e-05	5.14936300e-05	1.80757096e+00	-6.99897500e-01	-5.15825000e-05	1.35685068e+04	1	1.49925800e-01	8.83623100e-09	1.69671662e+07
1.66239869e+01	2023-04-12T13:14:01.334772	6.79741100e-05	5.81012400e-05	1.16992529e+00	-6.99925200e-01	-5.81427400e-05	1.20380498e+04	1	1.00196300e-01	7.01331900e-09	1.42865739e+07
