Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.43389957e+02	2023-04-11T12:35:58.032520	6.79768000e-05	-6.22676500e-07	-1.09168726e+02	-2.99894800e-01	-6.62510900e-07	4.52663949e+05	3	1.00016100e+00	1.25599800e-06	7.96307797e+05
4.43546966e+02	2023-04-11T12:35:58.189529	7.63418000e-05	-4.90589900e-07	-1.55612254e+02	-2.99978200e-01	-5.98098100e-07	5.01553508e+05	3	9.50156500e-01	1.16940400e-06	8.12513468e+05
4.44203853e+02	2023-04-11T12:35:58.846571	5.96090000e-05	-3.88331100e-07	-1.53500454e+02	-2.99964000e-01	-5.66494100e-07	5.29509487e+05	3	9.00440700e-01	8.87608300e-07	1.01445728e+06
4.45033451e+02	2023-04-11T12:35:59.676624	9.30792300e-05	-3.02216900e-07	-3.07988170e+02	-2.99907200e-01	-5.03315900e-07	5.95862757e+05	3	8.50146200e-01	8.89355700e-07	9.55912466e+05
4.45703362e+02	2023-04-11T12:36:00.346666	7.63440100e-05	-2.33568000e-07	-3.26859887e+02	-2.99909500e-01	-4.46070500e-07	6.72336548e+05	3	8.00121100e-01	8.09933300e-07	9.87885175e+05
4.46406607e+02	2023-04-11T12:36:01.049711	5.12407300e-05	-1.74798300e-07	-2.93142039e+02	-2.99955700e-01	-4.20152600e-07	7.13920847e+05	3	7.50101400e-01	4.32695200e-07	1.73355609e+06
4.47401354e+02	2023-04-11T12:36:02.044774	6.79747800e-05	-1.25277500e-07	-5.42593682e+02	-2.99884400e-01	-3.61674000e-07	8.29156644e+05	3	7.00868800e-01	5.24437400e-07	1.33642032e+06
4.48255385e+02	2023-04-11T12:36:02.898827	7.63432700e-05	-7.83261100e-08	-9.74684815e+02	-2.99974200e-01	-3.07553600e-07	9.75355840e+05	3	6.50076900e-01	2.88254300e-07	2.25522013e+06
4.48969534e+02	2023-04-11T12:36:03.612872	7.63447300e-05	-4.92565100e-08	-1.54994193e+03	-2.99930300e-01	-2.70915400e-07	1.10709949e+06	3	5.99958900e-01	2.04840000e-07	2.92891476e+06
4.50032383e+02	2023-04-11T12:36:04.674940	7.63447300e-05	-2.46214600e-08	-3.10073936e+03	-2.99907200e-01	-2.10366700e-07	1.42564008e+06	3	5.50494400e-01	3.16631000e-07	1.73859919e+06
4.50942524e+02	2023-04-11T12:36:05.584998	4.28742100e-05	-6.87085700e-09	-6.24000907e+03	-2.99907200e-01	-1.80729600e-07	1.65942491e+06	3	4.99732300e-01	1.45291000e-07	3.43952688e+06
4.51688320e+02	2023-04-11T12:36:06.331044	7.63410700e-05	1.38157500e-09	5.52565514e+04	-2.99974400e-01	-1.52096400e-07	1.97226496e+06	3	4.50225100e-01	2.09809200e-07	2.14587873e+06
4.52426926e+02	2023-04-11T12:36:07.070091	6.79761400e-05	7.68693900e-09	8.84307004e+03	-2.99936600e-01	-1.17118700e-07	2.56096251e+06	3	4.00250000e-01	1.85214600e-07	2.16100675e+06
4.53156974e+02	2023-04-11T12:36:07.800137	1.01443800e-04	1.43676100e-08	7.06058976e+03	-2.99963700e-01	-8.92117700e-08	3.36237808e+06	3	3.50116500e-01	1.26914800e-07	2.75867354e+06
4.54235308e+02	2023-04-11T12:36:08.878205	9.30775400e-05	2.26446100e-08	4.11036180e+03	-2.99959400e-01	-6.50042800e-08	4.61445616e+06	3	2.99346200e-01	-7.77936900e-08	-3.84794962e+06
4.55317342e+02	2023-04-11T12:36:09.960273	9.30783900e-05	1.91769800e-08	4.85365214e+03	-2.99923900e-01	-5.07315500e-08	5.91197982e+06	3	2.50362100e-01	1.05634700e-07	2.37007442e+06
4.56442775e+02	2023-04-11T12:36:11.085345	5.96096200e-05	4.35271400e-08	1.36948166e+03	-2.99961700e-01	-5.62855100e-08	5.32928812e+06	3	1.99789700e-01	3.64056900e-08	5.48787017e+06
4.57380920e+02	2023-04-11T12:36:12.024404	7.63425300e-05	2.42229600e-07	3.15165983e+02	-2.99993400e-01	-2.04914400e-07	1.46399375e+06	3	1.49992700e-01	1.29503100e-08	1.15821706e+07
4.58282276e+02	2023-04-11T12:36:12.925460	7.63432700e-05	1.15113000e-06	6.63202853e+01	-2.99940900e-01	-9.47093900e-07	3.16696053e+05	3	1.00096000e-01	-4.64589500e-08	-2.15450414e+06
