Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.80776588e-01	2023-04-13T13:43:14.124288	5.96077600e-05	-1.47259800e-04	-4.04779580e-01	-2.99955700e-01	-1.09711500e-06	2.73404064e+05	1	1.50016100e+00	1.71339800e-04	8.75547304e+03
1.89553973e+00	2023-04-13T13:43:15.340855	7.63432700e-05	-1.70910200e-04	-4.46686447e-01	-2.99928300e-01	-1.18173100e-06	2.53804208e+05	1	1.45017100e+00	1.88634600e-04	7.68772537e+03
2.42231596e+00	2023-04-13T13:43:15.860860	8.47112000e-05	-1.83289000e-04	-4.62172853e-01	-2.99905200e-01	-1.17281900e-06	2.55713115e+05	1	1.40019300e+00	1.92918400e-04	7.25795466e+03
2.95408351e+00	2023-04-13T13:43:16.400863	5.12424200e-05	-1.86186900e-04	-2.75220330e-01	-2.99936600e-01	-1.11301100e-06	2.69482152e+05	1	1.35010100e+00	1.90989500e-04	7.06898023e+03
3.48523665e+00	2023-04-13T13:43:16.930867	6.79761400e-05	-1.84075000e-04	-3.69285020e-01	-2.99919900e-01	-1.04204100e-06	2.87819673e+05	1	1.30018300e+00	1.86055100e-04	6.98816103e+03
4.00088986e+00	2023-04-13T13:43:17.447024	5.12418500e-05	-1.79263300e-04	-2.85846852e-01	-2.99984800e-01	-9.72161900e-07	3.08574940e+05	1	1.25015200e+00	1.79332700e-04	6.97113243e+03
4.51650176e+00	2023-04-13T13:43:17.962616	6.79741100e-05	-1.72560800e-04	-3.93913971e-01	-2.99926200e-01	-8.93673800e-07	3.35610376e+05	1	1.20015500e+00	1.71592800e-04	6.99420372e+03
5.03452415e+00	2023-04-13T13:43:18.481561	3.45075800e-05	-1.65027100e-04	-2.09102505e-01	-2.99972400e-01	-8.05506200e-07	3.72402348e+05	1	1.15022300e+00	1.63338100e-04	7.04197612e+03
5.55194239e+00	2023-04-13T13:43:18.998593	9.30783900e-05	-1.57054600e-04	-5.92649881e-01	-2.99936600e-01	-7.30653000e-07	4.10504850e+05	1	1.10016000e+00	1.54630200e-04	7.11478094e+03
6.09471657e+00	2023-04-13T13:43:19.541628	3.45062200e-05	-1.48430300e-04	-2.32474232e-01	-2.99957700e-01	-6.58602000e-07	4.55446081e+05	1	1.05018000e+00	1.46048500e-04	7.19062503e+03
6.61245464e+00	2023-04-13T13:43:20.059661	7.63425300e-05	-1.40105400e-04	-5.44893559e-01	-2.99921900e-01	-5.80809100e-07	5.16386365e+05	1	1.00019300e+00	1.37476900e-04	7.27535317e+03
7.12712070e+00	2023-04-13T13:43:20.573693	5.96071300e-05	-1.31763100e-04	-4.52381054e-01	-2.99934600e-01	-5.16480700e-07	5.80727605e+05	1	9.50154100e-01	1.28881200e-04	7.37232506e+03
7.64223562e+00	2023-04-13T13:43:21.088727	7.63432700e-05	-1.23533000e-04	-6.17998996e-01	-2.99955700e-01	-4.59075100e-07	6.53391351e+05	1	9.00140400e-01	1.20759200e-04	7.45401096e+03
8.16438849e+00	2023-04-13T13:43:21.610760	6.79768000e-05	-1.15730000e-04	-5.87374060e-01	-2.99945000e-01	-4.13408100e-07	7.25542146e+05	1	8.50089900e-01	1.12953900e-04	7.52598981e+03
8.67429091e+00	2023-04-13T13:43:22.120791	6.79754600e-05	-1.08435500e-04	-6.26874594e-01	-2.99936600e-01	-3.58102800e-07	8.37571223e+05	1	8.00135400e-01	1.04593600e-04	7.64994608e+03
9.36256898e+00	2023-04-13T13:43:22.809835	5.12379200e-05	-1.00357300e-04	-5.10554987e-01	-3.00005600e-01	-3.21878800e-07	9.32045229e+05	1	7.50091400e-01	9.82583100e-05	7.63387239e+03
9.91496910e+00	2023-04-13T13:43:23.361871	5.96077600e-05	-9.40364000e-05	-6.33879647e-01	-2.99953300e-01	-2.95082300e-07	1.01650726e+06	1	7.00154100e-01	9.26177600e-05	7.55960952e+03
1.04541658e+01	2023-04-13T13:43:23.900905	1.77722900e-05	-8.83787500e-05	-2.01092344e-01	-2.99955400e-01	-2.69240500e-07	1.11407979e+06	1	6.50177300e-01	8.75570200e-05	7.42575867e+03
1.10170431e+01	2023-04-13T13:43:24.463940	5.12407300e-05	-8.31675800e-05	-6.16114236e-01	-2.99947000e-01	-2.41798400e-07	1.24048381e+06	1	6.00150700e-01	8.29642300e-05	7.23384885e+03
