Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.77906316e-01	2023-04-13T14:32:48.259562	-7.32828100e-06	-1.05235800e-08	6.96367681e+02	-2.99966000e-01	-1.14948800e-07	2.60956182e+06	1	1.50011100e+00	6.76663300e-08	2.21692384e+07
2.57612449e+00	2023-04-13T14:32:50.153436	2.26953500e-04	-4.92174900e-09	-4.61123678e+04	-2.99917900e-01	-8.19476500e-08	3.65987188e+06	1	1.45030000e+00	5.81428600e-08	2.49437334e+07
3.31313915e+00	2023-04-13T14:32:50.889489	1.09810900e-04	3.01693500e-09	3.63981657e+04	-2.99953300e-01	-5.51093400e-08	5.44287593e+06	1	1.40026100e+00	7.99887200e-08	1.75057308e+07
4.04489181e+00	2023-04-13T14:32:51.625169	1.03902500e-06	4.93833600e-09	2.10399819e+02	-2.99903200e-01	-3.79657100e-08	7.89931757e+06	1	1.34994400e+00	6.66286200e-08	2.02607228e+07
5.15424782e+00	2023-04-13T14:32:52.727375	1.60013400e-04	3.90144900e-10	4.10138387e+05	-2.99846900e-01	-2.51688400e-08	1.19134175e+07	1	1.30027500e+00	4.93452100e-09	2.63505820e+08
6.07604359e+00	2023-04-13T14:32:53.652968	1.51650000e-04	-3.06761600e-09	-4.94357834e+04	-2.99857300e-01	-1.58649900e-08	1.89005666e+07	1	1.25063700e+00	1.40597800e-08	8.89513918e+07
6.85735853e+00	2023-04-13T14:32:54.438758	2.18584600e-04	-4.38204700e-09	-4.98818475e+04	-2.99951400e-01	-8.63200300e-09	3.47487599e+07	1	1.20046400e+00	-1.44132900e-09	-8.32886870e+08
7.81227660e+00	2023-04-13T14:32:55.394221	1.26542900e-04	4.60015700e-09	2.75083872e+04	-2.99874000e-01	-1.12653900e-08	2.66190518e+07	1	1.14997500e+00	2.63857800e-08	4.35831346e+07
8.74987063e+00	2023-04-13T14:32:56.331280	-4.91637100e-05	9.30788400e-09	-5.28194271e+03	-2.99918200e-01	-7.97927300e-09	3.75871586e+07	1	1.09991900e+00	1.71386600e-08	6.41776545e+07
9.68980792e+00	2023-04-13T14:32:57.271340	1.26548200e-04	4.46552800e-09	2.83389109e+04	-2.99972400e-01	1.18423800e-09	-2.53304150e+08	1	1.05033400e+00	-2.89832400e-09	-3.62393576e+08
1.07010958e+01	2023-04-13T14:32:58.282404	1.77736400e-05	-1.72549600e-09	-1.03005976e+04	-3.00007800e-01	2.80656400e-09	-1.06895050e+08	1	1.00007100e+00	2.15293800e-08	4.64514538e+07
1.14668572e+01	2023-04-13T14:32:59.048453	-2.40622200e-05	7.55223500e-09	-3.18610583e+03	-3.00009900e-01	-6.86139100e-10	4.37243556e+08	1	9.50003900e-01	1.73038400e-08	5.49013340e+07
1.23889046e+01	2023-04-13T14:32:59.970511	-7.32845000e-06	8.72573600e-09	-8.39866116e+02	-2.99953300e-01	-2.07798100e-09	1.44348432e+08	1	9.00299400e-01	-4.02772500e-09	-2.23525539e+08
1.33634056e+01	2023-04-13T14:33:00.944573	2.43686000e-04	-3.67590100e-09	-6.62928626e+04	-2.99922200e-01	4.66173900e-09	-6.43369781e+07	1	8.49806400e-01	1.02721300e-08	8.27293268e+07
1.43120336e+01	2023-04-13T14:33:01.893633	1.09810900e-04	6.68433900e-09	1.64280866e+04	-2.99876100e-01	-1.00448000e-09	2.98538647e+08	1	7.99948400e-01	-2.19535100e-08	-3.64382916e+07
1.50957337e+01	2023-04-13T14:33:02.677684	1.18176900e-04	9.57330000e-09	1.23444267e+04	-2.99888800e-01	1.77983300e-10	-1.68492662e+09	1	7.49840400e-01	-6.88187600e-09	-1.08958720e+08
1.60138721e+01	2023-04-13T14:33:03.595741	1.93480100e-04	9.15891900e-09	2.11247747e+04	-2.99888500e-01	1.53750000e-09	-1.95049431e+08	1	6.99940200e-01	-1.82361700e-08	-3.83819738e+07
1.69511535e+01	2023-04-13T14:33:04.532801	1.26546100e-04	2.62210800e-08	4.82612082e+03	-2.99963700e-01	-1.64001800e-08	1.82902688e+07	1	6.49884500e-01	1.68358300e-08	3.86012748e+07
1.78887172e+01	2023-04-13T14:33:05.470860	1.51646300e-04	1.50637700e-07	1.00669554e+03	-2.99911800e-01	-5.52709000e-07	5.42621524e+05	1	6.00573500e-01	-1.79877400e-10	-3.33879353e+09
