Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.53479147e+02	2023-04-14T12:09:14.424919	-7.32828100e-06	-4.16338900e-09	1.76017206e+03	-2.99949300e-01	-2.74609300e-08	1.09227655e+07	1	1.49996900e+00	7.50507400e-08	1.99860654e+07
2.54871495e+02	2023-04-14T12:09:15.817008	4.28747200e-05	-4.66478800e-09	-9.19114009e+03	-3.00016200e-01	-2.31890700e-08	1.29378280e+07	1	1.45068600e+00	2.75060000e-08	5.27407111e+07
2.55792671e+02	2023-04-14T12:09:16.738065	5.96090000e-05	-2.38415800e-09	-2.50021181e+04	-2.99980500e-01	-1.90229600e-08	1.57693913e+07	1	1.40065300e+00	3.10638700e-08	4.50894560e+07
2.56729969e+02	2023-04-14T12:09:17.676126	1.01442900e-04	-3.12153600e-09	-3.24977511e+04	-3.00003600e-01	-1.36011900e-08	2.20571582e+07	1	1.35042200e+00	1.44816500e-08	9.32505619e+07
2.57652038e+02	2023-04-14T12:09:18.598184	3.45089300e-05	-1.53416300e-09	-2.24936529e+04	-3.00056000e-01	-1.09110600e-08	2.75001696e+07	1	1.30035800e+00	1.95523300e-08	6.65065493e+07
2.58573907e+02	2023-04-14T12:09:19.519242	5.12429800e-05	-2.03761000e-10	-2.51485711e+05	-2.99972100e-01	-9.22713900e-09	3.25097628e+07	1	1.25060400e+00	2.70359400e-08	4.62570933e+07
2.59495323e+02	2023-04-14T12:09:20.441301	3.45066800e-05	8.65885100e-10	3.98513382e+04	-3.00077100e-01	-7.74515900e-09	3.87438270e+07	1	1.20000400e+00	3.27986500e-08	3.65869937e+07
2.60443471e+02	2023-04-14T12:09:21.389361	4.28737000e-05	-2.26056400e-10	-1.89659306e+05	-2.99995500e-01	-4.11651700e-09	7.28760503e+07	1	1.15063400e+00	1.71377400e-08	6.71403581e+07
2.61370014e+02	2023-04-14T12:09:22.315419	4.28737000e-05	-1.84539200e-09	-2.32328416e+04	-2.99968100e-01	-1.75127800e-09	1.71285256e+08	1	1.09989400e+00	2.35823400e-08	4.66405793e+07
2.62198354e+02	2023-04-14T12:09:23.144473	6.79761400e-05	2.61652000e-09	2.59795989e+04	-2.99905200e-01	-5.03245200e-09	5.95942495e+07	1	1.04973900e+00	1.23382200e-08	8.50802628e+07
2.63121460e+02	2023-04-14T12:09:24.067531	9.30783900e-05	1.88506600e-09	4.93767274e+04	-2.99886400e-01	-3.14267600e-09	9.54238999e+07	1	9.99938500e-01	3.20724300e-09	3.11775098e+08
2.64105452e+02	2023-04-14T12:09:25.051594	1.09813700e-04	-2.69373900e-10	-4.07662732e+05	-2.99901100e-01	-4.64543600e-10	6.45582245e+08	1	9.49809100e-01	-2.17425700e-08	-4.36843069e+07
2.65042411e+02	2023-04-14T12:09:25.988653	1.01442000e-04	1.10313400e-09	9.19580033e+04	-2.99882400e-01	-1.55659600e-09	1.92652686e+08	1	8.99789600e-01	-9.36877100e-09	-9.60413698e+07
2.65985514e+02	2023-04-14T12:09:26.931712	1.01442900e-04	2.97024600e-09	3.41530297e+04	-2.99882400e-01	-2.74991500e-09	1.09051516e+08	1	8.49859700e-01	1.73587800e-09	4.89584925e+08
2.66902149e+02	2023-04-14T12:09:27.847770	1.09811800e-04	2.83652600e-09	3.87134826e+04	-2.99892800e-01	-1.18022200e-09	2.54098636e+08	1	7.99627600e-01	-8.91344400e-09	-8.97102848e+07
2.67824043e+02	2023-04-14T12:09:28.769829	9.30775400e-05	3.79889700e-09	2.45012013e+04	-2.99867400e-01	2.82274400e-10	-1.06232588e+09	1	7.50126500e-01	-2.21978100e-08	-3.37928156e+07
2.68745330e+02	2023-04-14T12:09:29.690888	1.26547200e-04	5.48812700e-09	2.30583585e+04	-2.99934600e-01	1.47563400e-09	-2.03258125e+08	1	7.00421800e-01	-2.17371100e-08	-3.22223975e+07
2.69672951e+02	2023-04-14T12:09:30.618947	6.79747800e-05	7.30990300e-09	9.29899891e+03	-2.99999200e-01	1.56903800e-09	-1.91199448e+08	1	6.50440900e-01	-1.22113400e-08	-5.32653173e+07
2.70644867e+02	2023-04-14T12:09:31.591008	5.12407300e-05	9.68117300e-08	5.29282247e+02	-2.99932600e-01	-1.30089900e-07	2.30557945e+06	1	5.99900000e-01	6.14157300e-09	9.76785589e+07
