Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.53810032e+02	2023-04-14T10:39:11.421006	1.34913200e-04	-6.80725300e-10	-1.98190371e+05	-2.99951000e-01	-1.52479100e-08	1.96716140e+07	1	1.49983300e+00	4.16344700e-08	3.60238283e+07
2.54923605e+02	2023-04-14T10:39:12.535076	1.09812800e-04	-2.86834800e-09	-3.82843365e+04	-2.99924200e-01	-1.22964500e-08	2.43911210e+07	1	1.45035100e+00	-4.78934700e-09	-3.02828548e+08
2.55845453e+02	2023-04-14T10:39:13.456134	1.09810900e-04	-3.73681400e-09	-2.93862365e+04	-2.99974200e-01	-7.90190000e-09	3.79622876e+07	1	1.40054700e+00	2.26314600e-10	6.18849601e+09
2.56767324e+02	2023-04-14T10:39:14.378193	3.45071300e-05	-2.36236600e-09	-1.46070211e+04	-2.99980800e-01	-5.70005600e-09	5.26276935e+07	1	1.35053500e+00	9.66239900e-09	1.39772224e+08
2.57689498e+02	2023-04-14T10:39:15.300252	1.03834800e-06	-4.86826600e-10	-2.13289085e+03	-2.99995200e-01	-5.53365300e-09	5.42128681e+07	1	1.30018200e+00	2.22983500e-08	5.83084399e+07
2.58626849e+02	2023-04-14T10:39:16.238311	4.28752200e-05	-1.77171400e-09	-2.41998539e+04	-2.99993200e-01	-2.87526000e-09	1.04336025e+08	1	1.25045300e+00	7.67126700e-09	1.63004755e+08
2.59548569e+02	2023-04-14T10:39:17.159369	2.61408300e-05	-9.27213200e-11	-2.81929011e+05	-2.99980500e-01	-3.39170000e-09	8.84454698e+07	1	1.20051400e+00	2.10168000e-08	5.71216360e+07
2.60470479e+02	2023-04-14T10:39:18.081428	2.61404400e-05	1.37859300e-09	1.89616805e+04	-3.00007800e-01	-4.14180100e-09	7.24341416e+07	1	1.15004100e+00	2.58653700e-08	4.44625768e+07
2.61392296e+02	2023-04-14T10:39:19.003487	1.77729600e-05	2.83189900e-09	6.27598654e+03	-2.99926200e-01	-5.72876500e-09	5.23544254e+07	1	1.09983600e+00	1.95272600e-08	5.63231093e+07
2.62314045e+02	2023-04-14T10:39:19.925545	6.79761400e-05	2.32164600e-09	2.92792872e+04	-2.99898800e-01	-5.11725700e-09	5.86053818e+07	1	1.04995600e+00	8.41350700e-09	1.24794096e+08
2.63236161e+02	2023-04-14T10:39:20.847603	1.43283900e-04	9.31076300e-10	1.53890610e+05	-2.99905500e-01	-3.48038100e-09	8.61703072e+07	1	9.99692400e-01	-2.89872600e-09	-3.44873024e+08
2.64157926e+02	2023-04-14T10:39:21.768662	1.26545000e-04	-1.05757200e-10	-1.19656156e+06	-2.99909500e-01	-1.43422900e-09	2.09108518e+08	1	9.50072300e-01	-1.55951200e-08	-6.09211279e+07
2.65081323e+02	2023-04-14T10:39:22.692721	1.18177900e-04	-1.68010500e-09	-7.03395919e+04	-2.99940900e-01	2.49891200e-10	-1.20028596e+09	1	9.00334300e-01	-1.07046600e-08	-8.41067628e+07
2.66001874e+02	2023-04-14T10:39:23.612779	1.26546100e-04	-6.62218800e-10	-1.91094092e+05	-2.99949000e-01	1.80243400e-09	-1.66413306e+08	1	8.50319300e-01	-8.09522500e-09	-1.05039613e+08
2.66923571e+02	2023-04-14T10:39:24.534837	3.45075800e-05	1.91361800e-09	1.80326377e+04	-3.00018200e-01	1.63170600e-09	-1.83867805e+08	1	8.00113300e-01	1.51732000e-08	5.27320078e+07
2.67689302e+02	2023-04-14T10:39:25.300886	3.45071300e-05	8.94223800e-09	3.85889192e+03	-2.99953600e-01	-2.74613000e-09	1.09227750e+08	1	7.49887300e-01	1.43198200e-08	5.23670898e+07
2.68628755e+02	2023-04-14T10:39:26.239946	5.96065100e-05	1.25359500e-08	4.75484586e+03	-2.99986800e-01	-4.57689600e-09	6.55437222e+07	1	7.00116000e-01	1.42465600e-08	4.91428106e+07
2.69548671e+02	2023-04-14T10:39:27.160004	5.96102300e-05	4.31918100e-08	1.38012808e+03	-2.99982800e-01	-4.29116200e-08	6.99071254e+06	1	6.49947000e-01	1.43402000e-08	4.53234265e+07
2.70485849e+02	2023-04-14T10:39:28.097063	6.79754600e-05	1.35172000e-07	5.02881218e+02	-2.99932600e-01	-6.95515300e-07	4.31237961e+05	1	6.00209800e-01	-7.55437100e-09	-7.94519888e+07
