Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.26336816e+02	2023-03-13T15:27:57.174237	5.96065100e-05	-2.37538600e-07	-2.50933996e+02	-2.99913800e-01	-3.42094000e-07	8.76699971e+05	1	1.00010700e+00	5.73762800e-07	1.74306700e+06
3.27034409e+02	2023-03-13T15:27:57.871280	6.79754600e-05	-2.00043300e-07	-3.39803732e+02	-2.99951000e-01	-3.02121500e-07	9.92815804e+05	1	9.49984300e-01	4.93638600e-07	1.92445303e+06
3.27611860e+02	2023-03-13T15:27:58.449317	1.09816600e-04	-1.71834900e-07	-6.39082049e+02	-2.99993200e-01	-2.85081300e-07	1.05230753e+06	1	9.00194300e-01	4.77803300e-07	1.88402696e+06
3.28331136e+02	2023-03-13T15:27:59.168363	6.79727500e-05	-1.45647200e-07	-4.66694519e+02	-2.99926200e-01	-2.68404800e-07	1.11743978e+06	1	8.50258500e-01	4.22680500e-07	2.01158677e+06
3.29049823e+02	2023-03-13T15:27:59.886408	7.63410700e-05	-1.22441200e-07	-6.23491684e+02	-2.99963700e-01	-2.49368700e-07	1.20289234e+06	1	7.99990200e-01	2.49459700e-07	3.20689153e+06
3.29768616e+02	2023-03-13T15:28:00.605454	1.01443800e-04	-1.01532900e-07	-9.99122452e+02	-2.99943000e-01	-2.29268000e-07	1.30826369e+06	1	7.50029500e-01	2.06390300e-07	3.63403464e+06
3.30490911e+02	2023-03-13T15:28:01.327499	5.96083700e-05	-8.38912600e-08	-7.10543268e+02	-2.99936600e-01	-2.08377200e-07	1.43939260e+06	1	7.00013400e-01	2.42429700e-07	2.88749027e+06
3.31206796e+02	2023-03-13T15:28:02.043546	8.47088300e-05	-6.88057700e-08	-1.23112974e+03	-2.99945000e-01	-1.87426400e-07	1.60033485e+06	1	6.50436200e-01	2.45559100e-07	2.64879697e+06
3.31924941e+02	2023-03-13T15:28:02.761591	7.63425300e-05	-5.39853200e-08	-1.41413499e+03	-2.99953300e-01	-1.65871800e-07	1.80834415e+06	1	6.00322600e-01	2.45227200e-07	2.44802616e+06
3.32643744e+02	2023-03-13T15:28:03.480637	1.01449200e-04	-4.04550600e-08	-2.50770114e+03	-2.99936900e-01	-1.41080000e-07	2.12600581e+06	1	5.49922700e-01	9.52146300e-08	5.77561137e+06
3.33549486e+02	2023-03-13T15:28:04.386694	1.01444700e-04	-2.12443800e-08	-4.77513112e+03	-2.99962000e-01	-1.24511700e-07	2.40910694e+06	1	4.99963200e-01	1.32080900e-07	3.78528008e+06
3.34283930e+02	2023-03-13T15:28:05.120741	5.96071300e-05	-7.30361600e-09	-8.16131763e+03	-2.99961700e-01	-1.05590400e-07	2.84080466e+06	1	4.50179500e-01	2.17576100e-07	2.06906687e+06
3.35018004e+02	2023-03-13T15:28:05.855315	9.30783900e-05	-1.39072500e-09	-6.69279620e+04	-2.99963700e-01	-8.64750100e-08	3.46879058e+06	1	4.00063200e-01	7.91612200e-08	5.05377759e+06
3.35776777e+02	2023-03-13T15:28:06.613391	1.09815700e-04	2.02175600e-09	5.43169898e+04	-2.99928000e-01	-7.39250600e-08	4.05718981e+06	1	3.50175100e-01	6.41135500e-08	5.46179552e+06
3.36862084e+02	2023-03-13T15:28:07.699460	7.63432700e-05	3.87681700e-09	1.96922553e+04	-2.99930300e-01	-6.15521800e-08	4.87278111e+06	1	3.00297400e-01	1.16552800e-07	2.57649237e+06
3.37597268e+02	2023-03-13T15:28:08.434506	8.47088300e-05	5.59247900e-09	1.51469196e+04	-2.99940900e-01	-4.68279300e-08	6.40517102e+06	1	2.50104500e-01	9.80346000e-08	2.55118601e+06
3.38675213e+02	2023-03-13T15:28:09.512575	4.28742100e-05	2.10477400e-08	2.03699827e+03	-2.99947300e-01	-3.54899800e-08	8.45160521e+06	1	2.00365500e-01	7.06623300e-08	2.83553486e+06
3.39597790e+02	2023-03-13T15:28:10.434634	8.47104100e-05	3.84802600e-08	2.20139911e+03	-2.99911500e-01	-6.23886800e-08	4.80714610e+06	1	1.50191400e-01	1.20020900e-08	1.25137705e+07
3.40831440e+02	2023-03-13T15:28:11.668712	1.09809900e-04	4.47511700e-07	2.45378836e+02	-2.99964000e-01	-4.41303300e-07	6.79722993e+05	1	1.00038100e-01	6.79527400e-09	1.47217169e+07
