Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.19630066e+02	2023-03-10T19:33:35.013839	7.63432700e-05	-8.23301500e-08	-9.27282047e+02	-6.99866600e-01	-4.92092100e-07	1.42222686e+06	1	8.00069000e-01	5.81766500e-07	1.37524075e+06
2.20177935e+02	2023-03-10T19:33:35.560874	8.47112000e-05	-6.29983300e-08	-1.34465787e+03	-6.99917900e-01	-4.20022300e-07	1.66638271e+06	1	7.50066200e-01	5.38584200e-07	1.39266284e+06
2.20863135e+02	2023-03-10T19:33:36.246916	5.12390400e-05	-4.96180700e-08	-1.03266895e+03	-6.99947600e-01	-3.60114700e-07	1.94367961e+06	1	7.00147300e-01	4.12909000e-07	1.69564553e+06
2.21736595e+02	2023-03-10T19:33:37.119971	9.30783900e-05	-4.08383800e-08	-2.27918909e+03	-6.99876000e-01	-3.24748200e-07	2.15513435e+06	1	6.50005600e-01	2.90919600e-07	2.23431354e+06
2.22642557e+02	2023-03-10T19:33:38.026029	8.47096200e-05	-3.04776200e-08	-2.77940403e+03	-6.99897500e-01	-2.93968400e-07	2.38085964e+06	1	6.00260000e-01	4.11798600e-07	1.45765430e+06
2.23392581e+02	2023-03-10T19:33:38.776076	6.79774800e-05	-2.13384500e-08	-3.18568031e+03	-6.99934600e-01	-2.67025600e-07	2.62122658e+06	1	5.50021300e-01	2.10044000e-07	2.61860039e+06
2.24142549e+02	2023-03-10T19:33:39.526124	8.47096200e-05	-1.27989300e-08	-6.61849233e+03	-6.99908500e-01	-2.49973600e-07	2.79992967e+06	1	5.00247700e-01	2.89589400e-07	1.72743788e+06
2.24876778e+02	2023-03-10T19:33:40.260170	5.96090000e-05	-7.44068400e-09	-8.01122585e+03	-6.99950300e-01	-2.28228300e-07	3.06688653e+06	1	4.49945300e-01	2.13392200e-07	2.10853677e+06
2.25626794e+02	2023-03-10T19:33:41.010217	8.47096200e-05	-5.45168100e-09	-1.55382569e+04	-6.99892800e-01	-2.16639100e-07	3.23068550e+06	1	4.00235900e-01	2.58991500e-07	1.54536307e+06
2.26377027e+02	2023-03-10T19:33:41.760265	6.79768000e-05	-9.23426800e-10	-7.36136313e+04	-6.99921500e-01	-1.96027400e-07	3.57052892e+06	1	3.50037600e-01	1.71772300e-07	2.03780004e+06
2.26986293e+02	2023-03-10T19:33:42.369303	8.47104100e-05	1.71133500e-09	4.94996070e+04	-6.99920500e-01	-1.84414600e-07	3.79536382e+06	1	3.00167900e-01	2.55577100e-07	1.17447103e+06
2.27739032e+02	2023-03-10T19:33:43.122351	5.12412900e-05	1.48555600e-08	3.44930046e+03	-6.99914300e-01	-1.65297300e-07	4.23427545e+06	1	2.49823400e-01	1.83158800e-07	1.36397159e+06
2.28459618e+02	2023-03-10T19:33:43.843396	2.52053200e-04	4.49632400e-09	5.60576151e+04	-6.99860800e-01	-1.89903600e-07	3.68534772e+06	1	2.50012500e-01	1.62170500e-07	1.54166448e+06
2.28688915e+02	2023-03-10T19:33:44.072410	7.63388700e-05	7.20306300e-09	1.05981122e+04	-6.99887000e-01	-1.64995000e-07	4.24186794e+06	1	2.40200500e-01	1.82773800e-07	1.31419547e+06
2.29439258e+02	2023-03-10T19:33:44.822458	1.01443800e-04	2.63415100e-09	3.85110041e+04	-6.99932400e-01	-1.55403000e-07	4.50398255e+06	1	2.29995400e-01	1.34405500e-07	1.71120527e+06
2.30189606e+02	2023-03-10T19:33:45.572505	4.28726800e-05	-6.72784900e-09	-6.37242007e+03	-6.99907300e-01	-1.54721000e-07	4.52367358e+06	1	2.20053600e-01	1.10039400e-07	1.99977099e+06
2.30923841e+02	2023-03-10T19:33:46.307552	4.28737000e-05	-5.27807700e-09	-8.12297736e+03	-6.99950300e-01	-1.48013300e-07	4.72896895e+06	1	2.10205300e-01	1.86795000e-07	1.12532616e+06
2.31673886e+02	2023-03-10T19:33:47.057598	4.28737000e-05	1.82315500e-08	2.35162123e+03	-6.99929900e-01	-1.51852200e-07	4.60928390e+06	1	2.00106200e-01	1.13651700e-07	1.76069694e+06
2.32427299e+02	2023-03-10T19:33:47.810647	6.79761400e-05	1.02951800e-07	6.60271506e+02	-6.99925200e-01	-2.39818600e-07	2.91856095e+06	1	1.90114800e-01	1.46861100e-07	1.29452115e+06
