Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.43776148e+02	2023-03-16T20:03:13.121575	5.96102300e-05	-1.57029900e-07	-3.79610698e+02	-4.99934900e-01	-7.21405200e-07	6.93001520e+05	2	1.00011200e+00	1.04444900e-06	9.57549866e+05
2.44027294e+02	2023-03-16T20:03:13.373593	-4.07967900e-05	-2.12008000e-07	1.92430427e+02	-4.99955000e-01	-6.38411300e-07	7.83123670e+05	2	9.50162900e-01	7.93698200e-07	1.19713375e+06
2.44718623e+02	2023-03-16T20:03:14.064642	3.45057800e-05	-1.00089100e-07	-3.44750627e+02	-4.99944900e-01	-5.69236800e-07	8.78272276e+05	2	9.00156300e-01	5.65924700e-07	1.59059377e+06
2.45386868e+02	2023-03-16T20:03:14.732690	8.47104100e-05	-1.80164600e-07	-4.70183432e+02	-4.99951600e-01	-5.10277300e-07	9.79764532e+05	2	8.50096100e-01	7.11578100e-07	1.19466310e+06
2.46074598e+02	2023-03-16T20:03:15.420737	1.77722900e-05	-5.44254100e-08	-3.26543980e+02	-4.99963300e-01	-4.66252500e-07	1.07230160e+06	2	7.99990200e-01	5.59415300e-07	1.43004705e+06
2.46949666e+02	2023-03-16T20:03:16.295799	-1.56951400e-05	-9.74344200e-08	1.61084143e+02	-4.99960000e-01	-4.29958800e-07	1.16280909e+06	2	7.50119800e-01	4.89090800e-07	1.53370254e+06
2.47636860e+02	2023-03-16T20:03:16.982874	8.47088300e-05	-1.10552300e-07	-7.66233086e+02	-4.99941600e-01	-4.00023800e-07	1.24977964e+06	2	7.00136300e-01	5.83330000e-07	1.20024052e+06
2.49012006e+02	2023-03-16T20:03:18.358013	-7.32811000e-06	-3.12040100e-08	2.34845137e+02	-5.00021900e-01	-3.68598400e-07	1.35654930e+06	2	6.50314800e-01	4.25338200e-07	1.52893580e+06
2.50215480e+02	2023-03-16T20:03:19.561098	1.43275700e-04	-9.03399600e-09	-1.58596152e+04	-4.99948300e-01	-3.36831900e-07	1.48426648e+06	2	6.00134500e-01	4.76483400e-07	1.25950768e+06
2.51121881e+02	2023-03-16T20:03:20.468163	4.11022800e-04	-1.56274400e-08	-2.63013520e+04	-4.99924900e-01	-3.09956600e-07	1.61288677e+06	2	5.50316800e-01	2.49081200e-07	2.20938714e+06
2.51855873e+02	2023-03-16T20:03:21.202214	-1.83041200e-04	8.94932800e-09	-2.04530664e+04	-4.99970000e-01	-2.81930000e-07	1.77338346e+06	2	5.00145600e-01	3.12201100e-07	1.60199820e+06
2.53106035e+02	2023-03-16T20:03:22.452303	3.60820700e-04	-1.55163000e-08	-2.32543003e+04	-4.99951700e-01	-2.49633400e-07	2.00274362e+06	2	4.49747600e-01	1.70801800e-07	2.63315492e+06
2.54184160e+02	2023-03-16T20:03:23.530378	3.35724500e-04	-5.17495600e-09	-6.48748511e+04	-4.99965000e-01	-2.23788400e-07	2.23409703e+06	2	4.00481800e-01	3.71201800e-07	1.07887893e+06
2.54934021e+02	2023-03-16T20:03:24.280431	-1.24468800e-04	3.26642900e-09	-3.81054662e+04	-4.99914900e-01	-1.91732300e-07	2.60735880e+06	2	3.49365100e-01	2.43973700e-07	1.43197853e+06
2.56027853e+02	2023-03-16T20:03:25.373508	1.68383100e-04	-4.62188500e-09	-3.64316940e+04	-4.99961700e-01	-1.64541200e-07	3.03851984e+06	2	2.99331400e-01	-1.02424800e-07	-2.92245042e+06
2.57112455e+02	2023-03-16T20:03:26.458586	1.26544000e-04	-1.32367900e-08	-9.56002173e+03	-4.99946600e-01	-1.35192200e-07	3.69804323e+06	2	2.50056000e-01	-9.51971100e-08	-2.62671840e+06
2.58528063e+02	2023-03-16T20:03:27.873685	1.01442000e-04	4.22383300e-08	2.40165745e+03	-4.99996800e-01	-1.39190400e-07	3.59217877e+06	2	2.00231700e-01	8.67687600e-08	2.30764736e+06
2.59809174e+02	2023-03-16T20:03:29.154775	7.63432700e-05	4.91158300e-07	1.55435162e+02	-4.99929900e-01	-6.15046900e-07	8.12832160e+05	2	1.49969600e-01	4.06466500e-08	3.68959312e+06
2.60657268e+02	2023-03-16T20:03:30.003836	1.18179000e-04	3.30044400e-06	3.58070005e+01	-4.99951600e-01	-3.34623900e-06	1.49407021e+05	2	1.00053500e-01	3.83593900e-08	2.60831833e+06
