Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.15155891e+02	2023-04-06T16:15:36.823647	2.61404400e-05	-2.80237900e-07	-9.32794601e+01	-2.99957400e-01	-3.37259800e-07	8.89395653e+05	2	1.00010600e+00	5.58329900e-07	1.79124564e+06
4.15328366e+02	2023-04-06T16:15:36.996657	5.12418500e-05	-2.59641000e-07	-1.97356542e+02	-2.99955700e-01	-3.03807600e-07	9.87321252e+05	2	9.50058000e-01	5.85338000e-07	1.62309298e+06
4.16031784e+02	2023-04-06T16:15:37.699697	5.96090000e-05	-2.37708300e-07	-2.50765329e+02	-2.99945000e-01	-2.79129800e-07	1.07457176e+06	2	9.00093100e-01	5.77863000e-07	1.55762369e+06
4.16609850e+02	2023-04-06T16:15:38.277730	7.63440100e-05	-2.20059400e-07	-3.46924558e+02	-2.99978500e-01	-2.62887100e-07	1.14109251e+06	2	8.49867600e-01	5.22306700e-07	1.62714283e+06
4.17317882e+02	2023-04-06T16:15:38.985770	6.79747800e-05	-2.00250100e-07	-3.39449419e+02	-2.99932300e-01	-2.50075300e-07	1.19936795e+06	2	8.00179600e-01	6.15272200e-07	1.30052942e+06
4.18016056e+02	2023-04-06T16:15:39.683809	9.30792300e-05	-1.80020400e-07	-5.17048235e+02	-2.99964000e-01	-2.37850200e-07	1.26114672e+06	2	7.50611600e-01	3.24647500e-07	2.31208187e+06
4.19078948e+02	2023-04-06T16:15:40.746869	7.63425300e-05	-1.55966100e-07	-4.89481560e+02	-2.99943000e-01	-2.25152900e-07	1.33217471e+06	2	6.99986800e-01	3.32349200e-07	2.10617868e+06
4.19800005e+02	2023-04-06T16:15:41.468056	6.79761400e-05	-1.27962000e-07	-5.31221300e+02	-2.99932600e-01	-2.16731200e-07	1.38389212e+06	2	6.50395100e-01	3.52198700e-07	1.84667093e+06
4.20517189e+02	2023-04-06T16:15:42.184952	6.79754600e-05	-9.17689000e-08	-7.40724363e+02	-2.99873700e-01	-2.07490700e-07	1.44523923e+06	2	6.00431400e-01	4.82912800e-07	1.24335367e+06
4.21252455e+02	2023-04-06T16:15:42.920993	3.45053300e-05	-5.31029400e-08	-6.49781914e+02	-2.99964000e-01	-1.99394200e-07	1.50437676e+06	2	5.50334500e-01	4.30942500e-07	1.27704856e+06
4.21970373e+02	2023-04-06T16:15:43.639034	8.47127700e-05	-2.11071100e-08	-4.01347082e+03	-2.99936600e-01	-1.87404700e-07	1.60047533e+06	2	4.99817700e-01	1.06331300e-07	4.70056982e+06
4.22875946e+02	2023-04-06T16:15:44.544085	7.63425300e-05	2.40996100e-09	3.16779110e+04	-2.99932000e-01	-1.77954100e-07	1.68544585e+06	2	4.50414400e-01	2.77838800e-07	1.62113571e+06
4.23611043e+02	2023-04-06T16:15:45.279127	5.96083700e-05	7.50029600e-09	7.94746901e+03	-2.99972100e-01	-1.58717000e-07	1.88998091e+06	2	4.00266400e-01	2.17104000e-07	1.84366202e+06
4.24344531e+02	2023-04-06T16:15:46.013168	7.63432700e-05	5.82925300e-09	1.30965786e+04	-2.99930300e-01	-1.33044800e-07	2.25435568e+06	2	3.49959000e-01	4.21400900e-08	8.30465716e+06
4.25083320e+02	2023-04-06T16:15:46.751210	6.79747800e-05	6.00928100e-09	1.13116328e+04	-2.99953300e-01	-1.06212500e-07	2.82408662e+06	2	2.99841700e-01	8.39335300e-08	3.57237090e+06
4.26157142e+02	2023-04-06T16:15:47.825270	6.79720700e-05	5.28082900e-09	1.28714772e+04	-2.99978500e-01	-7.39537600e-08	4.05629815e+06	2	2.50323700e-01	1.94410600e-07	1.28760315e+06
4.26911501e+02	2023-04-06T16:15:48.579314	9.30767000e-05	1.28844800e-08	7.22393919e+03	-2.99949300e-01	-4.34305200e-08	6.90641742e+06	2	2.00108900e-01	1.93321400e-08	1.03510993e+07
4.28194152e+02	2023-04-06T16:15:49.862386	9.30767000e-05	4.71627800e-08	1.97352022e+03	-2.99930300e-01	-1.87936200e-08	1.59591553e+07	2	1.50018800e-01	9.03896900e-09	1.65968929e+07
4.29266552e+02	2023-04-06T16:15:50.934446	6.79747800e-05	4.52650900e-07	1.50170429e+02	-2.99959700e-01	-2.29294500e-06	1.30818532e+05	2	1.00012300e-01	7.41837900e-09	1.34816919e+07
