Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.07642413e+02	2023-04-11T11:54:21.677027	7.63432700e-05	-2.45804100e-07	-3.10585828e+02	-2.99959700e-01	-1.10946400e-06	2.70364518e+05	2	1.00020800e+00	1.40084000e-06	7.14005882e+05
4.07801992e+02	2023-04-11T11:54:21.837036	7.63425300e-05	-1.97224100e-07	-3.87085199e+02	-2.99959700e-01	-9.62481200e-07	3.11652529e+05	2	9.50193900e-01	1.13879700e-06	8.34383916e+05
4.08471573e+02	2023-04-11T11:54:22.506079	7.63454700e-05	-1.39406600e-07	-5.47646022e+02	-2.99934300e-01	-8.47379200e-07	3.53955230e+05	2	9.00171600e-01	1.02510300e-06	8.78127954e+05
4.09143901e+02	2023-04-11T11:54:23.178122	7.63432700e-05	-1.00339400e-07	-7.60850374e+02	-2.99947300e-01	-6.94585200e-07	4.31836584e+05	2	8.49989900e-01	7.38443100e-07	1.15105673e+06
4.09815323e+02	2023-04-11T11:54:23.850164	3.45066800e-05	-5.67921300e-08	-6.07596158e+02	-2.99978700e-01	-6.07441500e-07	4.93839654e+05	2	8.00017700e-01	7.15990300e-07	1.11735829e+06
4.10508937e+02	2023-04-11T11:54:24.543378	5.96083700e-05	-3.80285000e-08	-1.56746572e+03	-2.99951400e-01	-5.01946200e-07	5.97576792e+05	2	7.50181800e-01	5.61978700e-07	1.33489365e+06
4.11362187e+02	2023-04-11T11:54:25.397261	6.79747800e-05	-1.94162700e-08	-3.50091856e+03	-2.99959700e-01	-4.07660100e-07	7.35808336e+05	2	7.00179200e-01	6.55416200e-07	1.06829706e+06
4.12083613e+02	2023-04-11T11:54:26.118308	6.79754600e-05	-1.12948400e-08	-6.01827560e+03	-2.99986800e-01	-2.69962800e-07	1.11121532e+06	2	6.49964200e-01	2.38173400e-07	2.72895378e+06
4.12821089e+02	2023-04-11T11:54:26.855354	7.63447300e-05	-4.57258000e-09	-1.66962043e+04	-2.99913500e-01	-2.24168700e-07	1.33789195e+06	2	6.00259700e-01	3.00219100e-07	1.99940543e+06
4.13565688e+02	2023-04-11T11:54:27.600401	5.12407300e-05	4.27257800e-09	1.19929303e+04	-2.99949300e-01	-1.19327200e-07	2.51367081e+06	2	5.50069500e-01	7.54815400e-08	7.28747055e+06
4.14315768e+02	2023-04-11T11:54:28.350448	7.63425300e-05	1.09549900e-08	6.96874484e+03	-2.99905200e-01	-8.77367700e-08	3.41823844e+06	2	4.99899700e-01	5.91516300e-08	8.45115680e+06
4.15393895e+02	2023-04-11T11:54:29.428516	1.18179000e-04	1.61244700e-08	7.32917113e+03	-2.99966000e-01	-5.89892200e-08	5.08509860e+06	2	4.50067700e-01	-6.91091700e-08	-6.51241651e+06
4.16815664e+02	2023-04-11T11:54:30.850606	7.63447300e-05	2.16694200e-08	3.52315521e+03	-3.00005600e-01	-1.93637300e-08	1.54931720e+07	2	3.99809300e-01	5.60407800e-08	7.13425652e+06
4.17737430e+02	2023-04-11T11:54:31.772664	7.63418000e-05	4.12238400e-08	1.85188473e+03	-2.99894800e-01	-4.36649400e-09	6.86809143e+07	2	3.50232400e-01	-5.32225400e-08	-6.58052772e+06
4.18487699e+02	2023-04-11T11:54:32.522711	8.47135600e-05	8.71785000e-08	9.71725368e+02	-2.99945000e-01	-3.71770200e-08	8.06802159e+06	2	3.00107000e-01	-1.13743400e-08	-2.63845639e+07
4.19565697e+02	2023-04-11T11:54:33.600779	5.96090000e-05	2.16014900e-07	2.75948557e+02	-2.99966300e-01	-1.95996100e-07	1.53047076e+06	2	2.49709600e-01	-2.42070900e-08	-1.03155563e+07
4.20628275e+02	2023-04-11T11:54:34.662846	6.79761400e-05	6.46439000e-07	1.05154763e+02	-2.99934600e-01	-5.38320100e-07	5.57167752e+05	2	1.99989100e-01	-1.48705400e-07	-1.34486777e+06
4.21612655e+02	2023-04-11T11:54:35.647908	7.63432700e-05	1.62079800e-06	4.71022731e+01	-2.99934600e-01	-1.46885100e-06	2.04196750e+05	2	1.49908000e-01	-1.64644400e-07	-9.10495589e+05
4.22675281e+02	2023-04-11T11:54:36.709976	8.47127700e-05	3.51316600e-06	2.41129426e+01	-3.00014500e-01	-3.43927500e-06	8.72319021e+04	2	1.00112000e-01	-5.98298300e-08	-1.67327903e+06
