Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.96333137e+02	2023-03-16T18:00:27.130975	2.18584600e-04	-3.04253100e-07	-7.18430149e+02	-2.99805100e-01	-3.82410900e-07	7.83986806e+05	3	1.00017800e+00	5.26302600e-07	1.90038582e+06
4.96504181e+02	2023-03-16T18:00:27.301985	8.47096200e-05	-2.74266700e-07	-3.08858567e+02	-2.99978500e-01	-3.34892900e-07	8.95744580e+05	3	9.50006900e-01	5.60828100e-07	1.69393599e+06
4.97207636e+02	2023-03-16T18:00:28.005030	-8.26334400e-05	-2.40003300e-07	3.44301266e+02	-2.99986800e-01	-3.00696600e-07	9.97639481e+05	3	8.99808200e-01	5.83554300e-07	1.54194425e+06
4.97910685e+02	2023-03-16T18:00:28.708075	4.28757300e-05	-1.63468300e-07	-2.62287734e+02	-2.99934600e-01	-2.71937700e-07	1.10295336e+06	3	8.50185400e-01	6.78006500e-07	1.25394875e+06
4.98616262e+02	2023-03-16T18:00:29.414121	6.79761400e-05	-7.95690600e-08	-8.54303670e+02	-2.99991100e-01	-2.46619000e-07	1.21641520e+06	3	8.00394700e-01	3.70244200e-07	2.16180213e+06
4.99336522e+02	2023-03-16T18:00:30.134167	2.61408300e-05	-4.70659500e-08	-5.55408528e+02	-2.99970100e-01	-2.23129200e-07	1.34437850e+06	3	7.49601100e-01	2.40290900e-07	3.11955675e+06
5.00239247e+02	2023-03-16T18:00:31.037225	1.34911000e-04	-5.34207500e-08	-2.52544189e+03	-2.99949000e-01	-1.99932900e-07	1.50024833e+06	3	6.99707100e-01	3.30609100e-07	2.11641815e+06
5.01301775e+02	2023-03-16T18:00:32.099293	1.18179000e-04	-8.44930700e-08	-1.39868276e+03	-2.99936900e-01	-1.76769300e-07	1.69677031e+06	3	6.49863800e-01	1.92940000e-07	3.36821706e+06
5.02021025e+02	2023-03-16T18:00:32.818339	1.01443800e-04	-6.29826400e-08	-1.61066287e+03	-2.99945300e-01	-1.54129400e-07	1.94606156e+06	3	5.99833400e-01	9.01805400e-08	6.65147270e+06
5.02739270e+02	2023-03-16T18:00:33.537385	5.12384800e-05	-4.68287000e-08	-1.09416832e+03	-2.99945000e-01	-1.33718600e-07	2.24310605e+06	3	5.50433900e-01	3.13442000e-07	1.75609491e+06
5.03806292e+02	2023-03-16T18:00:34.603454	-1.56955900e-05	-4.99888200e-08	3.13982006e+02	-2.99942700e-01	-1.14117300e-07	2.62837186e+06	3	4.99429500e-01	-1.41314000e-07	-3.53418274e+06
5.04380359e+02	2023-03-16T18:00:35.178491	9.30758600e-05	-5.04038700e-08	-1.84660146e+03	-2.99961700e-01	-9.32688800e-08	3.21609630e+06	3	4.50266200e-01	1.06768400e-07	4.21722345e+06
5.05103161e+02	2023-03-16T18:00:35.900537	8.47104100e-05	-4.78168100e-08	-1.77156130e+03	-2.99936600e-01	-7.28947600e-08	4.11465241e+06	3	4.00607000e-01	3.12911600e-07	1.28025615e+06
5.06166415e+02	2023-03-16T18:00:36.963606	-6.58990200e-05	-4.95583500e-08	1.32972587e+03	-2.99959700e-01	-5.38144300e-08	5.57396408e+06	3	3.50009200e-01	2.22248400e-07	1.57485588e+06
5.06884446e+02	2023-03-16T18:00:37.681652	-4.07967300e-05	-4.75019300e-08	8.58843630e+02	-2.99932300e-01	-3.67276800e-08	8.16638296e+06	3	3.00330900e-01	5.77732800e-08	5.19843949e+06
5.07786553e+02	2023-03-16T18:00:38.584709	3.02251500e-04	1.27302700e-08	2.37427407e+04	-2.99943000e-01	-2.06466500e-08	1.45274415e+07	3	2.49689600e-01	-8.61333700e-08	-2.89887183e+06
5.08708031e+02	2023-03-16T18:00:39.505768	2.61392600e-05	7.99962400e-09	3.26756108e+03	-2.99965800e-01	-1.08551400e-08	2.76335266e+07	3	1.99356000e-01	1.22787600e-07	1.62358414e+06
5.09629999e+02	2023-03-16T18:00:40.427827	1.26547200e-04	2.82577700e-08	4.47831517e+03	-2.99918200e-01	-4.43272800e-09	6.76599602e+07	3	1.50178700e-01	-4.78546400e-08	-3.13822651e+06
5.10723454e+02	2023-03-16T18:00:41.520898	5.12412900e-05	3.35391800e-08	1.52780390e+03	-2.99953600e-01	-1.00151900e-08	2.99498662e+07	3	1.00490400e-01	2.26098800e-07	4.44453487e+05
