Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.42435039e+01	2023-03-16T21:01:18.778423	1.43280400e-04	-3.42452700e-07	-4.18394716e+02	-6.99899000e-01	-6.31880800e-07	1.10764404e+06	2	1.00023800e+00	9.56259000e-07	1.04599068e+06
6.45898779e+01	2023-03-16T21:01:19.124445	3.45075800e-05	-2.06391300e-07	-1.67194935e+02	-6.99888100e-01	-5.61051700e-07	1.24745741e+06	2	9.50044900e-01	6.47597000e-07	1.46703104e+06
6.52756367e+01	2023-03-16T21:01:19.810490	2.43684200e-04	-1.43601600e-07	-1.69694627e+03	-6.99867700e-01	-1.56122000e-07	4.48282561e+06	2	8.99678000e-01	2.44089900e-07	3.68584689e+06
6.61400645e+01	2023-03-16T21:01:20.675545	5.12418500e-05	-1.03318800e-07	-4.95958625e+02	-6.99888100e-01	-1.41787900e-07	4.93616239e+06	2	8.49953400e-01	4.61866900e-07	1.84025614e+06
6.70108131e+01	2023-03-16T21:01:21.545601	9.40503700e-06	-1.64710200e-07	-5.71005135e+01	-6.99945600e-01	-1.17147600e-07	5.97490346e+06	2	7.99756600e-01	4.06184600e-07	1.96894860e+06
6.77464206e+01	2023-03-16T21:01:22.281648	2.01844000e-04	-1.42863400e-07	-1.41284612e+03	-6.99915700e-01	-1.18983600e-07	5.88245523e+06	2	7.49619400e-01	1.33070600e-07	5.63324581e+06
6.88254137e+01	2023-03-16T21:01:23.360717	1.68377700e-04	-1.41569200e-07	-1.18936675e+03	-6.99971100e-01	-1.31304000e-07	5.33091985e+06	2	6.99885300e-01	1.44505900e-07	4.84329913e+06
7.02444931e+01	2023-03-16T21:01:24.779874	1.01442900e-04	-1.12240700e-07	-9.03797820e+02	-6.99933500e-01	-1.28970800e-07	5.42706954e+06	2	6.50444200e-01	5.64009600e-07	1.15325023e+06
7.23228544e+01	2023-03-16T21:01:26.858006	3.44086600e-04	-2.70202000e-08	-1.27344209e+04	-6.99865600e-01	-1.36593500e-07	5.12371086e+06	2	5.99858500e-01	1.21912700e-07	4.92039386e+06
7.35776725e+01	2023-03-16T21:01:28.113087	2.85519600e-04	-1.54641400e-08	-1.84633352e+04	-6.99919400e-01	-1.29003100e-07	5.42560140e+06	2	5.49674600e-01	1.04192600e-07	5.27556276e+06
7.46546903e+01	2023-03-16T21:01:29.190156	-6.58985700e-05	3.92511000e-09	-1.67889741e+04	-6.99915700e-01	-1.13472600e-07	6.16814720e+06	2	5.00495300e-01	2.97035000e-07	1.68497079e+06
7.53853222e+01	2023-03-16T21:01:29.920203	-4.07967300e-05	-1.22967300e-08	3.31768934e+03	-6.99914300e-01	-1.02976600e-07	6.79682860e+06	2	4.49028200e-01	-1.41023500e-07	-3.18406649e+06
7.64791746e+01	2023-03-16T21:01:31.014274	2.85515300e-04	-2.77113100e-09	-1.03032047e+05	-6.99890700e-01	-9.15557400e-08	7.64442186e+06	2	4.00300400e-01	2.30074700e-07	1.73987144e+06
7.72288003e+01	2023-03-16T21:01:31.764321	-4.91640500e-05	-1.37642400e-09	3.57186812e+04	-6.99932400e-01	-6.92584800e-08	1.01060895e+07	2	3.49549100e-01	-1.53626600e-07	-2.27531625e+06
7.83232343e+01	2023-03-16T21:01:32.858392	1.60012100e-04	-4.24661200e-09	-3.76799434e+04	-6.99841600e-01	-5.67275200e-08	1.23368975e+07	2	2.98628400e-01	1.29378700e-07	2.30817283e+06
7.92600415e+01	2023-03-16T21:01:33.795451	1.09807000e-04	2.51281100e-08	4.36988695e+03	-6.99908500e-01	-3.78599900e-08	1.84867587e+07	2	2.50569500e-01	-1.88697900e-08	-1.32788706e+07
8.05622862e+01	2023-03-16T21:01:35.097535	-4.07966200e-05	-2.18312700e-08	1.86872408e+03	-6.99944000e-01	-3.54340000e-08	1.97534571e+07	2	1.99296100e-01	1.07814500e-07	1.84850925e+06
8.16509322e+01	2023-03-16T21:01:36.185605	1.09809900e-04	2.04155000e-08	5.37875144e+03	-6.99968600e-01	-4.21974900e-08	1.65879203e+07	2	1.50277100e-01	-4.32931000e-08	-3.47115591e+06
8.27764617e+01	2023-03-16T21:01:37.311677	1.09809000e-04	2.05929200e-07	5.33236666e+02	-7.00021900e-01	-3.56705900e-07	1.96246235e+06	2	9.98373200e-02	-1.42221600e-07	-7.01984227e+05
