Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.33793137e+02	2023-03-16T20:06:23.141203	3.45053300e-05	-3.39273800e-07	-1.01703491e+02	-2.99926200e-01	-5.39329000e-07	5.56109907e+05	2	1.00020900e+00	6.98869300e-07	1.43118177e+06
4.33980788e+02	2023-03-16T20:06:23.329215	-6.58983500e-05	-2.07184600e-07	3.18065870e+02	-2.99951400e-01	-5.24794500e-07	5.71559725e+05	2	9.50146100e-01	7.27405500e-07	1.30621242e+06
4.34668659e+02	2023-03-16T20:06:24.017259	1.85116100e-04	-2.27232900e-07	-8.14653600e+02	-2.99911500e-01	-4.77283500e-07	6.28371817e+05	2	9.00225500e-01	7.37726100e-07	1.22027064e+06
4.35361414e+02	2023-03-16T20:06:24.709304	4.28726800e-05	-2.55286100e-07	-1.67939735e+02	-2.99953300e-01	-4.35485100e-07	6.88779708e+05	2	8.50067900e-01	6.97085500e-07	1.21946002e+06
4.36043664e+02	2023-03-16T20:06:25.391347	-7.32845000e-06	-1.07114100e-07	6.84172299e+01	-2.99957700e-01	-3.97961300e-07	7.53735853e+05	2	8.00043300e-01	7.43894500e-07	1.07547952e+06
4.36903006e+02	2023-03-16T20:06:26.251403	1.26548200e-04	-8.43149000e-08	-1.50089960e+03	-2.99928300e-01	-3.64274200e-07	8.23358613e+05	2	7.50103000e-01	4.17402600e-07	1.79707314e+06
4.37470640e+02	2023-03-16T20:06:26.818440	5.12412900e-05	-5.33390700e-08	-9.60670855e+02	-2.99960000e-01	-3.29747200e-07	9.09666557e+05	2	7.00169700e-01	5.48681300e-07	1.27609543e+06
4.38184233e+02	2023-03-16T20:06:27.532485	1.76746100e-04	-9.70170700e-08	-1.82180414e+03	-2.99951400e-01	-2.92004600e-07	1.02721464e+06	2	6.49904100e-01	3.32151700e-07	1.95664842e+06
4.39606448e+02	2023-03-16T20:06:28.954576	1.18179000e-04	-1.06243000e-07	-1.11234623e+03	-2.99972400e-01	-2.53751400e-07	1.18215072e+06	2	5.99862300e-01	1.03009400e-07	5.82337437e+06
4.41371679e+02	2023-03-16T20:06:30.719690	8.47088300e-05	-5.01401800e-08	-1.68944009e+03	-2.99945000e-01	-2.17186300e-07	1.38104936e+06	2	5.49960800e-01	4.28436500e-08	1.28364600e+07
4.42449637e+02	2023-03-16T20:06:31.797759	-2.58345600e-04	-2.81283100e-08	9.18454041e+03	-2.99964000e-01	-1.86370900e-07	1.60950020e+06	2	4.99762500e-01	4.56776600e-07	1.09410705e+06
4.43383126e+02	2023-03-16T20:06:32.730818	3.27355000e-04	-2.68085100e-08	-1.22108614e+04	-2.99898800e-01	-1.56000000e-07	1.92242821e+06	2	4.49884400e-01	-1.11185900e-07	-4.04623608e+06
4.44434635e+02	2023-03-16T20:06:33.782886	3.35729500e-04	-9.96557400e-09	-3.36889275e+04	-2.99949300e-01	-1.31145300e-07	2.28715249e+06	2	4.00497900e-01	2.79052400e-07	1.43520679e+06
4.45184525e+02	2023-03-16T20:06:34.532934	-1.24469400e-04	4.49716400e-09	-2.76773095e+04	-2.99905200e-01	-9.92040400e-08	3.02311478e+06	2	3.49790300e-01	-5.43728500e-08	-6.43317943e+06
4.45934634e+02	2023-03-16T20:06:35.282981	2.01845600e-04	-2.41028500e-09	-8.37434577e+04	-2.99962000e-01	-7.77199600e-08	3.85952335e+06	2	3.00488100e-01	4.38802800e-08	6.84790753e+06
4.47028108e+02	2023-03-16T20:06:36.376052	5.96071300e-05	3.21252400e-09	1.85546100e+04	-2.99964000e-01	-5.30505300e-08	5.65430732e+06	2	2.50393900e-01	3.19544300e-07	7.83596828e+05
4.47762813e+02	2023-03-16T20:06:37.111099	5.96096200e-05	5.49527600e-08	1.08474297e+03	-2.99949300e-01	-5.24446300e-08	5.71935201e+06	2	2.00148000e-01	1.84852700e-07	1.08274318e+06
4.48934929e+02	2023-03-16T20:06:38.283175	7.63410700e-05	3.45102700e-07	2.21212613e+02	-2.99909500e-01	-3.04085700e-07	9.86266372e+05	2	1.50269700e-01	5.97635000e-08	2.51440595e+06
4.49825277e+02	2023-03-16T20:06:39.173231	1.09810900e-04	1.87656900e-06	5.85168464e+01	-2.99945000e-01	-2.57105900e-06	1.16662045e+05	2	1.00169200e-01	4.84838600e-08	2.06603187e+06
