Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.63691657e+02	2023-03-13T15:25:14.526118	9.40560200e-06	-2.33568000e-07	-4.02692235e+01	-4.99946600e-01	-2.78898900e-07	1.79257286e+06	1	1.00020300e+00	5.67600300e-07	1.76216080e+06
1.64379013e+02	2023-03-13T15:25:15.214175	5.96096200e-05	-1.99953100e-07	-2.98118009e+02	-4.99976700e-01	-2.58809800e-07	1.93183063e+06	1	9.50099900e-01	5.28256200e-07	1.79855892e+06
1.64945485e+02	2023-03-13T15:25:15.780221	8.47112000e-05	-1.71884600e-07	-4.92837636e+02	-4.99968400e-01	-2.46984700e-07	2.02428895e+06	1	9.00198100e-01	5.47202200e-07	1.64509225e+06
1.65518739e+02	2023-03-13T15:25:16.353269	5.96083700e-05	-1.48229400e-07	-4.02135946e+02	-4.99975100e-01	-2.38331100e-07	2.09781728e+06	1	8.49995700e-01	4.74749400e-07	1.79040921e+06
1.66237621e+02	2023-03-13T15:25:17.072329	8.47112000e-05	-1.25493900e-07	-6.75022451e+02	-4.99940000e-01	-2.15602700e-07	2.31880213e+06	1	7.99826500e-01	4.36738900e-07	1.83136080e+06
1.66956275e+02	2023-03-13T15:25:17.791388	2.61400500e-05	-1.04653000e-07	-2.49778315e+02	-4.99960000e-01	-1.98137200e-07	2.52330204e+06	1	7.50084700e-01	3.06677800e-07	2.44583957e+06
1.67674990e+02	2023-03-13T15:25:18.509447	6.79741100e-05	-8.66183600e-08	-7.84754064e+02	-4.99946600e-01	-1.84276600e-07	2.71302271e+06	1	7.00025000e-01	2.38972200e-07	2.92931563e+06
1.68393805e+02	2023-03-13T15:25:19.228507	9.30758600e-05	-7.02066100e-08	-1.32574212e+03	-4.99996900e-01	-1.68794700e-07	2.96215995e+06	1	6.50035500e-01	1.89907200e-07	3.42291130e+06
1.69112639e+02	2023-03-13T15:25:19.947566	8.47104100e-05	-5.37901700e-08	-1.57483068e+03	-5.00006900e-01	-1.53466500e-07	3.25808499e+06	1	5.99920800e-01	1.23575200e-07	4.85470224e+06
1.69832144e+02	2023-03-13T15:25:20.666625	2.61392600e-05	-4.00923500e-08	-6.51976250e+02	-4.99938300e-01	-1.42489300e-07	3.50860240e+06	1	5.50353900e-01	2.18477400e-07	2.51904270e+06
1.70737597e+02	2023-03-13T15:25:21.572700	8.47088300e-05	-2.19881400e-08	-3.85247820e+03	-4.99938300e-01	-1.27638100e-07	3.91684223e+06	1	5.00018500e-01	7.27100200e-08	6.87688574e+06
1.71475975e+02	2023-03-13T15:25:22.310761	8.47119800e-05	-8.90835300e-09	-9.50927517e+03	-4.99923200e-01	-1.13356100e-07	4.41020113e+06	1	4.50693500e-01	1.07888100e-07	4.17741623e+06
1.72206471e+02	2023-03-13T15:25:23.041821	8.47096200e-05	-8.89357300e-10	-9.52481303e+04	-4.99923300e-01	-1.07676000e-07	4.64284799e+06	1	4.00213800e-01	2.09052500e-07	1.91441767e+06
1.72943564e+02	2023-03-13T15:25:23.778882	7.63425300e-05	1.94227200e-09	3.93057872e+04	-4.99948300e-01	-9.23562400e-08	5.41325957e+06	1	3.50066400e-01	9.19507000e-08	3.80710968e+06
1.73675314e+02	2023-03-13T15:25:24.509942	9.30767000e-05	4.00878900e-09	2.32181589e+04	-4.99928300e-01	-8.58460300e-08	5.82354595e+06	1	3.00159500e-01	4.60271800e-08	6.52135325e+06
1.74757644e+02	2023-03-13T15:25:25.593032	1.09812800e-04	5.99636300e-09	1.83132342e+04	-4.99973400e-01	-7.22976100e-08	6.91549001e+06	1	2.50042600e-01	1.09760100e-07	2.27808284e+06
1.75878796e+02	2023-03-13T15:25:26.714125	7.63432700e-05	1.83152600e-08	4.16828754e+03	-4.99966600e-01	-6.31128000e-08	7.92179399e+06	1	1.99920800e-01	5.79268400e-08	3.45126370e+06
1.76971988e+02	2023-03-13T15:25:27.807215	1.01446500e-04	3.38085700e-08	3.00061493e+03	-4.99939900e-01	-1.09985000e-07	4.54552803e+06	1	1.50100400e-01	1.10707100e-07	1.35583355e+06
1.77862586e+02	2023-03-13T15:25:28.697288	7.63432700e-05	3.71736900e-07	2.05369093e+02	-4.99950000e-01	-4.25176700e-07	1.17586406e+06	1	1.00300100e-01	6.46821900e-08	1.55066024e+06
