Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.68926856e+02	2023-03-16T17:58:19.723967	-2.40624400e-05	-2.88599600e-07	8.33765535e+01	-2.99846100e-01	-3.16932500e-07	9.46088205e+05	1	1.00017600e+00	6.49720500e-07	1.53939425e+06
3.69629835e+02	2023-03-16T17:58:20.427008	3.45057800e-05	-2.66880500e-07	-1.29292998e+02	-2.99949300e-01	-2.84012800e-07	1.05611191e+06	1	9.51076600e-01	5.88739700e-07	1.61544499e+06
3.70363847e+02	2023-03-16T17:58:21.161049	1.68380400e-04	-1.61644100e-07	-1.04167365e+03	-2.99955400e-01	-2.63755000e-07	1.13725010e+06	1	9.00201300e-01	4.47387300e-07	2.01212976e+06
3.71084758e+02	2023-03-16T17:58:21.882091	2.10217500e-04	-1.07391900e-07	-1.95748003e+03	-2.99957700e-01	-2.43338300e-07	1.23267772e+06	1	8.49513600e-01	1.49867700e-07	5.66842355e+06
3.71801462e+02	2023-03-16T17:58:22.598132	2.10214200e-04	-7.46561400e-08	-2.81576572e+03	-2.99968100e-01	-2.23171600e-07	1.34411413e+06	1	7.99943000e-01	1.97440700e-07	4.05156080e+06
3.72520228e+02	2023-03-16T17:58:23.317174	1.43279200e-04	-4.87076700e-08	-2.94161474e+03	-2.99951400e-01	-2.03962800e-07	1.47061817e+06	1	7.50168300e-01	2.24160800e-07	3.34656327e+06
3.73241911e+02	2023-03-16T17:58:24.039216	-6.58990200e-05	-3.82484900e-08	1.72291821e+03	-2.99894800e-01	-1.84468000e-07	1.62572804e+06	1	6.99668900e-01	2.09260400e-07	3.34353227e+06
3.74645314e+02	2023-03-16T17:58:25.442296	1.43282700e-04	-8.61820100e-08	-1.66255927e+03	-2.99945000e-01	-1.63621700e-07	1.83316149e+06	1	6.50181600e-01	2.12686300e-07	3.05699803e+06
3.76068465e+02	2023-03-16T17:58:26.865378	8.47096200e-05	-6.83564800e-08	-1.23923321e+03	-2.99984800e-01	-1.43440800e-07	2.09134918e+06	1	5.99861700e-01	5.17174100e-08	1.15988349e+07
3.76786558e+02	2023-03-16T17:58:27.583420	-3.75489600e-04	-4.02868500e-08	9.32040107e+03	-2.99968100e-01	-1.25728300e-07	2.38584392e+06	1	5.50616900e-01	4.07430300e-07	1.35143827e+06
3.77692509e+02	2023-03-16T17:58:28.489472	-1.16102700e-04	-2.66452500e-08	4.35735075e+03	-2.99966000e-01	-1.03737300e-07	2.89159251e+06	1	4.99678800e-01	6.89257500e-08	7.24952286e+06
3.78426568e+02	2023-03-16T17:58:29.223514	6.53662000e-04	-2.56994800e-08	-2.54348337e+04	-2.99959700e-01	-8.48958300e-08	3.53326777e+06	1	4.49825900e-01	-8.33720900e-08	-5.39540151e+06
3.79162957e+02	2023-03-16T17:58:29.960557	3.02251500e-04	1.74019100e-08	1.73688693e+04	-2.99943000e-01	-6.74264200e-08	4.44844914e+06	1	3.99726000e-01	1.91173000e-07	2.09091242e+06
3.80082732e+02	2023-03-16T17:58:30.879610	3.35724500e-04	7.99841600e-09	4.19738733e+04	-2.99972400e-01	-4.84702100e-08	6.18879926e+06	1	3.50540800e-01	-2.28442900e-09	-1.53447886e+08
3.81176514e+02	2023-03-16T17:58:31.973673	-3.00180100e-04	1.30081500e-08	-2.30763099e+04	-2.99940900e-01	-3.16630200e-08	9.47290877e+06	1	3.00803600e-01	-6.13687000e-09	-4.90158012e+07
3.82457392e+02	2023-03-16T17:58:33.254746	-8.26331000e-05	1.10771900e-08	-7.45975288e+03	-2.99976100e-01	-1.83723400e-08	1.63275935e+07	1	2.50414000e-01	2.62055200e-07	9.55577298e+05
3.83198116e+02	2023-03-16T17:58:33.994789	2.61392600e-05	7.07182600e-09	3.69625327e+03	-3.00014500e-01	-8.68120100e-09	3.45591008e+07	1	2.00351500e-01	1.18673000e-07	1.68826523e+06
3.84270344e+02	2023-03-16T17:58:35.067851	5.96065100e-05	2.65323500e-08	2.24655977e+03	-2.99949300e-01	-3.75788600e-09	7.98186267e+07	1	1.49980300e-01	-9.44224800e-08	-1.58839611e+06
3.85145394e+02	2023-03-16T17:58:35.942902	1.93483200e-04	2.18522400e-08	8.85415866e+03	-2.99959700e-01	-1.07246400e-08	2.79692092e+07	1	1.00004600e-01	-1.01340800e-07	-9.86814787e+05
