Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.89702461e+02	2023-04-11T12:35:04.345045	5.12396000e-05	-5.06214100e-07	-1.01221203e+02	-2.99930600e-01	-8.93097100e-07	3.35832016e+05	2	1.00020900e+00	1.49292300e-06	6.69966904e+05
3.89859242e+02	2023-04-11T12:35:04.502055	6.79741100e-05	-4.42031300e-07	-1.53776690e+02	-2.99951000e-01	-8.01539400e-07	3.74218660e+05	2	9.50127000e-01	1.26089100e-06	7.53536190e+05
3.90515706e+02	2023-04-11T12:35:05.158097	5.96077600e-05	-3.40220200e-07	-1.75203471e+02	-2.99930300e-01	-7.25771700e-07	4.13257089e+05	2	9.00146500e-01	1.04149700e-06	8.64281414e+05
3.91349763e+02	2023-04-11T12:35:05.992149	5.12407300e-05	-2.57718700e-07	-1.98824261e+02	-2.99942700e-01	-6.69087700e-07	4.48286077e+05	2	8.50174900e-01	9.59712200e-07	8.85864429e+05
3.92015879e+02	2023-04-11T12:35:06.658191	7.63440100e-05	-1.97941000e-07	-3.85690736e+02	-2.99926200e-01	-6.16708100e-07	4.86334134e+05	2	8.00149700e-01	7.59476700e-07	1.05355398e+06
3.92688156e+02	2023-04-11T12:35:07.331234	9.30783900e-05	-1.43363600e-07	-6.49247019e+02	-2.99930300e-01	-5.70144400e-07	5.26060240e+05	2	7.50099700e-01	8.65115800e-07	8.67051209e+05
3.93364185e+02	2023-04-11T12:35:08.007276	6.79747800e-05	-9.46972500e-08	-7.17811552e+02	-2.99953300e-01	-5.17330500e-07	5.79809812e+05	2	7.00077700e-01	6.59927100e-07	1.06084096e+06
3.93891517e+02	2023-04-11T12:35:08.534310	9.30767000e-05	-5.36186800e-08	-1.73590062e+03	-2.99947000e-01	-4.61326900e-07	6.50183200e+05	2	6.50173600e-01	5.84140900e-07	1.11304242e+06
3.94567220e+02	2023-04-11T12:35:09.209352	6.79761400e-05	-2.95488900e-08	-2.30046340e+03	-2.99945000e-01	-4.00638100e-07	7.48668187e+05	2	6.00109400e-01	4.86300900e-07	1.23402897e+06
3.95453844e+02	2023-04-11T12:35:10.096409	6.79761400e-05	-8.87783100e-09	-7.65684096e+03	-2.99960000e-01	-3.06032800e-07	9.80156375e+05	2	5.50046300e-01	2.50126800e-07	2.19906983e+06
3.96187964e+02	2023-04-11T12:35:10.830454	9.30758600e-05	-4.42245500e-10	-2.10461972e+05	-2.99976400e-01	-2.40735300e-07	1.24608398e+06	2	5.00038500e-01	2.19248100e-07	2.28069707e+06
3.96922735e+02	2023-04-11T12:35:11.565501	5.12396000e-05	6.26174000e-09	8.18296512e+03	-2.99976400e-01	-1.80191400e-07	1.66476536e+06	2	4.50380300e-01	3.10681400e-07	1.44965325e+06
3.97656965e+02	2023-04-11T12:35:12.299547	6.79768000e-05	1.23126800e-08	5.52087766e+03	-2.99907200e-01	-1.31622900e-07	2.27853360e+06	2	3.99815000e-01	1.49207700e-07	2.67958691e+06
3.98391122e+02	2023-04-11T12:35:13.033593	9.30775400e-05	2.03314000e-08	4.57801922e+03	-2.99959400e-01	-9.25108100e-08	3.24242540e+06	2	3.50013900e-01	-4.79859300e-08	-7.29409433e+06
3.99125844e+02	2023-04-11T12:35:13.768640	8.47151300e-05	3.39905100e-08	2.49231712e+03	-2.99945000e-01	-6.59935300e-08	4.54506677e+06	2	2.99948400e-01	8.66748200e-08	3.46061751e+06
4.00203945e+02	2023-04-11T12:35:14.846708	1.09812800e-04	2.80053100e-08	3.92114210e+03	-2.99976400e-01	-5.40010800e-08	5.55500742e+06	2	2.49801700e-01	8.92687900e-08	2.79830947e+06
4.01672859e+02	2023-04-11T12:35:16.315829	9.30783900e-05	1.10057800e-07	8.45722793e+02	-2.99953300e-01	-1.07608100e-07	2.78746024e+06	2	2.00171500e-01	2.89971600e-08	6.90314155e+06
4.02750609e+02	2023-04-11T12:35:17.392955	8.47112000e-05	6.14811200e-07	1.37784087e+02	-2.99955400e-01	-5.36195600e-07	5.59414139e+05	2	1.50109800e-01	-7.51464200e-08	-1.99756422e+06
4.03735180e+02	2023-04-11T12:35:18.378018	8.47088300e-05	1.68345100e-06	5.03185599e+01	-2.99972400e-01	-8.80993700e-07	3.40493241e+05	2	1.00156500e-01	-1.58816200e-07	-6.30644103e+05
