Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.92353393e+01	2023-04-11T11:48:33.266648	1.76750300e-04	-1.86865200e-07	-9.45870606e+02	-6.99925200e-01	-2.39613500e-06	2.92105912e+05	2	1.00017100e+00	2.42665100e-06	4.12161040e+05
5.93917378e+01	2023-04-11T11:48:33.422658	8.47104100e-05	-1.35888900e-07	-6.23379908e+02	-6.99929900e-01	-2.21941200e-06	3.15367268e+05	2	9.50183500e-01	2.48671500e-06	3.82103900e+05
6.00692329e+01	2023-04-11T11:48:34.099707	6.79768000e-05	-9.41220100e-08	-7.22220021e+02	-6.99937200e-01	-2.05405900e-06	3.40758079e+05	2	9.00163200e-01	2.10181400e-06	4.28279191e+05
6.07199979e+01	2023-04-11T11:48:34.750751	5.96071300e-05	-6.18538000e-08	-9.63677737e+02	-6.99932400e-01	-1.87927200e-06	3.72448693e+05	2	8.50074000e-01	1.89601500e-06	4.48347719e+05
6.13921372e+01	2023-04-11T11:48:35.422798	1.01445600e-04	-4.15391100e-08	-2.44217076e+03	-6.99910500e-01	-1.72633900e-06	4.05430509e+05	2	8.00091700e-01	1.75194700e-06	4.56687160e+05
6.22564579e+01	2023-04-11T11:48:36.287858	5.96090000e-05	-1.64304900e-08	-3.62795023e+03	-6.99937200e-01	-1.62431800e-06	4.30911435e+05	2	7.50104800e-01	1.48054200e-06	5.06642027e+05
6.29550604e+01	2023-04-11T11:48:36.985907	8.47112000e-05	-6.77019400e-09	-1.25123741e+04	-6.99937200e-01	-1.49302700e-06	4.68804114e+05	2	7.00155200e-01	1.50197200e-06	4.66157292e+05
6.36624181e+01	2023-04-11T11:48:37.692956	4.28742100e-05	-1.83615100e-09	-2.33500458e+04	-6.99866600e-01	-1.36111900e-06	5.14184726e+05	2	6.50151800e-01	1.51115600e-06	4.30234734e+05
6.43452308e+01	2023-04-11T11:48:38.376003	7.63425300e-05	3.72024000e-09	2.05208616e+04	-6.99928800e-01	-1.21542600e-06	5.75871176e+05	2	6.00167400e-01	1.15812600e-06	5.18222888e+05
6.50330585e+01	2023-04-11T11:48:39.064051	5.96065100e-05	7.07855700e-09	8.42071484e+03	-6.99921500e-01	-1.11817500e-06	6.25949874e+05	2	5.50137400e-01	1.13718300e-06	4.83772093e+05
6.57202386e+01	2023-04-11T11:48:39.751099	6.79754600e-05	1.19215900e-08	5.70187869e+03	-6.99913100e-01	-9.82862500e-07	7.12117005e+05	2	5.00097100e-01	1.02400600e-06	4.88373213e+05
6.64125977e+01	2023-04-11T11:48:40.443148	8.47112000e-05	2.20210800e-08	3.84682313e+03	-6.99921500e-01	-8.60738000e-07	8.13164401e+05	2	4.50111000e-01	6.92588100e-07	6.49897103e+05
6.70955675e+01	2023-04-11T11:48:41.126195	8.47104100e-05	2.87978300e-08	2.94155532e+03	-6.99917900e-01	-7.79514300e-07	8.97889750e+05	2	4.00052200e-01	7.98619400e-07	5.00929729e+05
6.77850639e+01	2023-04-11T11:48:41.816243	7.63425300e-05	1.45344300e-07	5.25253003e+02	-6.99888100e-01	-7.60442300e-07	9.20369764e+05	2	3.50131000e-01	6.88459100e-07	5.08571969e+05
6.86269785e+01	2023-04-11T11:48:42.658301	5.12412900e-05	7.92719500e-07	6.46398758e+01	-6.99908500e-01	-1.31309900e-06	5.33020359e+05	2	3.00042400e-01	6.13585800e-07	4.88998279e+05
6.93067844e+01	2023-04-11T11:48:43.337349	1.09813700e-04	2.94106400e-06	3.73380858e+01	-6.99912100e-01	-3.33882900e-06	2.09628016e+05	2	2.50194800e-01	4.04211200e-07	6.18970479e+05
6.99715550e+01	2023-04-11T11:48:44.002395	5.96083700e-05	8.38821700e-06	7.10620267e+00	-6.99890700e-01	-8.71320500e-06	8.03252879e+04	2	2.00082400e-01	3.22302500e-07	6.20790717e+05
7.09298229e+01	2023-04-11T11:48:44.960462	7.63418000e-05	1.88435900e-05	4.05134054e+00	-6.99901200e-01	-1.90664500e-05	3.67085220e+04	2	1.50025100e-01	1.02381300e-07	1.46535647e+06
7.16011710e+01	2023-04-11T11:48:45.632508	7.63410700e-05	3.62333500e-05	2.10692829e+00	-6.99913100e-01	-3.63607100e-05	1.92491593e+04	2	1.00071500e-01	1.40009700e-07	7.14746907e+05
