Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.50072128e+02	2023-03-16T21:07:44.609982	-1.56953600e-05	-2.13569000e-07	7.34908156e+01	-2.99915600e-01	-3.62115700e-07	8.28231419e+05	2	1.00015600e+00	6.93296100e-07	1.44261016e+06
4.50574134e+02	2023-03-16T21:07:45.112015	5.12390400e-05	-1.72213600e-07	-2.97531902e+02	-2.99957700e-01	-3.07807900e-07	9.74496431e+05	2	9.50152000e-01	5.46696300e-07	1.73798872e+06
4.51292028e+02	2023-03-16T21:07:45.830060	5.12407300e-05	-1.34157200e-07	-3.81945434e+02	-2.99930300e-01	-2.75749500e-07	1.08769118e+06	2	9.00144200e-01	6.14995700e-07	1.46365934e+06
4.52011352e+02	2023-03-16T21:07:46.549106	1.09809900e-04	-1.13606600e-07	-9.66580287e+02	-2.99943000e-01	-2.48016100e-07	1.20936907e+06	2	8.49917400e-01	3.17429500e-07	2.67749973e+06
4.53245433e+02	2023-03-16T21:07:47.783186	1.09809900e-04	-1.96882000e-07	-5.57744741e+02	-2.99974700e-01	-2.17981100e-07	1.37615004e+06	2	8.00294900e-01	4.75682900e-07	1.68241259e+06
4.53982764e+02	2023-03-16T21:07:48.520233	1.85111700e-04	-1.07125400e-07	-1.72799075e+03	-2.99966000e-01	-1.96824600e-07	1.52402698e+06	2	7.49899000e-01	3.02572300e-07	2.47841260e+06
4.55058043e+02	2023-03-16T21:07:49.595301	1.09812800e-04	-1.40444100e-07	-7.81896854e+02	-2.99940900e-01	-1.70496000e-07	1.75922544e+06	2	6.99717000e-01	2.10032700e-07	3.33146696e+06
4.56823679e+02	2023-03-16T21:07:51.361416	1.01443800e-04	-7.74405500e-08	-1.30995712e+03	-2.99945000e-01	-1.48520400e-07	2.01955422e+06	2	6.49629200e-01	-7.14340900e-08	-9.09410619e+06
4.57544970e+02	2023-03-16T21:07:52.082462	-1.91409700e-04	-3.87317300e-08	4.94193520e+03	-2.99917600e-01	-1.30170400e-07	2.30403840e+06	2	6.00423000e-01	3.25077700e-07	1.84701381e+06
4.58448778e+02	2023-03-16T21:07:52.986520	2.52045500e-04	-3.53360300e-08	-7.13281883e+03	-2.99930600e-01	-1.12513100e-07	2.66573937e+06	2	5.49957100e-01	-8.29387100e-08	-6.63088563e+06
4.59890529e+02	2023-03-16T21:07:54.428612	3.44091700e-04	-1.43801100e-08	-2.39283079e+04	-2.99955700e-01	-9.41081500e-08	3.18735094e+06	2	5.00389700e-01	1.95519400e-07	2.55928414e+06
4.60637400e+02	2023-03-16T21:07:55.174660	-1.74673900e-04	-6.88599900e-09	2.53665300e+04	-2.99923900e-01	-7.23607600e-08	4.14484176e+06	2	4.49624400e-01	-6.71623900e-08	-6.69458606e+06
4.61387876e+02	2023-03-16T21:07:55.925708	2.43684200e-04	1.66167900e-09	1.46649383e+05	-2.99932600e-01	-5.91720200e-08	5.06882476e+06	2	4.00386800e-01	2.71251500e-07	1.47607221e+06
4.62136259e+02	2023-03-16T21:07:56.673756	-2.40623300e-05	-6.02867300e-09	3.99131451e+03	-2.99964000e-01	-4.09737100e-08	7.32088942e+06	2	3.50519400e-01	1.47275900e-07	2.38001873e+06
4.63074021e+02	2023-03-16T21:07:57.611817	1.26544000e-04	-4.59364200e-09	-2.75476408e+04	-2.99966000e-01	-2.65904800e-08	1.12809547e+07	2	2.99862700e-01	-6.41538300e-08	-4.67412000e+06
4.63824999e+02	2023-03-16T21:07:58.362864	1.77729600e-05	1.33020700e-08	1.33610483e+03	-3.00001500e-01	-1.59848300e-08	1.87678881e+07	2	2.50107800e-01	9.43186000e-08	2.65173359e+06
4.64573760e+02	2023-03-16T21:07:59.110912	1.51642600e-04	1.36665200e-08	1.10959191e+04	-2.99974700e-01	-9.79191000e-09	3.06349527e+07	2	2.00269500e-01	9.87850300e-08	2.02732641e+06
4.65354985e+02	2023-03-16T21:07:59.892962	7.63440100e-05	-4.13094600e-09	-1.84809993e+04	-2.99940900e-01	-1.19983200e-08	2.49985748e+07	2	1.50077300e-01	-7.50980100e-08	-1.99841913e+06
4.66105056e+02	2023-03-16T21:08:00.643010	8.47096200e-05	1.21167100e-07	6.99114033e+02	-2.99951400e-01	-9.42379500e-08	3.18291516e+06	2	1.00230500e-01	-4.40008600e-08	-2.27792139e+06
