Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.56712654e+02	2023-03-16T21:04:31.248865	8.47112000e-05	-2.83511400e-07	-2.98792923e+02	-4.99988400e-01	-4.79215900e-07	1.04334685e+06	2	1.00012200e+00	6.69427200e-07	1.49399666e+06
2.56918971e+02	2023-03-16T21:04:31.454877	9.30775400e-05	-2.79957900e-07	-3.32469775e+02	-4.99973500e-01	-3.99102900e-07	1.25274334e+06	2	9.50223000e-01	6.04225700e-07	1.57262923e+06
2.57635261e+02	2023-03-16T21:04:32.171923	1.34912100e-04	-2.50264300e-07	-5.39078486e+02	-4.99944900e-01	-3.49748000e-07	1.42944320e+06	2	9.00134400e-01	5.88909700e-07	1.52847610e+06
2.58213725e+02	2023-03-16T21:04:32.749961	2.01848800e-04	-2.03793600e-07	-9.90457011e+02	-4.99976700e-01	-3.12357500e-07	1.60065534e+06	2	8.50110500e-01	4.54064600e-07	1.87222369e+06
2.58796510e+02	2023-03-16T21:04:33.332999	1.68383100e-04	-1.10487400e-07	-1.52400274e+03	-4.99968400e-01	-2.82672300e-07	1.76872088e+06	2	8.00982700e-01	4.89048400e-07	1.63783932e+06
2.59526303e+02	2023-03-16T21:04:34.063044	-3.24295200e-05	-5.38955100e-08	6.01710977e+02	-4.99938300e-01	-2.58578700e-07	1.93340867e+06	2	7.50114900e-01	4.92142100e-07	1.52418356e+06
2.60447830e+02	2023-03-16T21:04:34.984104	2.01850300e-04	-4.44006500e-08	-4.54611137e+03	-4.99961700e-01	-2.44804400e-07	2.04229050e+06	2	7.01038600e-01	3.97784900e-07	1.76235599e+06
2.61870295e+02	2023-03-16T21:04:36.406195	1.03790100e-06	-4.27566300e-08	-2.42746213e+01	-4.99949900e-01	-2.22001100e-07	2.25201542e+06	2	6.50428200e-01	2.95025300e-07	2.20465228e+06
2.62934097e+02	2023-03-16T21:04:37.470263	3.44079000e-04	-2.14443000e-08	-1.60452428e+04	-4.99938300e-01	-2.00119800e-07	2.49819508e+06	2	5.99867500e-01	1.10575600e-07	5.42495361e+06
2.64202084e+02	2023-03-16T21:04:38.738345	9.30775400e-05	-8.74329700e-09	-1.06455883e+04	-4.99955100e-01	-1.81470700e-07	2.75501830e+06	2	5.50610500e-01	3.78245000e-07	1.45569803e+06
2.64948189e+02	2023-03-16T21:04:39.484392	1.93489300e-04	-2.41156300e-08	-8.02339810e+03	-4.99939900e-01	-1.58813500e-07	3.14796853e+06	2	5.00264400e-01	3.39666700e-07	1.47280967e+06
2.66088792e+02	2023-03-16T21:04:40.625465	2.26946500e-04	-1.82555200e-08	-1.24316645e+04	-4.99934900e-01	-1.41755400e-07	3.52674325e+06	2	4.49663900e-01	5.78785800e-08	7.76909005e+06
2.67184110e+02	2023-03-16T21:04:41.720536	1.77726200e-05	4.75831000e-09	3.73506980e+03	-4.99919900e-01	-1.23422400e-07	4.05047949e+06	2	4.00400800e-01	1.78572100e-07	2.24223605e+06
2.67917099e+02	2023-03-16T21:04:42.453583	-1.16099900e-04	-2.82420500e-10	4.11088784e+05	-4.99951700e-01	-1.02508600e-07	4.87716835e+06	2	3.49915800e-01	2.19976500e-07	1.59069628e+06
2.69010758e+02	2023-03-16T21:04:43.546653	1.93483200e-04	-2.31310800e-09	-8.36464186e+04	-4.99976700e-01	-8.88887900e-08	5.62474413e+06	2	2.99448200e-01	1.62626600e-07	1.84132362e+06
2.69953588e+02	2023-03-16T21:04:44.489714	1.26545000e-04	2.20991500e-08	5.72623834e+03	-4.99958300e-01	-7.10575100e-08	7.03596706e+06	2	2.50462500e-01	3.06223800e-07	8.17906707e+05
2.70698288e+02	2023-03-16T21:04:45.234761	1.01444700e-04	-1.37332600e-08	-7.38678944e+03	-4.99965000e-01	-5.04247700e-08	9.91506754e+06	2	1.99562500e-01	-1.08662600e-07	-1.83653345e+06
2.71454017e+02	2023-03-16T21:04:45.990810	1.03857700e-06	3.91311200e-08	2.65409475e+01	-4.99973400e-01	-5.33697400e-08	9.36810635e+06	2	1.49980300e-01	2.06455400e-07	7.26453752e+05
2.72370277e+02	2023-03-16T21:04:46.906868	1.01444700e-04	2.02654300e-07	5.00580052e+02	-4.99943300e-01	-1.63525100e-07	3.05728784e+06	2	1.00441600e-01	7.27147600e-08	1.38130965e+06
