Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.26375939e+02	2023-03-10T19:37:01.760679	6.79754600e-05	-7.23870800e-08	-9.39055146e+02	-3.00051700e-01	-2.19769600e-07	1.36530121e+06	1	7.99909600e-01	2.13461400e-07	3.74732668e+06
4.27236232e+02	2023-03-10T19:37:02.620734	7.63447300e-05	-6.96504200e-08	-1.09611299e+03	-2.99934600e-01	-2.11857100e-07	1.41574014e+06	1	7.50379000e-01	2.80590900e-07	2.67428131e+06
4.28049462e+02	2023-03-10T19:37:03.433785	5.12401700e-05	-5.83316200e-08	-8.78428715e+02	-2.99951400e-01	-1.99485900e-07	1.50362206e+06	1	7.00054200e-01	3.26711400e-07	2.14272964e+06
4.28785959e+02	2023-03-10T19:37:04.170832	5.96090000e-05	-5.16924300e-08	-1.15314757e+03	-2.99964000e-01	-1.84566800e-07	1.62523271e+06	1	6.50190400e-01	2.59508100e-07	2.50547247e+06
4.29501901e+02	2023-03-10T19:37:04.886877	5.12407300e-05	-4.00612800e-08	-1.27905873e+03	-2.99949000e-01	-1.70609100e-07	1.75810669e+06	1	5.99934100e-01	9.62056700e-08	6.23595366e+06
4.30240782e+02	2023-03-10T19:37:05.625924	1.03880300e-06	-2.80519100e-08	-3.70314535e+01	-2.99938700e-01	-1.58078600e-07	1.89740230e+06	1	5.50149500e-01	2.06432900e-07	2.66502820e+06
4.31141861e+02	2023-03-10T19:37:06.526980	5.96065100e-05	-1.53398500e-08	-3.88572965e+03	-2.99955700e-01	-1.46283900e-07	2.05050385e+06	1	5.00110500e-01	1.48284600e-07	3.37263951e+06
4.31892406e+02	2023-03-10T19:37:07.277027	5.96102300e-05	-5.37513100e-09	-1.10900051e+04	-2.99961700e-01	-1.28418600e-07	2.33581195e+06	1	4.50088200e-01	1.53230600e-07	2.93732583e+06
4.32642507e+02	2023-03-10T19:37:08.027075	7.63425300e-05	-3.04246200e-09	-2.50923528e+04	-2.99936600e-01	-1.16404500e-07	2.57667530e+06	1	3.99954500e-01	2.06782200e-07	1.93418244e+06
4.33595782e+02	2023-03-10T19:37:08.980135	7.63425300e-05	1.12033500e-09	6.81425913e+04	-2.99953300e-01	-1.00621500e-07	2.98100605e+06	1	3.50233700e-01	1.87813900e-07	1.86479116e+06
4.34345699e+02	2023-03-10T19:37:09.730183	6.79774800e-05	3.16284800e-09	2.14924903e+04	-2.99968100e-01	-8.27355300e-08	3.62562614e+06	1	3.00017300e-01	4.88912300e-08	6.13642365e+06
4.35439298e+02	2023-03-10T19:37:10.824252	5.96083700e-05	1.58863900e-08	3.75216585e+03	-2.99953300e-01	-6.92424200e-08	4.33192976e+06	1	2.50223300e-01	1.11869900e-07	2.23673481e+06
4.36178680e+02	2023-03-10T19:37:11.563299	-7.32828100e-06	3.21586800e-09	-2.27878787e+03	-2.99825900e-01	-7.96134900e-08	3.76601880e+06	1	2.49979000e-01	1.09528900e-07	2.28231088e+06
4.37095528e+02	2023-03-10T19:37:12.480356	1.09813700e-04	9.47907800e-09	1.15848503e+04	-2.99938900e-01	-6.39030900e-08	4.69365253e+06	1	2.40284200e-01	1.09330000e-07	2.19778835e+06
4.37845681e+02	2023-03-10T19:37:13.230403	1.09809000e-04	5.13648400e-09	2.13782424e+04	-2.99945000e-01	-5.80398100e-08	5.16791836e+06	1	2.30323200e-01	1.32973600e-07	1.73209720e+06
4.38987522e+02	2023-03-10T19:37:14.372475	5.96083700e-05	-7.57001300e-09	-7.87427578e+03	-2.99959700e-01	-5.22837800e-08	5.73714640e+06	1	2.20017700e-01	9.29103700e-08	2.36806397e+06
4.40064297e+02	2023-03-10T19:37:15.449544	3.45075800e-05	-1.05795200e-08	-3.26173399e+03	-2.99913500e-01	-5.18885800e-08	5.77995197e+06	1	2.10162100e-01	3.26573000e-08	6.43537892e+06
4.41174302e+02	2023-03-10T19:37:16.558988	3.45080300e-05	8.58560900e-09	4.01928739e+03	-2.99932600e-01	-4.62558800e-08	6.48420482e+06	1	2.00029600e-01	4.74353800e-08	4.21688621e+06
4.41925810e+02	2023-03-10T19:37:17.311036	9.30775400e-05	8.53101300e-08	1.09104909e+03	-2.99936900e-01	-1.27990200e-07	2.34343645e+06	1	1.90255000e-01	4.95664100e-08	3.83838571e+06
