Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.83241355e-01	2023-03-13T15:22:31.513914	6.79768000e-05	-3.16854300e-07	-2.14536460e+02	-6.99919400e-01	-6.30117700e-07	1.11077565e+06	1	1.00008400e+00	8.01157800e-07	1.24829840e+06
2.34765135e+00	2023-03-13T15:22:33.174756	5.96065100e-05	-2.24201300e-07	-2.65861572e+02	-6.99920500e-01	-5.31390900e-07	1.31714807e+06	1	9.50188000e-01	4.09593400e-07	2.31983230e+06
3.03461324e+00	2023-03-13T15:22:33.855774	4.28747200e-05	-1.84423800e-07	-2.32479322e+02	-6.99786700e-01	-1.57621500e-07	4.43966527e+06	1	9.00420200e-01	4.04648600e-07	2.22519045e+06
3.89385525e+00	2023-03-13T15:22:34.716824	7.63432700e-05	-1.53693400e-07	-4.96724453e+02	-6.99914300e-01	-1.86741700e-07	3.74803432e+06	1	8.50271300e-01	3.91567100e-07	2.17145746e+06
4.61272736e+00	2023-03-13T15:22:35.436842	4.28732000e-05	-1.30352900e-07	-3.28901006e+02	-6.99932400e-01	-1.75450000e-07	3.98935537e+06	1	8.00425200e-01	3.85575500e-07	2.07592339e+06
5.33134928e+00	2023-03-13T15:22:36.152873	8.47112000e-05	-1.09608500e-07	-7.72852470e+02	-6.99884400e-01	-1.61803000e-07	4.32553414e+06	1	7.50241900e-01	3.75143900e-07	1.99987765e+06
6.05009544e+00	2023-03-13T15:22:36.873876	4.28737000e-05	-9.07144300e-08	-4.72622713e+02	-6.99889100e-01	-1.57764700e-07	4.43628454e+06	1	7.00076200e-01	3.06871100e-07	2.28133637e+06
6.77073566e+00	2023-03-13T15:22:37.593895	7.63403400e-05	-7.26952900e-08	-1.05014149e+03	-6.99921500e-01	-1.47720400e-07	4.73815059e+06	1	6.50039100e-01	1.83619500e-07	3.54014198e+06
7.36647861e+00	2023-03-13T15:22:38.189362	5.96108500e-05	-5.25885700e-08	-1.13353244e+03	-6.99952800e-01	-1.45622800e-07	4.80661545e+06	1	6.00498200e-01	1.71458300e-07	3.50229881e+06
8.09698029e+00	2023-03-13T15:22:38.920228	6.79774800e-05	-3.66665500e-08	-1.85393717e+03	-6.99934600e-01	-1.26811800e-07	5.51947532e+06	1	5.50118800e-01	1.14005100e-07	4.82538764e+06
9.00625596e+00	2023-03-13T15:22:39.836684	8.47104100e-05	-1.99085000e-08	-4.25498707e+03	-6.99957600e-01	-1.18311800e-07	5.91621123e+06	1	5.00110400e-01	2.10414600e-07	2.37678564e+06
9.75475136e+00	2023-03-13T15:22:40.585747	7.63454700e-05	-7.54057000e-09	-1.01246285e+04	-6.99932400e-01	-1.17155300e-07	5.97439809e+06	1	4.49962700e-01	1.65522000e-07	2.71844649e+06
1.04876506e+01	2023-03-13T15:22:41.318807	7.63440100e-05	-2.35093100e-09	-3.24739476e+04	-6.99901200e-01	-1.05435500e-07	6.63819302e+06	1	4.00222500e-01	1.30180700e-07	3.07436125e+06
1.15659603e+01	2023-03-13T15:22:42.396896	9.30775400e-05	1.09218300e-09	8.52215609e+04	-6.99891700e-01	-1.00534500e-07	6.96170668e+06	1	3.50108200e-01	6.75206800e-08	5.18519956e+06
1.26441467e+01	2023-03-13T15:22:43.474986	6.79768000e-05	3.25595800e-09	2.08776649e+04	-6.99909500e-01	-9.54753400e-08	7.33078824e+06	1	3.00105000e-01	6.79950300e-08	4.41363141e+06
1.37222366e+01	2023-03-13T15:22:44.553074	5.12407300e-05	4.96952900e-09	1.03109832e+04	-6.99908500e-01	-8.70108300e-08	8.04392396e+06	1	2.50188100e-01	6.83316500e-08	3.66137946e+06
1.44565254e+01	2023-03-13T15:22:45.287134	5.12424200e-05	2.25022900e-08	2.27720912e+03	-6.99951400e-01	-7.75100200e-08	9.03046342e+06	1	2.00336100e-01	1.41250200e-07	1.41830666e+06
1.51909046e+01	2023-03-13T15:22:46.022195	5.96083700e-05	3.68182000e-08	1.61899197e+03	-6.99916900e-01	-9.58698500e-08	7.30069881e+06	1	1.50138900e-01	4.24991500e-08	3.53275066e+06
1.62689658e+01	2023-03-13T15:22:47.100284	1.01444700e-04	4.40537700e-07	2.30274730e+02	-6.99914300e-01	-2.73179400e-07	2.56210498e+06	1	9.99955800e-02	-1.96733700e-08	-5.08278856e+06
