Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.74114564e-01	2023-03-16T21:00:15.202169	7.63432700e-05	-4.89037700e-07	-1.56109171e+02	-6.99792400e-01	-7.06869100e-07	9.89988670e+05	1	1.00006900e+00	1.17241500e-06	8.52999151e+05
2.16988066e+00	2023-03-16T21:00:16.703100	2.26950000e-04	-3.02414400e-07	-7.50460296e+02	-6.99882300e-01	-2.50230700e-07	2.79694818e+06	1	9.50120500e-01	1.22310800e-06	7.76808344e+05
3.16743057e+00	2023-03-16T21:00:17.694579	1.51642600e-04	-2.44187800e-07	-6.21008093e+02	-6.99904800e-01	-6.84642900e-07	1.02229177e+06	1	9.00195300e-01	5.31947700e-07	1.69226279e+06
3.99709252e+00	2023-03-16T21:00:18.530028	2.61392600e-05	-2.62192300e-07	-9.96949949e+01	-6.99887000e-01	-4.39411000e-07	1.59278443e+06	1	8.49978900e-01	3.79895300e-07	2.23740304e+06
5.21301259e+00	2023-03-16T21:00:19.744265	-4.07968400e-05	-2.25400300e-07	1.80997275e+02	-6.99954000e-01	-2.26511500e-07	3.09014774e+06	1	8.00308000e-01	4.51249100e-07	1.77353927e+06
6.07236612e+00	2023-03-16T21:00:20.599680	9.40560200e-06	-1.88024200e-07	-5.00233587e+01	-6.99915700e-01	-1.42617900e-07	4.90762871e+06	1	7.49945700e-01	5.04981800e-07	1.48509451e+06
6.79104416e+00	2023-03-16T21:00:21.325129	2.01847200e-04	-1.41933100e-07	-1.42212916e+03	-6.99721900e-01	-1.78571600e-07	3.91843888e+06	1	6.99790700e-01	1.73559300e-07	4.03199771e+06
7.86988810e+00	2023-03-16T21:00:22.400435	1.60015900e-04	-6.56844800e-08	-2.43612951e+03	-6.99938200e-01	-1.80132700e-07	3.88568095e+06	1	6.49763100e-01	3.03730900e-07	2.13927230e+06
8.93314983e+00	2023-03-16T21:00:23.467966	3.35727100e-04	-9.48105100e-08	-3.54103253e+03	-6.99924100e-01	-1.69306800e-07	4.13405782e+06	1	5.99904700e-01	5.00632800e-07	1.19829284e+06
9.85367374e+00	2023-03-16T21:00:24.387631	3.27355000e-04	-3.10359800e-08	-1.05475967e+04	-6.99976400e-01	-1.73493200e-07	4.03460424e+06	1	5.50367900e-01	1.26032200e-07	4.36688323e+06
1.06097742e+01	2023-03-16T21:00:25.143983	-1.99775900e-04	1.37148900e-09	-1.45663509e+05	-7.00104600e-01	-3.36988600e-07	2.07753200e+06	1	5.00448300e-01	3.43261300e-07	1.45792229e+06
1.13382383e+01	2023-03-16T21:00:25.873030	1.09809000e-04	-1.52529800e-08	-7.19918337e+03	-6.99899000e-01	-1.44858200e-07	4.83161464e+06	1	4.49402300e-01	5.09917700e-08	8.81323202e+06
1.20883006e+01	2023-03-16T21:00:26.623078	9.40616100e-06	1.15976200e-08	8.11042352e+02	-6.99864600e-01	-1.25388100e-07	5.58158709e+06	1	4.00216500e-01	2.48529500e-07	1.61033801e+06
1.28381209e+01	2023-03-16T21:00:27.373126	1.34911000e-04	-4.05445100e-09	-3.32747886e+04	-6.99946700e-01	-1.01701200e-07	6.88238389e+06	1	3.49978000e-01	3.42940400e-07	1.02052135e+06
1.37287798e+01	2023-03-16T21:00:28.263183	-1.56954700e-05	8.25247300e-09	-1.90191110e+03	-6.99897900e-01	-1.54553400e-07	4.52851830e+06	1	3.00228500e-01	2.67939800e-07	1.12050729e+06
1.44786694e+01	2023-03-16T21:00:29.013231	1.60010800e-04	-5.85286200e-09	-2.73388985e+04	-6.99916900e-01	-1.32622200e-07	5.27752443e+06	1	2.49692900e-01	5.59728800e-08	4.46096217e+06
1.55723815e+01	2023-03-16T21:00:30.107302	-5.75313100e-05	4.43992900e-09	-1.29577095e+04	-6.99929900e-01	-1.15217500e-07	6.07485755e+06	1	2.00527400e-01	2.62197100e-07	7.64796407e+05
1.63225182e+01	2023-03-16T21:00:30.857350	1.34912100e-04	5.16900200e-08	2.61002221e+03	-6.99933500e-01	-1.29418900e-07	5.40827885e+06	1	1.49965600e-01	9.74610700e-08	1.53872310e+06
1.72600057e+01	2023-03-16T21:00:31.794410	5.12418500e-05	2.79706800e-07	1.83198442e+02	-6.99917900e-01	-3.33976800e-07	2.09570814e+06	1	1.00395100e-01	1.81574800e-07	5.52913180e+05
