Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.19232582e-01	2023-06-05T11:37:27.911995	-3.00000000e-01	-6.49000000e-10	4.62249615e+08	1.00000000e+00	-1.39780000e-09	-7.15409930e+08	1
1.09193563e+00	2023-06-05T11:37:28.584510	-3.00000000e-01	-4.07160000e-10	7.36811082e+08	1.00000000e+00	2.51330000e-10	3.97883261e+09	2
1.46778358e+00	2023-06-05T11:37:28.960412	-3.00000000e-01	-4.12960000e-10	7.26462611e+08	1.00000000e+00	-1.64870000e-10	-6.06538485e+09	3
1.81477859e+00	2023-06-05T11:37:29.307585	-3.00000000e-01	-1.89300000e-10	1.58478605e+09	1.00000000e+00	4.53200000e-11	2.20653133e+10	4
2.19357834e+00	2023-06-05T11:37:29.686722	-3.00000000e-01	-3.35460000e-10	8.94294402e+08	1.00000000e+00	7.70900000e-11	1.29718511e+10	5
2.58955922e+00	2023-06-05T11:37:30.082785	-3.00000000e-01	-1.41130000e-10	2.12569971e+09	1.00000000e+00	-1.88050000e-10	-5.31773465e+09	6
2.92971566e+00	2023-06-05T11:37:30.422581	-3.00000000e-01	-2.50930000e-10	1.19555254e+09	1.00000000e+00	2.60960000e-10	3.83200490e+09	7
3.31472998e+00	2023-06-05T11:37:30.807476	-3.00000000e-01	-1.68530000e-10	1.78009850e+09	1.00000000e+00	-2.87540000e-10	-3.47777700e+09	8
3.68478961e+00	2023-06-05T11:37:31.177803	-3.00000000e-01	-1.35070000e-10	2.22107056e+09	1.00000000e+00	2.69190000e-10	3.71484825e+09	9
4.05107366e+00	2023-06-05T11:37:31.544258	-3.00000000e-01	-2.06510000e-10	1.45271415e+09	1.00000000e+00	-1.88670000e-10	-5.30025971e+09	10
4.41384755e+00	2023-06-05T11:37:31.906534	-3.00000000e-01	-4.78400000e-11	6.27090301e+09	1.00000000e+00	8.14000000e-11	1.22850123e+10	11
4.79070884e+00	2023-06-05T11:37:32.283521	-3.00000000e-01	-2.18310000e-10	1.37419266e+09	1.00000000e+00	3.95000000e-11	2.53164557e+10	12
5.15961648e+00	2023-06-05T11:37:32.652749	-3.00000000e-01	-4.12000000e-11	7.28155340e+09	1.00000000e+00	-1.55190000e-10	-6.44371416e+09	13
5.53004699e+00	2023-06-05T11:37:33.023180	-3.00000000e-01	-1.84070000e-10	1.62981474e+09	1.00000000e+00	2.35520000e-10	4.24592391e+09	14
5.90145924e+00	2023-06-05T11:37:33.394514	-3.00000000e-01	-8.22700000e-11	3.64652972e+09	1.00000000e+00	-2.83350000e-10	-3.52920416e+09	15
6.28545571e+00	2023-06-05T11:37:33.778770	-3.00000000e-01	-9.33600000e-11	3.21336761e+09	1.00000000e+00	2.84810000e-10	3.51111267e+09	16
6.64319944e+00	2023-06-05T11:37:34.135830	-3.00000000e-01	-1.49710000e-10	2.00387416e+09	1.00000000e+00	-2.09300000e-10	-4.77783086e+09	17
