Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.14982084e-01	2023-06-13T16:25:09.880044	-1.00000000e-01	-1.44690000e-09	6.91132767e+07	1.00000000e+00	2.35000000e-10	4.25531915e+09	1
1.11629712e+00	2023-06-13T16:25:10.580892	-1.00000000e-01	1.35250000e-09	-7.39371534e+07	1.00000000e+00	-1.80690000e-10	-5.53434058e+09	2
1.49047138e+00	2023-06-13T16:25:10.955015	-1.00000000e-01	-7.03120000e-10	1.42223234e+08	1.00000000e+00	1.04120000e-10	9.60430273e+09	3
1.86061404e+00	2023-06-13T16:25:11.325215	-1.00000000e-01	-1.59530000e-10	6.26841346e+08	1.00000000e+00	5.00000000e-12	2.00000000e+11	4
2.21745002e+00	2023-06-13T16:25:11.675558	-1.00000000e-01	-3.67030000e-10	2.72457292e+08	1.00000000e+00	-1.08920000e-10	-9.18105031e+09	5
2.59721690e+00	2023-06-13T16:25:12.055642	-1.00000000e-01	-3.11690000e-10	3.20831595e+08	1.00000000e+00	1.82280000e-10	5.48606539e+09	6
2.96055915e+00	2023-06-13T16:25:12.425839	-1.00000000e-01	-3.33400000e-11	2.99940012e+09	1.00000000e+00	-2.30440000e-10	-4.33952439e+09	7
3.34142510e+00	2023-06-13T16:25:12.806015	-1.00000000e-01	-4.44800000e-10	2.24820144e+08	1.00000000e+00	2.34490000e-10	4.26457418e+09	8
3.70586560e+00	2023-06-13T16:25:13.166245	-1.00000000e-01	1.09680000e-10	-9.11743253e+08	1.00000000e+00	-1.80110000e-10	-5.55216257e+09	9
4.07970919e+00	2023-06-13T16:25:13.536563	-1.00000000e-01	-4.21590000e-10	2.37197277e+08	1.00000000e+00	1.03480000e-10	9.66370313e+09	10
4.46200817e+00	2023-06-13T16:25:13.926621	-1.00000000e-01	2.64400000e-11	-3.78214826e+09	1.00000000e+00	8.36000000e-12	1.19617225e+11	11
4.82404786e+00	2023-06-13T16:25:14.286851	-1.00000000e-01	-2.38000000e-10	4.20168067e+08	1.00000000e+00	-1.11770000e-10	-8.94694462e+09	12
5.20139299e+00	2023-06-13T16:25:14.657044	-1.00000000e-01	-2.13160000e-10	4.69131169e+08	1.00000000e+00	1.87400000e-10	5.33617930e+09	13
5.57528498e+00	2023-06-13T16:25:15.037261	-1.00000000e-01	3.57900000e-11	-2.79407656e+09	1.00000000e+00	-2.32720000e-10	-4.29700928e+09	14
5.94281636e+00	2023-06-13T16:25:15.407422	-1.00000000e-01	-3.79350000e-10	2.63608805e+08	1.00000000e+00	2.33860000e-10	4.27606260e+09	15
6.31301523e+00	2023-06-13T16:25:15.777622	-1.00000000e-01	1.67450000e-10	-5.97193192e+08	1.00000000e+00	-1.74680000e-10	-5.72475384e+09	16
6.69272467e+00	2023-06-13T16:25:16.157827	-1.00000000e-01	-3.75910000e-10	2.66021122e+08	1.00000000e+00	9.06300000e-11	1.10338740e+10	17
