Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.29542740e-01	2023-06-14T17:39:23.155934	-1.00000000e-01	1.29990000e-10	-7.69289945e+08	1.00000000e+00	-2.27970000e-10	-4.38654209e+09	1
1.12697687e+00	2023-06-14T17:39:23.854057	-1.00000000e-01	-1.29790000e-10	7.70475383e+08	1.00000000e+00	2.18610000e-10	4.57435616e+09	2
1.48554851e+00	2023-06-14T17:39:24.212689	-1.00000000e-01	1.00460000e-10	-9.95421063e+08	1.00000000e+00	-1.57910000e-10	-6.33272117e+09	3
1.87475646e+00	2023-06-14T17:39:24.601572	-1.00000000e-01	-5.89300000e-11	1.69692856e+09	1.00000000e+00	7.60100000e-11	1.31561637e+10	4
2.23086820e+00	2023-06-14T17:39:24.957655	-1.00000000e-01	9.00000000e-13	-1.11111111e+11	1.00000000e+00	2.30400000e-11	4.34027778e+10	5
2.60988456e+00	2023-06-14T17:39:25.336958	-1.00000000e-01	5.52600000e-11	-1.80962722e+09	1.00000000e+00	-1.16770000e-10	-8.56384345e+09	6
2.98733046e+00	2023-06-14T17:39:25.713693	-1.00000000e-01	-9.85800000e-11	1.01440454e+09	1.00000000e+00	1.85700000e-10	5.38502962e+09	7
3.35331256e+00	2023-06-14T17:39:26.080359	-1.00000000e-01	1.25740000e-10	-7.95291872e+08	1.00000000e+00	-2.24170000e-10	-4.46090021e+09	8
3.77251601e+00	2023-06-14T17:39:26.498987	-1.00000000e-01	-1.31080000e-10	7.62892890e+08	1.00000000e+00	2.27340000e-10	4.39869799e+09	9
4.09775225e+00	2023-06-14T17:39:26.824506	-1.00000000e-01	1.10780000e-10	-9.02690016e+08	1.00000000e+00	-1.75950000e-10	-5.68343279e+09	10
4.47518502e+00	2023-06-14T17:39:27.201822	-1.00000000e-01	-7.22800000e-11	1.38350858e+09	1.00000000e+00	1.04050000e-10	9.61076406e+09	11
4.84078517e+00	2023-06-14T17:39:27.567166	-1.00000000e-01	1.62500000e-11	-6.15384615e+09	1.00000000e+00	-4.11000000e-12	-2.43309002e+11	12
5.21174409e+00	2023-06-14T17:39:27.938663	-1.00000000e-01	3.75900000e-11	-2.66028199e+09	1.00000000e+00	-9.32900000e-11	-1.07192625e+10	13
5.57657336e+00	2023-06-14T17:39:28.303758	-1.00000000e-01	-8.73700000e-11	1.14455763e+09	1.00000000e+00	1.67660000e-10	5.96445187e+09	14
5.94847465e+00	2023-06-14T17:39:28.674949	-1.00000000e-01	1.20510000e-10	-8.29806655e+08	1.00000000e+00	-2.17460000e-10	-4.59854686e+09	15
6.32746229e+00	2023-06-14T17:39:29.054608	-1.00000000e-01	-1.31210000e-10	7.62137032e+08	1.00000000e+00	2.27530000e-10	4.39502483e+09	16
6.69708459e+00	2023-06-14T17:39:29.423659	-1.00000000e-01	1.21800000e-10	-8.21018062e+08	1.00000000e+00	-1.91830000e-10	-5.21294897e+09	17
