Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.14445708e-01	2023-06-14T14:26:21.360533	-1.00000000e-01	-9.48400000e-09	1.05440742e+07	1.00000000e+00	1.36250000e-10	7.33944954e+09	1
9.97914256e-01	2023-06-14T14:26:21.944136	-1.00000000e-01	-2.56510000e-09	3.89848349e+07	1.00000000e+00	-1.15420000e-10	-8.66400970e+09	2
1.37741841e+00	2023-06-14T14:26:22.324338	-1.00000000e-01	-1.17580000e-09	8.50484776e+07	1.00000000e+00	7.76200000e-11	1.28832775e+10	3
1.98036225e+00	2023-06-14T14:26:22.926684	-1.00000000e-01	-1.06710000e-09	9.37119295e+07	1.00000000e+00	-1.86100000e-11	-5.37345513e+10	4
2.10281932e+00	2023-06-14T14:26:23.049590	-1.00000000e-01	-3.64930000e-09	2.74025156e+07	1.00000000e+00	-3.94400000e-11	-2.53549696e+10	5
2.48210563e+00	2023-06-14T14:26:23.428716	-1.00000000e-01	-1.37590000e-09	7.26797006e+07	1.00000000e+00	9.28200000e-11	1.07735402e+10	6
2.87303256e+00	2023-06-14T14:26:23.819243	-1.00000000e-01	-8.27000000e-10	1.20918984e+08	1.00000000e+00	-1.26750000e-10	-7.88954635e+09	7
3.37263564e+00	2023-06-14T14:26:24.319496	-1.00000000e-01	-3.63360000e-09	2.75209159e+07	1.00000000e+00	1.36820000e-10	7.30887297e+09	8
3.59082937e+00	2023-06-14T14:26:24.537674	-1.00000000e-01	-1.84260000e-09	5.42711386e+07	1.00000000e+00	-1.18770000e-10	-8.41963459e+09	9
3.96708922e+00	2023-06-14T14:26:24.913721	-1.00000000e-01	-4.63200000e-10	2.15889465e+08	1.00000000e+00	-1.58300000e-11	-6.31711939e+10	10
4.69712562e+00	2023-06-14T14:26:25.643347	-1.00000000e-01	-3.48970000e-09	2.86557584e+07	1.00000000e+00	-1.58300000e-11	-6.31711939e+10	11
4.78437940e+00	2023-06-14T14:26:25.730961	-1.00000000e-01	-2.17690000e-09	4.59368827e+07	1.00000000e+00	-4.34300000e-11	-2.30255584e+10	12
5.07401152e+00	2023-06-14T14:26:26.020083	-1.00000000e-01	-1.43450000e-09	6.97107006e+07	1.00000000e+00	9.64900000e-11	1.03637683e+10	13
5.61854466e+00	2023-06-14T14:26:26.564692	-1.00000000e-01	-7.77000000e-10	1.28700129e+08	1.00000000e+00	-1.16120000e-10	-8.61178092e+09	14
6.76018985e+00	2023-06-14T14:26:27.707228	-1.00000000e-01	-3.61210000e-09	2.76847263e+07	1.00000000e+00	7.30000000e-11	1.36986301e+10	15
6.93459936e+00	2023-06-14T14:26:27.880863	-1.00000000e-01	-1.85390000e-09	5.39403420e+07	1.00000000e+00	-1.19600000e-11	-8.36120401e+10	16
7.30524607e+00	2023-06-14T14:26:28.252070	-1.00000000e-01	-4.51800000e-10	2.21336875e+08	1.00000000e+00	1.00540000e-10	9.94629003e+09	17
