Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.16444308e-01	2023-06-20T15:03:03.617611	-1.00000000e-01	-5.48000000e-12	1.82481752e+10	0.00000000e+00	-2.90940000e-10	-0.00000000e+00	1
1.07076800e+00	2023-06-20T15:03:04.271200	-1.00000000e-01	7.13800000e-11	-1.40095265e+09	0.00000000e+00	2.44940000e-10	0.00000000e+00	2
1.44959959e+00	2023-06-20T15:03:04.644918	-1.00000000e-01	-1.16900000e-10	8.55431993e+08	0.00000000e+00	-1.51960000e-10	-0.00000000e+00	3
1.81734072e+00	2023-06-20T15:03:05.015019	-1.00000000e-01	1.36760000e-10	-7.31207956e+08	0.00000000e+00	1.36100000e-11	0.00000000e+00	4
2.19478605e+00	2023-06-20T15:03:05.395020	-1.00000000e-01	-1.27920000e-10	7.81738587e+08	0.00000000e+00	1.28040000e-10	0.00000000e+00	5
2.56471508e+00	2023-06-20T15:03:05.765024	-1.00000000e-01	8.17000000e-11	-1.22399021e+09	0.00000000e+00	-2.31260000e-10	-0.00000000e+00	6
2.92543877e+00	2023-06-20T15:03:06.125161	-1.00000000e-01	-1.83100000e-11	5.46149645e+09	0.00000000e+00	2.52530000e-10	0.00000000e+00	7
3.30472246e+00	2023-06-20T15:03:06.505029	-1.00000000e-01	-4.97800000e-11	2.00883889e+09	0.00000000e+00	-1.93670000e-10	-0.00000000e+00	8
3.67484226e+00	2023-06-20T15:03:06.875031	-1.00000000e-01	1.05880000e-10	-9.44465433e+08	0.00000000e+00	-8.86000000e-12	-0.00000000e+00	9
4.04475774e+00	2023-06-20T15:03:07.245066	-1.00000000e-01	-1.36370000e-10	7.33299113e+08	0.00000000e+00	-6.54550000e-10	-0.00000000e+00	10
4.42482421e+00	2023-06-20T15:03:07.625035	-1.00000000e-01	2.54500000e-10	-3.92927308e+08	0.00000000e+00	-7.87900000e-11	-0.00000000e+00	11
4.78925579e+00	2023-06-20T15:03:07.985072	-1.00000000e-01	-5.15200000e-11	1.94099379e+09	0.00000000e+00	1.93670000e-10	0.00000000e+00	12
5.16267692e+00	2023-06-20T15:03:08.355042	-1.00000000e-01	3.94000000e-11	-2.53807107e+09	0.00000000e+00	-3.09170000e-10	-0.00000000e+00	13
5.53287097e+00	2023-06-20T15:03:08.725044	-1.00000000e-01	3.92700000e-11	-2.54647313e+09	0.00000000e+00	2.66830000e-10	0.00000000e+00	14
5.90487056e+00	2023-06-20T15:03:09.105046	-1.00000000e-01	-8.64600000e-11	1.15660421e+09	0.00000000e+00	-2.33300000e-10	-0.00000000e+00	15
6.28469867e+00	2023-06-20T15:03:09.485051	-1.00000000e-01	6.75100000e-11	-1.48126204e+09	0.00000000e+00	7.95600000e-11	0.00000000e+00	16
6.65303015e+00	2023-06-20T15:03:09.845050	-1.00000000e-01	-1.42110000e-10	7.03680248e+08	0.00000000e+00	4.41200000e-11	0.00000000e+00	17
