Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.18847179e-01	2023-06-20T12:41:48.311496	-1.00000000e-01	-8.42780000e-05	1.18654928e+03	0.00000000e+00	-1.06450000e-09	-0.00000000e+00	1
7.14578462e-01	2023-06-20T12:41:48.606624	-1.00000000e-01	-8.43050000e-05	1.18616927e+03	0.00000000e+00	2.95520000e-10	0.00000000e+00	2
1.20783221e+00	2023-06-20T12:41:49.092100	-1.00000000e-01	-8.42770000e-05	1.18656336e+03	0.00000000e+00	-2.50900000e-10	-0.00000000e+00	3
1.56693662e+00	2023-06-20T12:41:49.459609	-1.00000000e-01	-8.42980000e-05	1.18626776e+03	0.00000000e+00	1.54750000e-10	0.00000000e+00	4
1.95882256e+00	2023-06-20T12:41:49.851667	-1.00000000e-01	-8.42840000e-05	1.18646481e+03	0.00000000e+00	-3.08200000e-11	-0.00000000e+00	5
2.31747897e+00	2023-06-20T12:41:50.209572	-1.00000000e-01	-8.42480000e-05	1.18697180e+03	0.00000000e+00	-1.11650000e-10	-0.00000000e+00	6
2.69745436e+00	2023-06-20T12:41:50.589565	-1.00000000e-01	-8.43120000e-05	1.18607078e+03	0.00000000e+00	2.12780000e-10	0.00000000e+00	7
3.07932103e+00	2023-06-20T12:41:50.969567	-1.00000000e-01	-8.42620000e-05	1.18677458e+03	0.00000000e+00	-2.82720000e-10	-0.00000000e+00	8
3.42777272e+00	2023-06-20T12:41:51.319573	-1.00000000e-01	-8.42910000e-05	1.18636628e+03	0.00000000e+00	2.93690000e-10	0.00000000e+00	9
3.80644021e+00	2023-06-20T12:41:51.689582	-1.00000000e-01	-8.42780000e-05	1.18654928e+03	0.00000000e+00	-2.40750000e-10	-0.00000000e+00	10
4.17626667e+00	2023-06-20T12:41:52.059586	-1.00000000e-01	-8.42840000e-05	1.18646481e+03	0.00000000e+00	1.46340000e-10	0.00000000e+00	11
4.54766810e+00	2023-06-20T12:41:52.439583	-1.00000000e-01	-8.42840000e-05	1.18646481e+03	0.00000000e+00	-2.00600000e-11	-0.00000000e+00	12
4.92481067e+00	2023-06-20T12:41:52.809589	-1.00000000e-01	-8.43190000e-05	1.18597232e+03	0.00000000e+00	-1.22280000e-10	-0.00000000e+00	13
5.28328821e+00	2023-06-20T12:41:53.169561	-1.00000000e-01	-8.42620000e-05	1.18677458e+03	0.00000000e+00	2.16030000e-10	0.00000000e+00	14
5.65734892e+00	2023-06-20T12:41:53.549562	-1.00000000e-01	-8.42640000e-05	1.18674642e+03	0.00000000e+00	-2.96130000e-10	-0.00000000e+00	15
6.02520574e+00	2023-06-20T12:41:53.909729	-1.00000000e-01	-8.42840000e-05	1.18646481e+03	0.00000000e+00	3.28880000e-10	0.00000000e+00	16
6.40742564e+00	2023-06-20T12:41:54.299566	-1.00000000e-01	-8.42770000e-05	1.18656336e+03	0.00000000e+00	-2.44300000e-10	-0.00000000e+00	17
