Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.09590584e-01	2023-06-21T10:24:16.086410	-1.00000000e-01	1.27200000e-10	-7.86163522e+08	0.00000000e+00	-1.35080000e-09	-0.00000000e+00	1
9.72876252e-01	2023-06-21T10:24:16.648791	-1.00000000e-01	-9.00400000e-11	1.11061750e+09	0.00000000e+00	2.67010000e-10	0.00000000e+00	2
1.31085889e+00	2023-06-21T10:24:16.983178	-1.00000000e-01	5.12200000e-11	-1.95236236e+09	0.00000000e+00	-1.80710000e-10	-0.00000000e+00	3
1.69707097e+00	2023-06-21T10:24:17.373013	-1.00000000e-01	5.23000000e-12	-1.91204589e+10	0.00000000e+00	7.78200000e-11	0.00000000e+00	4
2.05738802e+00	2023-06-21T10:24:17.733131	-1.00000000e-01	-7.00500000e-11	1.42755175e+09	0.00000000e+00	4.68600000e-11	0.00000000e+00	5
2.42886242e+00	2023-06-21T10:24:18.103013	-1.00000000e-01	9.89500000e-11	-1.01061142e+09	0.00000000e+00	-1.63290000e-10	-0.00000000e+00	6
2.80965705e+00	2023-06-21T10:24:18.483255	-1.00000000e-01	-1.30550000e-10	7.65990042e+08	0.00000000e+00	2.42950000e-10	0.00000000e+00	7
3.17747524e+00	2023-06-21T10:24:18.853463	-1.00000000e-01	1.16170000e-10	-8.60807437e+08	0.00000000e+00	-2.83660000e-10	-0.00000000e+00	8
3.54747230e+00	2023-06-21T10:24:19.223430	-1.00000000e-01	-9.43700000e-11	1.05965879e+09	0.00000000e+00	2.77650000e-10	0.00000000e+00	9
3.92542959e+00	2023-06-21T10:24:19.593462	-1.00000000e-01	6.47000000e-11	-1.54559505e+09	0.00000000e+00	-1.98560000e-10	-0.00000000e+00	10
4.29212942e+00	2023-06-21T10:24:19.963464	-1.00000000e-01	1.68000000e-12	-5.95238095e+10	0.00000000e+00	1.02010000e-10	0.00000000e+00	11
4.65738719e+00	2023-06-21T10:24:20.333456	-1.00000000e-01	-2.96000000e-11	3.37837838e+09	0.00000000e+00	2.83000000e-11	0.00000000e+00	12
5.03752172e+00	2023-06-21T10:24:20.713433	-1.00000000e-01	1.06310000e-10	-9.40645283e+08	0.00000000e+00	-1.50880000e-10	-0.00000000e+00	13
5.40057067e+00	2023-06-21T10:24:21.073683	-1.00000000e-01	-1.27650000e-10	7.83392088e+08	0.00000000e+00	2.32310000e-10	0.00000000e+00	14
5.78630889e+00	2023-06-21T10:24:21.453696	-1.00000000e-01	1.43920000e-10	-6.94830461e+08	0.00000000e+00	-2.81570000e-10	-0.00000000e+00	15
6.15041221e+00	2023-06-21T10:24:21.823691	-1.00000000e-01	-1.09390000e-10	9.14160344e+08	0.00000000e+00	2.81570000e-10	0.00000000e+00	16
6.51756496e+00	2023-06-21T10:24:22.193688	-1.00000000e-01	5.85100000e-11	-1.70910955e+09	0.00000000e+00	-2.10080000e-10	-0.00000000e+00	17
