Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.13941362e-01	2023-06-21T15:45:11.096522	-1.00000000e-01	-3.04490000e-08	3.28418010e+06	1.00000000e+00	-3.51220000e-10	-2.84721827e+09	1
9.84098019e-01	2023-06-21T15:45:11.659800	-1.00000000e-01	1.89610000e-08	-5.27398344e+06	1.00000000e+00	3.51240000e-10	2.84705614e+09	2
1.35731150e+00	2023-06-21T15:45:12.039685	-1.00000000e-01	-1.07490000e-08	9.30319099e+06	1.00000000e+00	-2.12360000e-10	-4.70898474e+09	3
1.73390920e+00	2023-06-21T15:45:12.409665	-1.00000000e-01	2.00440000e-08	-4.98902415e+06	1.00000000e+00	1.31910000e-10	7.58092639e+09	4
2.10277272e+00	2023-06-21T15:45:12.779647	-1.00000000e-01	-7.52700000e-09	1.32855055e+07	1.00000000e+00	7.88700000e-11	1.26790922e+10	5
2.47497862e+00	2023-06-21T15:45:13.149679	-1.00000000e-01	1.60470000e-09	-6.23169440e+07	1.00000000e+00	-1.79320000e-10	-5.57662280e+09	6
2.83764685e+00	2023-06-21T15:45:13.520076	-1.00000000e-01	4.58850000e-09	-2.17936145e+07	1.00000000e+00	2.79890000e-10	3.57283218e+09	7
3.22766324e+00	2023-06-21T15:45:13.910131	-1.00000000e-01	1.18510000e-08	-8.43810649e+06	1.00000000e+00	-3.68330000e-10	-2.71495670e+09	8
3.58773167e+00	2023-06-21T15:45:14.270162	-1.00000000e-01	9.37600000e-09	-1.06655290e+07	1.00000000e+00	2.83640000e-10	3.52559583e+09	9
3.96078269e+00	2023-06-21T15:45:14.640160	-1.00000000e-01	1.12230000e-08	-8.91027355e+06	1.00000000e+00	-2.12170000e-10	-4.71320168e+09	10
4.33209791e+00	2023-06-21T15:45:15.010141	-1.00000000e-01	1.04210000e-08	-9.59600806e+06	1.00000000e+00	4.14600000e-11	2.41196334e+10	11
4.71793296e+00	2023-06-21T15:45:15.400350	-1.00000000e-01	7.28290000e-09	-1.37307941e+07	1.00000000e+00	9.47600000e-11	1.05529759e+10	12
5.07685144e+00	2023-06-21T15:45:15.750354	-1.00000000e-01	-7.95690000e-09	1.25677085e+07	1.00000000e+00	-2.32870000e-10	-4.29424142e+09	13
5.43826798e+00	2023-06-21T15:45:16.120400	-1.00000000e-01	2.21200000e-08	-4.52079566e+06	1.00000000e+00	3.23140000e-10	3.09463390e+09	14
5.81815224e+00	2023-06-21T15:45:16.500596	-1.00000000e-01	-2.59650000e-09	3.85133834e+07	1.00000000e+00	-3.47690000e-10	-2.87612528e+09	15
6.19337804e+00	2023-06-21T15:45:16.870994	-1.00000000e-01	-1.01150000e-08	9.88630746e+06	1.00000000e+00	3.01550000e-10	3.31619964e+09	16
6.55849017e+00	2023-06-21T15:45:17.240993	-1.00000000e-01	-3.64030000e-09	2.74702634e+07	1.00000000e+00	-1.83310000e-10	-5.45523976e+09	17
