Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.28154140e-01	2023-06-29T16:55:50.735062	-1.00000000e-01	-2.53220000e-09	3.94913514e+07	1.00000000e+00	3.03100000e-10	3.29924117e+09	1
1.11843021e+00	2023-06-29T16:55:51.425431	-1.00000000e-01	4.60960000e-09	-2.16938563e+07	1.00000000e+00	-1.31900000e-10	-7.58150114e+09	2
1.49460698e+00	2023-06-29T16:55:51.799171	-1.00000000e-01	-2.90160000e-09	3.44637441e+07	1.00000000e+00	-7.86000000e-11	-1.27226463e+10	3
1.85830992e+00	2023-06-29T16:55:52.159135	-1.00000000e-01	4.05730000e-09	-2.46469327e+07	1.00000000e+00	2.65130000e-10	3.77173462e+09	4
2.23584915e+00	2023-06-29T16:55:52.539164	-1.00000000e-01	-6.28410000e-10	1.59131777e+08	1.00000000e+00	-3.77080000e-10	-2.65195714e+09	5
2.61228150e+00	2023-06-29T16:55:52.919166	-1.00000000e-01	-1.69380000e-10	5.90388476e+08	1.00000000e+00	3.98040000e-10	2.51231032e+09	6
2.97635244e+00	2023-06-29T16:55:53.279164	-1.00000000e-01	-1.67960000e-10	5.95379852e+08	1.00000000e+00	-3.04050000e-10	-3.28893274e+09	7
3.35283239e+00	2023-06-29T16:55:53.659358	-1.00000000e-01	-6.82480000e-10	1.46524440e+08	1.00000000e+00	1.43480000e-10	6.96961249e+09	8
3.72182803e+00	2023-06-29T16:55:54.019395	-1.00000000e-01	-3.64910000e-09	2.74040174e+07	1.00000000e+00	6.76000000e-11	1.47928994e+10	9
4.08906286e+00	2023-06-29T16:55:54.389748	-1.00000000e-01	-3.32020000e-09	3.01186676e+07	1.00000000e+00	-2.53600000e-10	-3.94321767e+09	10
4.47516208e+00	2023-06-29T16:55:54.779600	-1.00000000e-01	-1.93490000e-09	5.16822575e+07	1.00000000e+00	3.73040000e-10	2.68067768e+09	11
4.83296800e+00	2023-06-29T16:55:55.140028	-1.00000000e-01	-1.36050000e-09	7.35023888e+07	1.00000000e+00	-3.99680000e-10	-2.50200160e+09	12
5.20341226e+00	2023-06-29T16:55:55.510025	-1.00000000e-01	4.54530000e-09	-2.20007480e+07	1.00000000e+00	3.14240000e-10	3.18228106e+09	13
5.57491622e+00	2023-06-29T16:55:55.880149	-1.00000000e-01	-5.15440000e-10	1.94009002e+08	1.00000000e+00	-1.65570000e-10	-6.03974150e+09	14
5.95340190e+00	2023-06-29T16:55:56.259997	-1.00000000e-01	1.91830000e-10	-5.21294897e+08	1.00000000e+00	-4.44300000e-11	-2.25073149e+10	15
6.33337805e+00	2023-06-29T16:55:56.639999	-1.00000000e-01	1.91500000e-11	-5.22193211e+09	1.00000000e+00	2.31330000e-10	4.32282886e+09	16
6.69366807e+00	2023-06-29T16:55:57.000236	-1.00000000e-01	-5.73920000e-10	1.74240312e+08	1.00000000e+00	-3.61260000e-10	-2.76808946e+09	17
