Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.19077228e-01	2023-06-29T15:45:47.404911	-1.00000000e-01	-9.90700000e-08	1.00938730e+06	1.00000000e+00	-4.14010000e-10	-2.41540059e+09	1
1.01823218e+00	2023-06-29T15:45:48.003499	-1.00000000e-01	-9.77600000e-08	1.02291326e+06	1.00000000e+00	4.04450000e-10	2.47249351e+09	2
1.36214889e+00	2023-06-29T15:45:48.347475	-1.00000000e-01	-9.82200000e-08	1.01812258e+06	1.00000000e+00	-2.94000000e-10	-3.40136054e+09	3
1.74229898e+00	2023-06-29T15:45:48.727469	-1.00000000e-01	-9.64000000e-08	1.03734440e+06	1.00000000e+00	1.56020000e-10	6.40943469e+09	4
2.10233710e+00	2023-06-29T15:45:49.087645	-1.00000000e-01	-1.05990000e-07	9.43485234e+05	1.00000000e+00	3.00000000e-11	3.33333333e+10	5
2.47494342e+00	2023-06-29T15:45:49.457679	-1.00000000e-01	-1.03120000e-07	9.69743988e+05	1.00000000e+00	-2.07290000e-10	-4.82415939e+09	6
2.87231770e+00	2023-06-29T15:45:49.857648	-1.00000000e-01	-9.30000000e-08	1.07526882e+06	1.00000000e+00	3.31220000e-10	3.01914136e+09	7
3.24231273e+00	2023-06-29T15:45:50.227650	-1.00000000e-01	-9.90700000e-08	1.00938730e+06	1.00000000e+00	-4.06790000e-10	-2.45827085e+09	8
3.59229055e+00	2023-06-29T15:45:50.577653	-1.00000000e-01	-1.08280000e-07	9.23531585e+05	1.00000000e+00	4.10840000e-10	2.43403758e+09	9
3.97097357e+00	2023-06-29T15:45:50.947655	-1.00000000e-01	-1.11020000e-07	9.00738606e+05	1.00000000e+00	-3.15460000e-10	-3.16997401e+09	10
4.33232780e+00	2023-06-29T15:45:51.317657	-1.00000000e-01	-1.09320000e-07	9.14745701e+05	1.00000000e+00	1.82100000e-10	5.49148819e+09	11
4.70231544e+00	2023-06-29T15:45:51.687658	-1.00000000e-01	-1.06780000e-07	9.36504963e+05	1.00000000e+00	4.88000000e-12	2.04918033e+11	12
5.07779724e+00	2023-06-29T15:45:52.057831	-1.00000000e-01	-1.07560000e-07	9.29713648e+05	1.00000000e+00	-1.92160000e-10	-5.20399667e+09	13
5.45227514e+00	2023-06-29T15:45:52.437662	-1.00000000e-01	-1.02470000e-07	9.75895384e+05	1.00000000e+00	3.20270000e-10	3.12236550e+09	14
5.82230955e+00	2023-06-29T15:45:52.807665	-1.00000000e-01	-1.03520000e-07	9.65996909e+05	1.00000000e+00	-4.03820000e-10	-2.47635085e+09	15
6.19828611e+00	2023-06-29T15:45:53.177700	-1.00000000e-01	-9.75700000e-08	1.02490520e+06	1.00000000e+00	4.13000000e-10	2.42130751e+09	16
6.55799398e+00	2023-06-29T15:45:53.537834	-1.00000000e-01	-9.28700000e-08	1.07677399e+06	1.00000000e+00	-3.24510000e-10	-3.08156914e+09	17
