Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.17421845e-01	2023-06-29T15:10:13.626452	-1.00000000e-01	-1.23750000e-08	8.08080808e+06	1.00000000e+00	1.21120000e-09	8.25627477e+08	1
7.32670688e-01	2023-06-29T15:10:13.941702	-1.00000000e-01	-9.90000000e-09	1.01010101e+07	1.00000000e+00	-3.59340000e-10	-2.78287972e+09	2
1.19393289e+00	2023-06-29T15:10:14.397094	-1.00000000e-01	-6.42370000e-10	1.55673521e+08	1.00000000e+00	3.07630000e-10	3.25065826e+09	3
1.57114843e+00	2023-06-29T15:10:14.776955	-1.00000000e-01	8.83540000e-10	-1.13181067e+08	1.00000000e+00	-1.88250000e-10	-5.31208499e+09	4
1.93867125e+00	2023-06-29T15:10:15.146958	-1.00000000e-01	1.28690000e-08	-7.77061155e+06	1.00000000e+00	3.02600000e-11	3.30469266e+10	5
2.31009603e+00	2023-06-29T15:10:15.516963	-1.00000000e-01	-4.93950000e-09	2.02449641e+07	1.00000000e+00	1.45330000e-10	6.88089176e+09	6
2.69638601e+00	2023-06-29T15:10:15.904924	-1.00000000e-01	-2.09580000e-09	4.77144766e+07	1.00000000e+00	-2.67560000e-10	-3.73747944e+09	7
3.05566803e+00	2023-06-29T15:10:16.264512	-1.00000000e-01	-3.87200000e-09	2.58264463e+07	1.00000000e+00	3.46940000e-10	2.88234277e+09	8
3.43486962e+00	2023-06-29T15:10:16.642175	-1.00000000e-01	-8.90510000e-09	1.12295202e+07	1.00000000e+00	-3.56050000e-10	-2.80859430e+09	9
3.81552679e+00	2023-06-29T15:10:17.022174	-1.00000000e-01	-1.56460000e-08	6.39140995e+06	1.00000000e+00	2.72440000e-10	3.67053296e+09	10
4.16938112e+00	2023-06-29T15:10:17.372579	-1.00000000e-01	-4.00490000e-09	2.49694125e+07	1.00000000e+00	-1.48180000e-10	-6.74854906e+09	11
4.54081985e+00	2023-06-29T15:10:17.742588	-1.00000000e-01	3.69100000e-09	-2.70929287e+07	1.00000000e+00	-2.40500000e-11	-4.15800416e+10	12
4.91759682e+00	2023-06-29T15:10:18.122654	-1.00000000e-01	2.04770000e-09	-4.88352786e+07	1.00000000e+00	1.87430000e-10	5.33532519e+09	13
5.28470980e+00	2023-06-29T15:10:18.492660	-1.00000000e-01	5.78960000e-09	-1.72723504e+07	1.00000000e+00	-2.99520000e-10	-3.33867521e+09	14
5.66411487e+00	2023-06-29T15:10:18.872626	-1.00000000e-01	-8.32080000e-10	1.20180752e+08	1.00000000e+00	3.56690000e-10	2.80355491e+09	15
6.02826950e+00	2023-06-29T15:10:19.232861	-1.00000000e-01	4.37260000e-10	-2.28696885e+08	1.00000000e+00	-3.44660000e-10	-2.90141009e+09	16
6.40435314e+00	2023-06-29T15:10:19.612865	-1.00000000e-01	-4.92450000e-10	2.03066301e+08	1.00000000e+00	2.35470000e-10	4.24682550e+09	17
