Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.25402553e-01	2023-06-29T16:30:42.466351	-1.00000000e-01	-9.34900000e-11	1.06963312e+09	1.00000000e+00	-1.11200000e-09	-8.99280576e+08	1
1.08411395e+00	2023-06-29T16:30:43.125209	-1.00000000e-01	1.26510000e-10	-7.90451348e+08	1.00000000e+00	2.74430000e-10	3.64391648e+09	2
1.46001790e+00	2023-06-29T16:30:43.501190	-1.00000000e-01	-1.30630000e-10	7.65520937e+08	1.00000000e+00	-1.90500000e-10	-5.24934383e+09	3
1.82413191e+00	2023-06-29T16:30:43.865711	-1.00000000e-01	9.55600000e-11	-1.04646296e+09	1.00000000e+00	6.93000000e-11	1.44300144e+10	4
2.19869965e+00	2023-06-29T16:30:44.235977	-1.00000000e-01	-4.03000000e-11	2.48138958e+09	1.00000000e+00	7.34200000e-11	1.36202670e+10	5
2.57246658e+00	2023-06-29T16:30:44.613588	-1.00000000e-01	-2.79200000e-11	3.58166189e+09	1.00000000e+00	-1.94110000e-10	-5.15171810e+09	6
2.96366487e+00	2023-06-29T16:30:45.004527	-1.00000000e-01	8.71800000e-11	-1.14705208e+09	1.00000000e+00	2.65000000e-10	3.77358491e+09	7
3.31395613e+00	2023-06-29T16:30:45.354529	-1.00000000e-01	-1.24000000e-10	8.06451613e+08	1.00000000e+00	-2.76010000e-10	-3.62305714e+09	8
3.67982973e+00	2023-06-29T16:30:45.714698	-1.00000000e-01	1.31410000e-10	-7.60977095e+08	1.00000000e+00	2.04110000e-10	4.89931899e+09	9
4.05621819e+00	2023-06-29T16:30:46.094567	-1.00000000e-01	-1.03680000e-10	9.64506173e+08	1.00000000e+00	-9.20900000e-11	-1.08589423e+10	10
4.42633794e+00	2023-06-29T16:30:46.464568	-1.00000000e-01	5.39700000e-11	-1.85288123e+09	1.00000000e+00	-5.09500000e-11	-1.96270854e+10	11
4.79755676e+00	2023-06-29T16:30:46.834538	-1.00000000e-01	1.36100000e-11	-7.34753857e+09	1.00000000e+00	1.76390000e-10	5.66925563e+09	12
5.16222134e+00	2023-06-29T16:30:47.203527	-1.00000000e-01	-7.59600000e-11	1.31648236e+09	1.00000000e+00	-2.58030000e-10	-3.87551835e+09	13
5.59507578e+00	2023-06-29T16:30:47.636162	-1.00000000e-01	1.18130000e-10	-8.46525015e+08	1.00000000e+00	2.77850000e-10	3.59906424e+09	14
5.91223272e+00	2023-06-29T16:30:47.953129	-1.00000000e-01	-1.31990000e-10	7.57633154e+08	1.00000000e+00	-2.23790000e-10	-4.46847491e+09	15
6.28513647e+00	2023-06-29T16:30:48.323367	-1.00000000e-01	1.14840000e-10	-8.70776733e+08	1.00000000e+00	1.24050000e-10	8.06126562e+09	16
6.65468966e+00	2023-06-29T16:30:48.693508	-1.00000000e-01	-6.81500000e-11	1.46735143e+09	1.00000000e+00	1.69600000e-11	5.89622642e+10	17
