Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Gate Voltage	Gate Current	Gate Resistance	Loop_TR Index
s		V	A	V/A	V	A	V/A	

4.30644393e-01	2023-06-29T14:33:10.067662	-1.00000000e-01	-6.53330000e-07	1.53062005e+05	1.00000000e+00	3.97910000e-07	2.51313111e+06	1
5.48284864e-01	2023-06-29T14:33:10.185193	-1.00000000e-01	-6.15710000e-07	1.62414124e+05	1.00000000e+00	3.66850000e-07	2.72590977e+06	2
6.02964181e-01	2023-06-29T14:33:10.239717	-1.00000000e-01	-6.06370000e-07	1.64915810e+05	1.00000000e+00	3.56080000e-07	2.80835767e+06	3
6.84425824e-01	2023-06-29T14:33:10.320920	-1.00000000e-01	-6.13100000e-07	1.63105529e+05	1.00000000e+00	3.56270000e-07	2.80685997e+06	4
8.01360655e-01	2023-06-29T14:33:10.438255	-1.00000000e-01	-6.13660000e-07	1.62956686e+05	1.00000000e+00	3.39050000e-07	2.94941749e+06	5
8.56037511e-01	2023-06-29T14:33:10.492498	-1.00000000e-01	-6.21370000e-07	1.60934709e+05	1.00000000e+00	3.63660000e-07	2.74982126e+06	6
9.06768935e-01	2023-06-29T14:33:10.535729	-1.00000000e-01	-6.16370000e-07	1.62240213e+05	1.00000000e+00	3.40770000e-07	2.93453062e+06	7
9.69543832e-01	2023-06-29T14:33:10.605729	-1.00000000e-01	-6.13300000e-07	1.63052340e+05	1.00000000e+00	3.51170000e-07	2.84762366e+06	8
1.03138581e+00	2023-06-29T14:33:10.665734	-1.00000000e-01	-6.25510000e-07	1.59869546e+05	1.00000000e+00	3.61940000e-07	2.76288888e+06	9
1.09927824e+00	2023-06-29T14:33:10.735770	-1.00000000e-01	-6.22370000e-07	1.60676125e+05	1.00000000e+00	3.38290000e-07	2.95604363e+06	10
1.16172534e+00	2023-06-29T14:33:10.795766	-1.00000000e-01	-6.16950000e-07	1.62087689e+05	1.00000000e+00	3.43900000e-07	2.90782204e+06	11
1.25058595e+00	2023-06-29T14:33:10.885767	-1.00000000e-01	-6.15390000e-07	1.62498578e+05	1.00000000e+00	3.49510000e-07	2.86114846e+06	12
1.34619404e+00	2023-06-29T14:33:10.975781	-1.00000000e-01	-6.14970000e-07	1.62609558e+05	1.00000000e+00	3.53330000e-07	2.83021538e+06	13
1.41924297e+00	2023-06-29T14:33:11.055765	-1.00000000e-01	-6.26980000e-07	1.59494721e+05	1.00000000e+00	3.58630000e-07	2.78838915e+06	14
1.47182793e+00	2023-06-29T14:33:11.105772	-1.00000000e-01	-6.18560000e-07	1.61665804e+05	1.00000000e+00	3.31400000e-07	3.01750151e+06	15
1.54926702e+00	2023-06-29T14:33:11.185773	-1.00000000e-01	-6.16010000e-07	1.62335027e+05	1.00000000e+00	3.40390000e-07	2.93780663e+06	16
1.60109629e+00	2023-06-29T14:33:11.235733	-1.00000000e-01	-6.28420000e-07	1.59129245e+05	1.00000000e+00	3.55180000e-07	2.81547384e+06	17
