Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

4.12608508e-01	2023-07-17T12:56:29.732797	-1.00000000e-01	-4.55120000e-05	2.19722271e+03	0.00000000e+00	5.10540000e-08	0.00000000e+00	1
6.04568539e-01	2023-07-17T12:56:29.924545	-1.00000000e-01	-7.04830000e-05	1.41878183e+03	0.00000000e+00	6.67330000e-08	0.00000000e+00	2
7.00559221e-01	2023-07-17T12:56:30.020805	-1.00000000e-01	-8.89100000e-05	1.12473288e+03	0.00000000e+00	1.35560000e-07	0.00000000e+00	3
8.41100112e-01	2023-07-17T12:56:30.161147	-1.00000000e-01	-9.96950000e-05	1.00305933e+03	0.00000000e+00	1.72410000e-07	0.00000000e+00	4
9.46118498e-01	2023-07-17T12:56:30.260644	-1.00000000e-01	-1.10060000e-04	9.08595312e+02	0.00000000e+00	1.74840000e-07	0.00000000e+00	5
1.02360454e+00	2023-07-17T12:56:30.340594	-1.00000000e-01	-1.14640000e-04	8.72295883e+02	0.00000000e+00	2.02900000e-07	0.00000000e+00	6
1.10273449e+00	2023-07-17T12:56:30.420631	-1.00000000e-01	-1.17470000e-04	8.51281178e+02	0.00000000e+00	1.95500000e-07	0.00000000e+00	7
1.18089048e+00	2023-07-17T12:56:30.500595	-1.00000000e-01	-1.19990000e-04	8.33402784e+02	0.00000000e+00	1.35950000e-07	0.00000000e+00	8
1.24221732e+00	2023-07-17T12:56:30.560607	-1.00000000e-01	-1.21370000e-04	8.23926835e+02	0.00000000e+00	1.92820000e-07	0.00000000e+00	9
1.30408243e+00	2023-07-17T12:56:30.620621	-1.00000000e-01	-1.22810000e-04	8.14265939e+02	0.00000000e+00	2.39560000e-07	0.00000000e+00	10
1.35334485e+00	2023-07-17T12:56:30.670618	-1.00000000e-01	-1.23570000e-04	8.09257910e+02	0.00000000e+00	1.45320000e-07	0.00000000e+00	11
1.40995209e+00	2023-07-17T12:56:30.730628	-1.00000000e-01	-1.24200000e-04	8.05152979e+02	0.00000000e+00	2.47400000e-07	0.00000000e+00	12
1.47081945e+00	2023-07-17T12:56:30.790619	-1.00000000e-01	-1.24890000e-04	8.00704620e+02	0.00000000e+00	1.38750000e-07	0.00000000e+00	13
1.53395184e+00	2023-07-17T12:56:30.850638	-1.00000000e-01	-1.25580000e-04	7.96305144e+02	0.00000000e+00	1.64960000e-07	0.00000000e+00	14
1.60842865e+00	2023-07-17T12:56:30.920630	-1.00000000e-01	-1.26400000e-04	7.91139241e+02	0.00000000e+00	1.94100000e-07	0.00000000e+00	15
1.67806114e+00	2023-07-17T12:56:30.990631	-1.00000000e-01	-1.26840000e-04	7.88394828e+02	0.00000000e+00	2.49700000e-07	0.00000000e+00	16
1.74197014e+00	2023-07-17T12:56:31.060601	-1.00000000e-01	-1.27340000e-04	7.85299199e+02	0.00000000e+00	1.43730000e-07	0.00000000e+00	17
