Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

5.46016858e-01	2023-07-20T11:48:03.185969	-1.00000000e-01	-3.33750000e-09	2.99625468e+07	0.00000000e+00	1.69700000e-11	0.00000000e+00	1
1.12186389e+00	2023-07-20T11:48:03.762510	-1.00000000e-01	-1.17110000e-08	8.53898045e+06	0.00000000e+00	-2.45000000e-11	-0.00000000e+00	2
1.50168780e+00	2023-07-20T11:48:04.141600	-1.00000000e-01	1.88210000e-08	-5.31321396e+06	0.00000000e+00	2.77300000e-11	0.00000000e+00	3
1.88569878e+00	2023-07-20T11:48:04.525635	-1.00000000e-01	9.95900000e-09	-1.00411688e+07	0.00000000e+00	-2.46900000e-11	-0.00000000e+00	4
2.23329455e+00	2023-07-20T11:48:04.873072	-1.00000000e-01	-3.96700000e-08	2.52079657e+06	0.00000000e+00	1.71600000e-11	0.00000000e+00	5
2.61636604e+00	2023-07-20T11:48:05.253078	-1.00000000e-01	-4.94270000e-08	2.02318571e+06	0.00000000e+00	-9.56000000e-12	-0.00000000e+00	6
2.97331977e+00	2023-07-20T11:48:05.613115	-1.00000000e-01	3.33390000e-08	-2.99949009e+06	0.00000000e+00	-2.78000000e-12	-0.00000000e+00	7
3.35037034e+00	2023-07-20T11:48:05.983236	-1.00000000e-01	-5.11840000e-08	1.95373554e+06	0.00000000e+00	1.22800000e-11	0.00000000e+00	8
3.71628325e+00	2023-07-20T11:48:06.353115	-1.00000000e-01	1.61890000e-08	-6.17703379e+06	0.00000000e+00	-2.22200000e-11	-0.00000000e+00	9
4.08859782e+00	2023-07-20T11:48:06.723256	-1.00000000e-01	-4.77290000e-08	2.09516227e+06	0.00000000e+00	2.80500000e-11	0.00000000e+00	10
4.46612223e+00	2023-07-20T11:48:07.103103	-1.00000000e-01	-2.46680000e-08	4.05383493e+06	0.00000000e+00	-2.72200000e-11	-0.00000000e+00	11
4.83271576e+00	2023-07-20T11:48:07.473141	-1.00000000e-01	4.90530000e-08	-2.03861130e+06	0.00000000e+00	1.82300000e-11	0.00000000e+00	12
5.20293678e+00	2023-07-20T11:48:07.843143	-1.00000000e-01	-4.41730000e-09	2.26382632e+07	0.00000000e+00	-1.24100000e-11	-0.00000000e+00	13
5.57335391e+00	2023-07-20T11:48:08.213278	-1.00000000e-01	3.97290000e-08	-2.51705303e+06	0.00000000e+00	1.27000000e-12	0.00000000e+00	14
5.95142191e+00	2023-07-20T11:48:08.583288	-1.00000000e-01	3.46460000e-08	-2.88633608e+06	0.00000000e+00	1.01900000e-11	0.00000000e+00	15
6.32334632e+00	2023-07-20T11:48:08.963283	-1.00000000e-01	-5.15230000e-08	1.94088077e+06	0.00000000e+00	-2.03200000e-11	-0.00000000e+00	16
6.69124282e+00	2023-07-20T11:48:09.323435	-1.00000000e-01	1.89980000e-08	-5.26371197e+06	0.00000000e+00	2.55800000e-11	0.00000000e+00	17
