Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_PositiveGate Voltage	Fixed_PositiveGate Current	Fixed_PositiveGate Resistance	Loop2 Index
s		V	A	V/A	V	A	V/A	

4.20033575e-01	2023-07-20T12:23:15.422416	-1.00000000e-01	-9.41700000e-09	1.06190931e+07	1.00000000e+00	2.55550000e-08	3.91312855e+07	1
5.93520897e-01	2023-07-20T12:23:15.595681	-1.00000000e-01	-1.96620000e-08	5.08595260e+06	1.00000000e+00	1.76460000e-08	5.66700669e+07	2
6.84729587e-01	2023-07-20T12:23:15.686925	-1.00000000e-01	1.42890000e-09	-6.99839037e+07	1.00000000e+00	1.30910000e-08	7.63883584e+07	3
8.11881282e-01	2023-07-20T12:23:15.814242	-1.00000000e-01	-7.19450000e-09	1.38995066e+07	1.00000000e+00	1.20750000e-08	8.28157350e+07	4
9.48664163e-01	2023-07-20T12:23:15.951642	-1.00000000e-01	-6.22170000e-09	1.60727775e+07	1.00000000e+00	7.46960000e-09	1.33875977e+08	5
1.04245829e+00	2023-07-20T12:23:16.044887	-1.00000000e-01	3.36190000e-09	-2.97450846e+07	1.00000000e+00	7.52760000e-09	1.32844466e+08	6
1.10506839e+00	2023-07-20T12:23:16.106215	-1.00000000e-01	-4.59730000e-09	2.17518979e+07	1.00000000e+00	5.87230000e-09	1.70291027e+08	7
1.16629634e+00	2023-07-20T12:23:16.166191	-1.00000000e-01	-5.70690000e-09	1.75226480e+07	1.00000000e+00	5.25320000e-09	1.90360161e+08	8
1.22706726e+00	2023-07-20T12:23:16.226187	-1.00000000e-01	3.84010000e-09	-2.60409885e+07	1.00000000e+00	5.73820000e-09	1.74270677e+08	9
1.30506610e+00	2023-07-20T12:23:16.306207	-1.00000000e-01	-3.04250000e-09	3.28677075e+07	1.00000000e+00	4.66590000e-09	2.14320924e+08	10
1.41809716e+00	2023-07-20T12:23:16.416190	-1.00000000e-01	-5.66260000e-09	1.76597323e+07	1.00000000e+00	4.07830000e-09	2.45200206e+08	11
1.47400121e+00	2023-07-20T12:23:16.476158	-1.00000000e-01	3.60670000e-09	-2.77261763e+07	1.00000000e+00	4.67430000e-09	2.13935776e+08	12
1.56401564e+00	2023-07-20T12:23:16.566191	-1.00000000e-01	-2.00430000e-09	4.98927306e+07	1.00000000e+00	4.02000000e-09	2.48756219e+08	13
1.64583438e+00	2023-07-20T12:23:16.646181	-1.00000000e-01	-5.78340000e-09	1.72908670e+07	1.00000000e+00	3.30450000e-09	3.02617643e+08	14
1.78361828e+00	2023-07-20T12:23:16.786196	-1.00000000e-01	3.07510000e-09	-3.25192677e+07	1.00000000e+00	3.99900000e-09	2.50062516e+08	15
1.86529548e+00	2023-07-20T12:23:16.866196	-1.00000000e-01	-1.06190000e-09	9.41708259e+07	1.00000000e+00	3.68830000e-09	2.71127620e+08	16
1.93630231e+00	2023-07-20T12:23:16.936195	-1.00000000e-01	-5.87950000e-09	1.70082490e+07	1.00000000e+00	2.75620000e-09	3.62818373e+08	17
