Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

4.09757054e-01	2023-07-20T12:21:09.173070	-1.00000000e-01	-5.73780000e-07	1.74282826e+05	0.00000000e+00	-9.00800000e-09	-0.00000000e+00	1
6.27806874e-01	2023-07-20T12:21:09.388896	-1.00000000e-01	-6.40840000e-07	1.56045191e+05	0.00000000e+00	-2.73730000e-09	-0.00000000e+00	2
7.83375412e-01	2023-07-20T12:21:09.538900	-1.00000000e-01	-6.60500000e-07	1.51400454e+05	0.00000000e+00	-1.65780000e-09	-0.00000000e+00	3
8.59443577e-01	2023-07-20T12:21:09.618902	-1.00000000e-01	-6.56100000e-07	1.52415790e+05	0.00000000e+00	-1.36990000e-09	-0.00000000e+00	4
9.48284676e-01	2023-07-20T12:21:09.708890	-1.00000000e-01	-6.55710000e-07	1.52506443e+05	0.00000000e+00	-9.73700000e-10	-0.00000000e+00	5
1.02563448e+00	2023-07-20T12:21:09.788892	-1.00000000e-01	-6.96090000e-07	1.43659584e+05	0.00000000e+00	-4.48880000e-10	-0.00000000e+00	6
1.53013869e+00	2023-07-20T12:21:10.288896	-1.00000000e-01	-6.75000000e-07	1.48148148e+05	0.00000000e+00	-2.60070000e-10	-0.00000000e+00	7
1.89662309e+00	2023-07-20T12:21:10.660444	-1.00000000e-01	-6.68510000e-07	1.49586394e+05	0.00000000e+00	-2.06860000e-10	-0.00000000e+00	8
2.26836945e+00	2023-07-20T12:21:11.031814	-1.00000000e-01	-6.68250000e-07	1.49644594e+05	0.00000000e+00	-1.48610000e-10	-0.00000000e+00	9
2.64034883e+00	2023-07-20T12:21:11.404459	-1.00000000e-01	-6.66880000e-07	1.49952015e+05	0.00000000e+00	-1.29190000e-10	-0.00000000e+00	10
3.02469171e+00	2023-07-20T12:21:11.788041	-1.00000000e-01	-6.66700000e-07	1.49992500e+05	0.00000000e+00	-1.12670000e-10	-0.00000000e+00	11
3.37819067e+00	2023-07-20T12:21:12.142047	-1.00000000e-01	-7.02800000e-07	1.42287991e+05	0.00000000e+00	-8.24100000e-11	-0.00000000e+00	12
3.75658483e+00	2023-07-20T12:21:12.520612	-1.00000000e-01	-6.96940000e-07	1.43484375e+05	0.00000000e+00	-9.41800000e-11	-0.00000000e+00	13
4.13582616e+00	2023-07-20T12:21:12.899076	-1.00000000e-01	-6.90800000e-07	1.44759699e+05	0.00000000e+00	-6.40500000e-11	-0.00000000e+00	14
4.50418339e+00	2023-07-20T12:21:13.259087	-1.00000000e-01	-7.01970000e-07	1.42456230e+05	0.00000000e+00	-7.96300000e-11	-0.00000000e+00	15
4.88601016e+00	2023-07-20T12:21:13.649086	-1.00000000e-01	-7.02430000e-07	1.42362940e+05	0.00000000e+00	-5.68400000e-11	-0.00000000e+00	16
