Time elapsed	Time stamp	Source Voltage	Source Current	Gate Voltage	Gate Current	Drain Voltage	Drain Current	Loop2 Index
s		V	A	V	A	V	A	

1.15503680e+00	23-06-02 16:06:19	6.86204900e-05	4.72950600e-08	1.00017000e+00	1.35502400e-11	-2.99926900e-01	-7.93214700e-08	1
3.53878450e+00	23-06-02 16:06:21	6.87043700e-05	8.31110900e-08	1.00016900e+00	8.07379400e-12	-2.99925900e-01	-8.98402900e-08	2
4.19116020e+00	23-06-02 16:06:22	6.87878600e-05	9.28389300e-08	1.00016900e+00	7.74991800e-12	-2.99926600e-01	-9.90969100e-08	3
4.85020860e+00	23-06-02 16:06:22	6.93734100e-05	1.02409500e-07	1.00016900e+00	7.87189700e-12	-2.99926900e-01	-1.08298900e-07	4
5.50649680e+00	23-06-02 16:06:23	6.96244000e-05	1.11171700e-07	1.00016800e+00	7.77515500e-12	-2.99926800e-01	-1.17071400e-07	5
6.16243670e+00	23-06-02 16:06:24	6.97918000e-05	1.20468100e-07	1.00017000e+00	7.62793900e-12	-2.99928100e-01	-1.28567900e-07	6
6.81946780e+00	23-06-02 16:06:24	7.10464600e-05	1.38822400e-07	1.00016900e+00	7.83824600e-12	-2.99926800e-01	-1.46502800e-07	7
7.47466990e+00	23-06-02 16:06:25	7.09629100e-05	1.49985500e-07	1.00016800e+00	7.81301100e-12	-2.99927900e-01	-1.56535100e-07	8
8.13129520e+00	23-06-02 16:06:26	7.07956200e-05	1.60664900e-07	1.00016900e+00	7.81301000e-12	-2.99927400e-01	-1.68098600e-07	9
8.78736110e+00	23-06-02 16:06:26	7.10464900e-05	1.73591300e-07	1.00016900e+00	8.09482500e-12	-2.99927900e-01	-1.81977100e-07	10
9.44344950e+00	23-06-02 16:06:27	6.97081500e-05	1.86860500e-07	1.00016900e+00	8.01070000e-12	-2.99927800e-01	-1.95116200e-07	11
1.01001722e+01	23-06-02 16:06:27	7.08792600e-05	1.99218500e-07	1.00016800e+00	7.93919500e-12	-2.99928100e-01	-2.07116600e-07	12
1.07560023e+01	23-06-02 16:06:28	7.02937500e-05	2.11283800e-07	1.00016800e+00	7.95602100e-12	-2.99927200e-01	-2.15041600e-07	13
1.14106495e+01	23-06-02 16:06:29	7.04609800e-05	2.18514500e-07	1.00016900e+00	8.06538100e-12	-2.99926800e-01	-2.26487200e-07	14
1.20847686e+01	23-06-02 16:06:29	6.90390900e-05	2.25600800e-07	1.00016800e+00	7.71626900e-12	-2.99927600e-01	-2.28822900e-07	15
1.27427197e+01	23-06-02 16:06:30	7.08792600e-05	2.37107300e-07	1.00016800e+00	7.72047500e-12	-2.99927600e-01	-2.43315000e-07	16
1.33968804e+01	23-06-02 16:06:31	7.05447700e-05	2.45010800e-07	1.00017000e+00	7.68682500e-12	-2.99927800e-01	-2.39442200e-07	17
1.40528120e+01	23-06-02 16:06:31	7.09629700e-05	2.47040000e-07	1.00016900e+00	7.86769100e-12	-2.99927500e-01	-2.59615700e-07	18
1.47100616e+01	23-06-02 16:06:32	7.15485400e-05	2.62414100e-07	1.00016900e+00	7.65738200e-12	-2.99928300e-01	-2.64716600e-07	19
1.53655690e+01	23-06-02 16:06:33	7.10467000e-05	2.66065800e-07	1.00016900e+00	7.70785700e-12	-2.99927900e-01	-2.74452900e-07	20
1.60224621e+01	23-06-02 16:06:33	7.26359700e-05	2.78472800e-07	1.00016900e+00	7.57325800e-12	-2.99926400e-01	-2.87705300e-07	21
1.66787497e+01	23-06-02 16:06:34	7.17158300e-05	2.90416600e-07	1.00016900e+00	7.81301000e-12	-2.99927900e-01	-3.01027700e-07	22
1.73345945e+01	23-06-02 16:06:35	7.09631100e-05	3.04611300e-07	1.00016800e+00	7.93499000e-12	-2.99928300e-01	-3.13492200e-07	23
1.79917898e+01	23-06-02 16:06:35	7.09630600e-05	3.19038100e-07	1.00016800e+00	7.61952700e-12	-2.99927900e-01	-3.27301900e-07	24
1.86466170e+01	23-06-02 16:06:36	7.24688000e-05	3.30675300e-07	1.00016900e+00	7.63635200e-12	-2.99927800e-01	-3.44979000e-07	25
1.93037146e+01	23-06-02 16:06:37	7.30544000e-05	3.46936000e-07	1.00016800e+00	7.76253700e-12	-2.99929000e-01	-2.95336600e-07	26
1.99596880e+01	23-06-02 16:06:37	7.12975200e-05	2.89410300e-07	1.00016900e+00	7.17787800e-12	-2.99928000e-01	-2.97798400e-07	27
2.06151041e+01	23-06-02 16:06:38	7.17995000e-05	2.99387100e-07	1.00016900e+00	7.74571200e-12	-2.99928800e-01	-3.06628900e-07	28
2.12715718e+01	23-06-02 16:06:39	7.22176700e-05	3.11420200e-07	1.00016900e+00	7.80880500e-12	-2.99929100e-01	-3.19726900e-07	29
2.19289353e+01	23-06-02 16:06:39	7.28870500e-05	3.23782700e-07	1.00016900e+00	7.58587700e-12	-2.99928400e-01	-3.34079800e-07	30
2.25841064e+01	23-06-02 16:06:40	7.23014800e-05	3.37961300e-07	1.00016800e+00	7.45128100e-12	-2.99928600e-01	-3.53486700e-07	31
2.32418510e+01	23-06-02 16:06:41	7.23850300e-05	3.57617400e-07	1.00016800e+00	7.43445500e-12	-2.99929400e-01	-3.66827700e-07	32
2.38971024e+01	23-06-02 16:06:41	7.22178000e-05	3.70333500e-07	1.00016800e+00	7.43024800e-12	-2.99929800e-01	-3.84170300e-07	33
2.45528048e+01	23-06-02 16:06:42	7.39745400e-05	3.81013200e-07	1.00016700e+00	7.65738200e-12	-2.99930000e-01	-3.97632800e-07	34
2.52091209e+01	23-06-02 16:06:43	7.23853300e-05	3.98964400e-07	1.00016800e+00	7.56905200e-12	-2.99929800e-01	-4.08273500e-07	35
2.58657905e+01	23-06-02 16:06:43	7.28871400e-05	4.13659200e-07	1.00016800e+00	7.58167100e-12	-2.99928800e-01	-4.23197100e-07	36
2.65217150e+01	23-06-02 16:06:44	7.39743700e-05	4.32207100e-07	1.00016800e+00	7.26620800e-12	-2.99928600e-01	-4.42305400e-07	37
2.71788646e+01	23-06-02 16:06:45	7.32218600e-05	4.49245300e-07	1.00017000e+00	7.68261800e-12	-2.99931700e-01	-4.72618400e-07	38
2.78341243e+01	23-06-02 16:06:45	7.43929400e-05	4.65511300e-07	1.00017000e+00	7.72888700e-12	-2.99931100e-01	-4.97331300e-07	39
2.84918022e+01	23-06-02 16:06:46	7.48948400e-05	4.81330400e-07	1.00016900e+00	7.48492900e-12	-2.99927100e-01	-5.09201800e-07	40
2.93593923e+01	23-06-02 16:06:47	6.87042500e-05	4.99715000e-07	1.00016700e+00	7.74571200e-12	-2.99926100e-01	-5.64961500e-07	41
3.02181508e+01	23-06-02 16:06:48	6.79515100e-05	5.83773300e-07	1.00017000e+00	7.92237100e-12	-2.99926800e-01	-6.31144300e-07	42
3.08428923e+01	23-06-02 16:06:48	6.84533100e-05	6.61300500e-07	1.00016900e+00	7.78356700e-12	-2.99927400e-01	-1.09451800e-06	43
3.14522146e+01	23-06-02 16:06:49	6.87043100e-05	1.23019200e-06	1.00017000e+00	8.30934000e-12	-2.99926600e-01	-1.62142500e-06	44
3.20617627e+01	23-06-02 16:06:49	6.84532300e-05	5.49448700e-07	1.00017000e+00	-3.10884000e-11	-2.99926200e-01	-7.73758100e-07	45
3.26717678e+01	23-06-02 16:06:50	6.86206300e-05	8.79189000e-07	1.00016800e+00	7.66158900e-12	-2.99927100e-01	-1.01029100e-06	46
3.32805377e+01	23-06-02 16:06:51	6.97916800e-05	1.02248100e-06	1.00017000e+00	5.70573200e-12	-2.99927600e-01	-5.58035800e-07	47
3.39051287e+01	23-06-02 16:06:51	6.87042800e-05	5.75554300e-07	1.00016900e+00	1.55103100e-11	-2.99926200e-01	-5.99638600e-07	48
3.50354688e+01	23-06-02 16:06:52	6.92896200e-05	-4.79698200e-08	1.00017000e+00	5.66099500e-07	-2.99926900e-01	-4.27922100e-07	49
3.68425221e+01	23-06-02 16:06:54	6.51068700e-05	-2.63688300e-07	1.00016900e+00	6.22215700e-07	-2.99929100e-01	-3.46977100e-07	50
3.77090351e+01	23-06-02 16:06:55	6.61943700e-05	-2.31408400e-07	1.00016900e+00	5.59788900e-07	-2.99928700e-01	-3.29706900e-07	51
3.83350027e+01	23-06-02 16:06:56	6.51904600e-05	-2.17187500e-07	1.00017000e+00	5.37618900e-07	-2.99929300e-01	-3.20302900e-07	52
3.89590677e+01	23-06-02 16:06:56	6.53578900e-05	-2.06875400e-07	1.00017000e+00	5.19385500e-07	-2.99929100e-01	-3.13618300e-07	53
3.95841840e+01	23-06-02 16:06:57	6.55251500e-05	-2.00820700e-07	1.00016800e+00	5.10210000e-07	-2.99928000e-01	-3.08813800e-07	54
4.02088004e+01	23-06-02 16:06:58	6.49396700e-05	-1.96894200e-07	1.00016900e+00	5.03886200e-07	-2.99928600e-01	-3.05630900e-07	55
4.08345555e+01	23-06-02 16:06:58	6.61107700e-05	-1.94880400e-07	1.00016800e+00	4.98688800e-07	-2.99928800e-01	-3.03279100e-07	56
4.14589148e+01	23-06-02 16:06:59	6.51069900e-05	-1.92007300e-07	1.00016900e+00	4.93532700e-07	-2.99928900e-01	-3.02512400e-07	57
4.20996296e+01	23-06-02 16:06:59	6.58598500e-05	-1.88877100e-07	1.00016800e+00	4.90940500e-07	-2.99929000e-01	-3.01264600e-07	58
4.27254759e+01	23-06-02 16:07:00	6.51070500e-05	-1.87279900e-07	1.00017000e+00	4.88840900e-07	-2.99928800e-01	-3.00589000e-07	59
4.33495737e+01	23-06-02 16:07:01	6.56090300e-05	-1.86362800e-07	1.00017100e+00	4.88860700e-07	-2.99929500e-01	-3.00585100e-07	60
4.39754799e+01	23-06-02 16:07:01	6.64453000e-05	-1.85579100e-07	1.00016800e+00	4.85564000e-07	-2.99929500e-01	-2.98709000e-07	61
4.46005670e+01	23-06-02 16:07:02	6.58598700e-05	-1.84499900e-07	1.00016900e+00	4.82576400e-07	-2.99928300e-01	-2.97844800e-07	62
4.52246613e+01	23-06-02 16:07:03	6.67797200e-05	-1.83578200e-07	1.00016900e+00	4.81099200e-07	-2.99929000e-01	-2.96811300e-07	63
4.58503416e+01	23-06-02 16:07:03	6.66960800e-05	-1.81706900e-07	1.00016800e+00	4.78282400e-07	-2.99928400e-01	-2.95707300e-07	64
4.64746400e+01	23-06-02 16:07:04	6.56088000e-05	-1.81146300e-07	1.00016900e+00	4.76293700e-07	-2.99928300e-01	-2.94664700e-07	65
