Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Loop_TR Index
s		V	A	V/A	

2.18695295e-01	2023-05-16T13:34:57.166667	-3.00000000e-01	-3.86930000e-07	7.75334040e+05	1
3.18455254e-01	2023-05-16T13:34:57.266531	-3.00000000e-01	-3.88500000e-07	7.72200772e+05	2
3.55249085e-01	2023-05-16T13:34:57.306531	-3.00000000e-01	-3.77980000e-07	7.93692788e+05	3
3.85417688e-01	2023-05-16T13:34:57.336533	-3.00000000e-01	-3.82880000e-07	7.83535311e+05	4
4.15772958e-01	2023-05-16T13:34:57.366530	-3.00000000e-01	-3.88170000e-07	7.72857253e+05	5
4.50961456e-01	2023-05-16T13:34:57.406532	-3.00000000e-01	-3.77260000e-07	7.95207549e+05	6
4.80654572e-01	2023-05-16T13:34:57.436509	-3.00000000e-01	-3.84770000e-07	7.79686566e+05	7
5.32889217e-01	2023-05-16T13:34:57.486542	-3.00000000e-01	-3.80350000e-07	7.88747207e+05	8
5.65749511e-01	2023-05-16T13:34:57.516541	-3.00000000e-01	-3.86360000e-07	7.76477896e+05	9
6.22479745e-01	2023-05-16T13:34:57.576511	-3.00000000e-01	-3.78660000e-07	7.92267469e+05	10
6.65310086e-01	2023-05-16T13:34:57.616541	-3.00000000e-01	-3.87970000e-07	7.73255664e+05	11
7.02906789e-01	2023-05-16T13:34:57.656542	-3.00000000e-01	-3.82750000e-07	7.83801437e+05	12
7.78055065e-01	2023-05-16T13:34:57.726533	-3.00000000e-01	-3.88430000e-07	7.72339933e+05	13
8.46816063e-01	2023-05-16T13:34:57.796548	-3.00000000e-01	-3.79810000e-07	7.89868619e+05	14
9.24863210e-01	2023-05-16T13:34:57.876542	-3.00000000e-01	-3.77410000e-07	7.94891497e+05	15
9.81363290e-01	2023-05-16T13:34:57.936509	-3.00000000e-01	-3.84210000e-07	7.80822987e+05	16
1.00967671e+00	2023-05-16T13:34:57.956542	-3.00000000e-01	-3.77740000e-07	7.94197067e+05	17
1.04801065e+00	2023-05-16T13:34:57.996546	-3.00000000e-01	-3.87930000e-07	7.73335396e+05	18
1.09095668e+00	2023-05-16T13:34:58.046508	-3.00000000e-01	-3.81530000e-07	7.86307761e+05	19
1.11769185e+00	2023-05-16T13:34:58.066650	-3.00000000e-01	-3.79110000e-07	7.91327055e+05	20
1.14835153e+00	2023-05-16T13:34:58.096542	-3.00000000e-01	-3.88650000e-07	7.71902740e+05	21
1.17596218e+00	2023-05-16T13:34:58.126667	-3.00000000e-01	-3.86300000e-07	7.76598499e+05	22
1.22067519e+00	2023-05-16T13:34:58.176509	-3.00000000e-01	-3.80420000e-07	7.88602071e+05	23
1.24896769e+00	2023-05-16T13:34:58.196584	-3.00000000e-01	-3.88450000e-07	7.72300167e+05	24
1.29061321e+00	2023-05-16T13:34:58.246508	-3.00000000e-01	-3.77540000e-07	7.94617789e+05	25
1.31931966e+00	2023-05-16T13:34:58.266533	-3.00000000e-01	-3.81860000e-07	7.85628241e+05	26
1.35055780e+00	2023-05-16T13:34:58.306509	-3.00000000e-01	-3.88060000e-07	7.73076328e+05	27
1.38066036e+00	2023-05-16T13:34:58.336536	-3.00000000e-01	-3.77650000e-07	7.94386337e+05	28
1.40529214e+00	2023-05-16T13:34:58.356666	-3.00000000e-01	-3.78040000e-07	7.93566818e+05	29
1.43350875e+00	2023-05-16T13:34:58.386689	-3.00000000e-01	-3.88500000e-07	7.72200772e+05	30
1.45842402e+00	2023-05-16T13:34:58.406667	-3.00000000e-01	-3.80790000e-07	7.87835815e+05	31
1.49007077e+00	2023-05-16T13:34:58.446511	-3.00000000e-01	-3.76870000e-07	7.96030461e+05	32
1.52068409e+00	2023-05-16T13:34:58.476509	-3.00000000e-01	-3.85750000e-07	7.77705768e+05	33
1.55096429e+00	2023-05-16T13:34:58.506533	-3.00000000e-01	-3.85560000e-07	7.78089013e+05	34
1.57728346e+00	2023-05-16T13:34:58.526590	-3.00000000e-01	-3.77460000e-07	7.94786203e+05	35
1.60351688e+00	2023-05-16T13:34:58.556531	-3.00000000e-01	-3.81250000e-07	7.86885246e+05	36
1.64197922e+00	2023-05-16T13:34:58.596569	-3.00000000e-01	-3.84670000e-07	7.79889256e+05	37
1.67069839e+00	2023-05-16T13:34:58.626509	-3.00000000e-01	-3.77680000e-07	7.94323237e+05	38
1.70633571e+00	2023-05-16T13:34:58.656532	-3.00000000e-01	-3.88060000e-07	7.73076328e+05	39
1.74080913e+00	2023-05-16T13:34:58.696509	-3.00000000e-01	-3.81400000e-07	7.86575773e+05	40
1.78218224e+00	2023-05-16T13:34:58.736509	-3.00000000e-01	-3.79440000e-07	7.90638836e+05	41
1.82190859e+00	2023-05-16T13:34:58.776508	-3.00000000e-01	-3.86170000e-07	7.76859932e+05	42
1.86024088e+00	2023-05-16T13:34:58.816509	-3.00000000e-01	-3.76960000e-07	7.95840407e+05	43
1.90499942e+00	2023-05-16T13:34:58.856541	-3.00000000e-01	-3.88390000e-07	7.72419475e+05	44
1.93420639e+00	2023-05-16T13:34:58.886671	-3.00000000e-01	-3.84730000e-07	7.79767629e+05	45
1.96212473e+00	2023-05-16T13:34:58.916532	-3.00000000e-01	-3.77610000e-07	7.94470485e+05	46
2.00202749e+00	2023-05-16T13:34:58.956510	-3.00000000e-01	-3.88060000e-07	7.73076328e+05	47
2.02908553e+00	2023-05-16T13:34:58.976666	-3.00000000e-01	-3.82120000e-07	7.85093688e+05	48
2.08317207e+00	2023-05-16T13:34:59.036655	-3.00000000e-01	-3.84540000e-07	7.80152910e+05	49
2.13149533e+00	2023-05-16T13:34:59.086544	-3.00000000e-01	-3.80680000e-07	7.88063465e+05	50
2.15779891e+00	2023-05-16T13:34:59.106662	-3.00000000e-01	-3.79960000e-07	7.89556795e+05	51
2.21449099e+00	2023-05-16T13:34:59.166648	-3.00000000e-01	-3.85450000e-07	7.78311065e+05	52
2.25052954e+00	2023-05-16T13:34:59.206508	-3.00000000e-01	-3.81460000e-07	7.86452053e+05	53
2.29159126e+00	2023-05-16T13:34:59.246668	-3.00000000e-01	-3.88560000e-07	7.72081532e+05	54
2.33433012e+00	2023-05-16T13:34:59.286541	-3.00000000e-01	-3.78170000e-07	7.93294021e+05	55
2.36405236e+00	2023-05-16T13:34:59.316637	-3.00000000e-01	-3.83860000e-07	7.81534935e+05	56
2.39404292e+00	2023-05-16T13:34:59.346531	-3.00000000e-01	-3.87970000e-07	7.73255664e+05	57
2.43058116e+00	2023-05-16T13:34:59.386508	-3.00000000e-01	-3.79550000e-07	7.90409696e+05	58
2.46169499e+00	2023-05-16T13:34:59.416510	-3.00000000e-01	-3.85230000e-07	7.78755549e+05	59
2.49802605e+00	2023-05-16T13:34:59.446531	-3.00000000e-01	-3.79810000e-07	7.89868619e+05	60
2.52629763e+00	2023-05-16T13:34:59.476596	-3.00000000e-01	-3.77000000e-07	7.95755968e+05	61
2.57025454e+00	2023-05-16T13:34:59.526508	-3.00000000e-01	-3.88450000e-07	7.72300167e+05	62
2.60076652e+00	2023-05-16T13:34:59.556508	-3.00000000e-01	-3.77910000e-07	7.93839803e+05	63
2.63644323e+00	2023-05-16T13:34:59.586530	-3.00000000e-01	-3.82420000e-07	7.84477799e+05	64
2.66062455e+00	2023-05-16T13:34:59.616511	-3.00000000e-01	-3.87840000e-07	7.73514851e+05	65
2.70520422e+00	2023-05-16T13:34:59.656548	-3.00000000e-01	-3.77460000e-07	7.94786203e+05	66
2.73068893e+00	2023-05-16T13:34:59.686508	-3.00000000e-01	-3.84580000e-07	7.80071767e+05	67
2.76733425e+00	2023-05-16T13:34:59.716507	-3.00000000e-01	-3.86470000e-07	7.76256889e+05	68
2.79134121e+00	2023-05-16T13:34:59.746596	-3.00000000e-01	-3.80530000e-07	7.88374110e+05	69
2.82736376e+00	2023-05-16T13:34:59.776530	-3.00000000e-01	-3.86080000e-07	7.77041028e+05	70
2.85524806e+00	2023-05-16T13:34:59.806668	-3.00000000e-01	-3.88690000e-07	7.71823304e+05	71
2.89055061e+00	2023-05-16T13:34:59.846508	-3.00000000e-01	-3.78920000e-07	7.91723847e+05	72
2.93013049e+00	2023-05-16T13:34:59.886509	-3.00000000e-01	-3.87870000e-07	7.73455024e+05	73
2.96083940e+00	2023-05-16T13:34:59.916508	-3.00000000e-01	-3.83290000e-07	7.82697174e+05	74
2.99534154e+00	2023-05-16T13:34:59.946508	-3.00000000e-01	-3.78130000e-07	7.93377939e+05	75
3.02050748e+00	2023-05-16T13:34:59.976508	-3.00000000e-01	-3.84010000e-07	7.81229655e+05	76
3.06075033e+00	2023-05-16T13:35:00.016508	-3.00000000e-01	-3.80810000e-07	7.87794438e+05	77
3.08629125e+00	2023-05-16T13:35:00.036662	-3.00000000e-01	-3.77020000e-07	7.95713755e+05	78
3.13058538e+00	2023-05-16T13:35:00.086508	-3.00000000e-01	-3.88820000e-07	7.71565249e+05	79
3.15459071e+00	2023-05-16T13:35:00.106664	-3.00000000e-01	-3.85950000e-07	7.77302759e+05	80
3.19069490e+00	2023-05-16T13:35:00.146508	-3.00000000e-01	-3.80850000e-07	7.87711698e+05	81
3.22026411e+00	2023-05-16T13:35:00.176508	-3.00000000e-01	-3.86860000e-07	7.75474332e+05	82
3.28320727e+00	2023-05-16T13:35:00.236659	-3.00000000e-01	-3.77910000e-07	7.93839803e+05	83
3.32065874e+00	2023-05-16T13:35:00.276509	-3.00000000e-01	-3.87780000e-07	7.73634535e+05	84
3.35658980e+00	2023-05-16T13:35:00.306540	-3.00000000e-01	-3.81770000e-07	7.85813448e+05	85
3.39069440e+00	2023-05-16T13:35:00.346508	-3.00000000e-01	-3.84710000e-07	7.79808167e+05	86
3.42881254e+00	2023-05-16T13:35:00.376541	-3.00000000e-01	-3.86410000e-07	7.76377423e+05	87
3.45478545e+00	2023-05-16T13:35:00.406557	-3.00000000e-01	-3.80400000e-07	7.88643533e+05	88
3.49049047e+00	2023-05-16T13:35:00.446508	-3.00000000e-01	-3.86210000e-07	7.76779472e+05	89
3.51496840e+00	2023-05-16T13:35:00.466669	-3.00000000e-01	-3.88630000e-07	7.71942465e+05	90
3.55614869e+00	2023-05-16T13:35:00.506508	-3.00000000e-01	-3.77520000e-07	7.94659886e+05	91
3.58199320e+00	2023-05-16T13:35:00.536653	-3.00000000e-01	-3.81510000e-07	7.86348982e+05	92
3.62065862e+00	2023-05-16T13:35:00.576507	-3.00000000e-01	-3.83100000e-07	7.83085356e+05	93
3.65247030e+00	2023-05-16T13:35:00.606666	-3.00000000e-01	-3.78130000e-07	7.93377939e+05	94
3.67836813e+00	2023-05-16T13:35:00.626665	-3.00000000e-01	-3.84140000e-07	7.80965273e+05	95
3.70955540e+00	2023-05-16T13:35:00.656540	-3.00000000e-01	-3.87470000e-07	7.74253491e+05	96
3.74058144e+00	2023-05-16T13:35:00.696508	-3.00000000e-01	-3.77020000e-07	7.95713755e+05	97
3.77945363e+00	2023-05-16T13:35:00.726546	-3.00000000e-01	-3.85450000e-07	7.78311065e+05	98
3.80612767e+00	2023-05-16T13:35:00.756595	-3.00000000e-01	-3.85910000e-07	7.77383328e+05	99
3.83262284e+00	2023-05-16T13:35:00.786530	-3.00000000e-01	-3.79570000e-07	7.90368048e+05	100
3.86481688e+00	2023-05-16T13:35:00.816509	-3.00000000e-01	-3.81010000e-07	7.87380909e+05	101
3.89251984e+00	2023-05-16T13:35:00.846508	-3.00000000e-01	-3.88590000e-07	7.72021925e+05	102
3.94477500e+00	2023-05-16T13:35:00.896541	-3.00000000e-01	-3.78070000e-07	7.93503848e+05	103
3.98595119e+00	2023-05-16T13:35:00.936510	-3.00000000e-01	-3.88260000e-07	7.72678102e+05	104
4.02341373e+00	2023-05-16T13:35:00.976541	-3.00000000e-01	-3.77220000e-07	7.95291872e+05	105
4.04799465e+00	2023-05-16T13:35:00.996591	-3.00000000e-01	-3.84860000e-07	7.79504235e+05	106
4.10494970e+00	2023-05-16T13:35:01.056535	-3.00000000e-01	-3.80350000e-07	7.88747207e+05	107
4.13820794e+00	2023-05-16T13:35:01.094409	-3.00000000e-01	-3.80290000e-07	7.88871651e+05	108
4.21157202e+00	2023-05-16T13:35:01.168024	-3.00000000e-01	-3.78590000e-07	7.92413957e+05	109
4.27267353e+00	2023-05-16T13:35:01.228417	-3.00000000e-01	-3.88190000e-07	7.72817435e+05	110
4.30359372e+00	2023-05-16T13:35:01.259613	-3.00000000e-01	-3.77810000e-07	7.94049919e+05	111
4.37066980e+00	2023-05-16T13:35:01.326756	-3.00000000e-01	-3.87150000e-07	7.74893452e+05	112
