Time elapsed	Time stamp	Source Voltage	Source Current	Drain2 Voltage	Drain2 Current	Loop2 Index
s		V	A	V	A	

7.80188400e-01	23-05-17 13:11:51	7.30568400e-05	1.88203500e-04	-2.99930300e-01	-1.88146900e-04	1
1.44653970e+00	23-05-17 13:11:51	7.19695200e-05	1.88283400e-04	-2.99930200e-01	-1.88228800e-04	2
1.85199040e+00	23-05-17 13:11:52	7.31402300e-05	1.88314900e-04	-2.99929500e-01	-1.88183100e-04	3
2.24401640e+00	23-05-17 13:11:52	7.23039000e-05	1.88260200e-04	-2.99930000e-01	-1.88222300e-04	4
2.63336280e+00	23-05-17 13:11:53	7.29730500e-05	1.88234100e-04	-2.99930100e-01	-1.88211900e-04	5
3.03964910e+00	23-05-17 13:11:53	7.26384700e-05	1.88282900e-04	-2.99929900e-01	-1.88276100e-04	6
3.44576130e+00	23-05-17 13:11:53	7.28057900e-05	1.88322300e-04	-2.99930800e-01	-1.88269900e-04	7
3.85219360e+00	23-05-17 13:11:54	7.33076600e-05	1.88318600e-04	-2.99930100e-01	-1.88248300e-04	8
4.24394130e+00	23-05-17 13:11:54	7.30567600e-05	1.88313000e-04	-2.99930400e-01	-1.88249600e-04	9
4.64867300e+00	23-05-17 13:11:55	7.18857300e-05	1.88354900e-04	-2.99930400e-01	-1.88264500e-04	10
5.03932510e+00	23-05-17 13:11:55	7.23039000e-05	1.88416800e-04	-2.99929700e-01	-1.88349200e-04	11
5.44554090e+00	23-05-17 13:11:55	7.28893500e-05	1.88455700e-04	-2.99930400e-01	-1.88366900e-04	12
5.85197360e+00	23-05-17 13:11:56	7.27222100e-05	1.88389000e-04	-2.99930400e-01	-1.88380500e-04	13
6.24373560e+00	23-05-17 13:11:56	7.32238700e-05	1.88450500e-04	-2.99929600e-01	-1.88420400e-04	14
6.63312890e+00	23-05-17 13:11:57	7.27221200e-05	1.88545400e-04	-2.99930900e-01	-1.88426500e-04	15
7.03982780e+00	23-05-17 13:11:57	7.24711800e-05	1.88519200e-04	-2.99930500e-01	-1.88489500e-04	16
7.44563680e+00	23-05-17 13:11:57	7.23039000e-05	1.88514700e-04	-2.99930500e-01	-1.88448700e-04	17
7.85196010e+00	23-05-17 13:11:58	7.24711800e-05	1.88549900e-04	-2.99930500e-01	-1.88443200e-04	18
8.24194590e+00	23-05-17 13:11:58	7.28893200e-05	1.88521200e-04	-2.99930400e-01	-1.88478500e-04	19
8.63137720e+00	23-05-17 13:11:59	7.28056700e-05	1.88517600e-04	-2.99929900e-01	-1.88441300e-04	20
9.03811180e+00	23-05-17 13:11:59	7.28057900e-05	1.88603700e-04	-2.99930100e-01	-1.88547000e-04	21
9.44406640e+00	23-05-17 13:11:59	7.15512400e-05	1.88662800e-04	-2.99929700e-01	-1.88601800e-04	22
9.84938430e+00	23-05-17 13:12:00	7.33077500e-05	1.88699800e-04	-2.99930500e-01	-1.88608200e-04	23
1.02250937e+01	23-05-17 13:12:00	7.22201100e-05	1.88742700e-04	-2.99929500e-01	-1.88668700e-04	24
1.06330862e+01	23-05-17 13:12:01	7.26384100e-05	1.88767900e-04	-2.99930500e-01	-1.88709100e-04	25
1.10382635e+01	23-05-17 13:12:01	7.23039000e-05	1.88736000e-04	-2.99930700e-01	-1.88671200e-04	26
1.14458605e+01	23-05-17 13:12:01	7.30567600e-05	1.88768100e-04	-2.99930900e-01	-1.88694700e-04	27
1.18520360e+01	23-05-17 13:12:02	7.20529900e-05	1.88876100e-04	-2.99931200e-01	-1.88787100e-04	28
1.22533971e+01	23-05-17 13:12:02	7.32239800e-05	1.88950700e-04	-2.99930900e-01	-1.88898000e-04	29
1.26490932e+01	23-05-17 13:12:03	7.13003900e-05	1.88975800e-04	-2.99930600e-01	-1.88908700e-04	30
1.30396755e+01	23-05-17 13:12:03	7.15509200e-05	1.88946400e-04	-2.99931300e-01	-1.88928100e-04	31
1.34457263e+01	23-05-17 13:12:03	7.25546600e-05	1.89014100e-04	-2.99930700e-01	-1.88968100e-04	32
1.38521725e+01	23-05-17 13:12:04	7.23039000e-05	1.89069800e-04	-2.99930200e-01	-1.89016100e-04	33
1.42424468e+01	23-05-17 13:12:04	7.26383800e-05	1.89064700e-04	-2.99931000e-01	-1.89002700e-04	34
1.46472370e+01	23-05-17 13:12:05	7.27221200e-05	1.89032100e-04	-2.99930100e-01	-1.89064300e-04	35
1.50400464e+01	23-05-17 13:12:05	7.33076600e-05	1.89076000e-04	-2.99931200e-01	-1.89000300e-04	36
1.54457403e+01	23-05-17 13:12:05	7.21365800e-05	1.89033400e-04	-2.99929800e-01	-1.88991300e-04	37
1.58521463e+01	23-05-17 13:12:06	7.26384700e-05	1.89149500e-04	-2.99930700e-01	-1.89024300e-04	38
1.62416787e+01	23-05-17 13:12:06	7.34747700e-05	1.89097700e-04	-2.99929600e-01	-1.89053800e-04	39
1.66329419e+01	23-05-17 13:12:07	7.25548900e-05	1.89127000e-04	-2.99931200e-01	-1.89000100e-04	40
1.70398006e+01	23-05-17 13:12:07	7.23875200e-05	1.89104900e-04	-2.99930100e-01	-1.89033500e-04	41
1.74466705e+01	23-05-17 13:12:07	7.34748600e-05	1.89121300e-04	-2.99930300e-01	-1.89068400e-04	42
1.78496586e+01	23-05-17 13:12:08	7.29729700e-05	1.89108800e-04	-2.99930200e-01	-1.89060200e-04	43
1.82434538e+01	23-05-17 13:12:08	7.28057900e-05	1.89171200e-04	-2.99930100e-01	-1.89079500e-04	44
1.86331749e+01	23-05-17 13:12:09	7.32239800e-05	1.89138200e-04	-2.99929700e-01	-1.89118600e-04	45
1.90393852e+01	23-05-17 13:12:09	7.26384100e-05	1.89193800e-04	-2.99931000e-01	-1.89126200e-04	46
1.94453760e+01	23-05-17 13:12:09	7.37257400e-05	1.89274400e-04	-2.99930400e-01	-1.89193600e-04	47
1.98498388e+01	23-05-17 13:12:10	7.36421800e-05	1.89362600e-04	-2.99930900e-01	-1.89330200e-04	48
2.02269141e+01	23-05-17 13:12:10	7.33911800e-05	1.89429000e-04	-2.99931500e-01	-1.89349400e-04	49
2.06174217e+01	23-05-17 13:12:11	7.27221200e-05	1.89420100e-04	-2.99929300e-01	-1.89394600e-04	50
2.10080497e+01	23-05-17 13:12:11	7.28894400e-05	1.89410000e-04	-2.99930700e-01	-1.89317000e-04	51
2.14147373e+01	23-05-17 13:12:11	7.32240100e-05	1.89350800e-04	-2.99930000e-01	-1.89299000e-04	52
2.18049794e+01	23-05-17 13:12:12	7.26383800e-05	1.89405200e-04	-2.99930000e-01	-1.89355700e-04	53
2.21961612e+01	23-05-17 13:12:12	7.32239200e-05	1.89331200e-04	-2.99930500e-01	-1.89366800e-04	54
2.26019069e+01	23-05-17 13:12:13	7.33911800e-05	1.89366300e-04	-2.99930200e-01	-1.89285700e-04	55
2.29943144e+01	23-05-17 13:12:13	7.27221200e-05	1.89399400e-04	-2.99930500e-01	-1.89347800e-04	56
2.33830601e+01	23-05-17 13:12:13	7.33077500e-05	1.89345700e-04	-2.99930700e-01	-1.89232200e-04	57
2.37895484e+01	23-05-17 13:12:14	7.36421200e-05	1.89259500e-04	-2.99931200e-01	-1.89222900e-04	58
2.41964578e+01	23-05-17 13:12:14	7.28058200e-05	1.89301600e-04	-2.99931200e-01	-1.89268300e-04	59
2.46019316e+01	23-05-17 13:12:15	7.32240800e-05	1.89320400e-04	-2.99930500e-01	-1.89260500e-04	60
2.49945965e+01	23-05-17 13:12:15	7.34750600e-05	1.89358400e-04	-2.99930900e-01	-1.89317500e-04	61
2.53831481e+01	23-05-17 13:12:15	7.33076300e-05	1.89475800e-04	-2.99930000e-01	-1.89515200e-04	62
2.57897315e+01	23-05-17 13:12:16	7.35585900e-05	1.89481900e-04	-2.99931000e-01	-1.89435200e-04	63
2.61958007e+01	23-05-17 13:12:16	7.32240800e-05	1.89456700e-04	-2.99931000e-01	-1.89386900e-04	64
2.66019744e+01	23-05-17 13:12:17	7.24711800e-05	1.89503900e-04	-2.99930900e-01	-1.89388200e-04	65
2.69940680e+01	23-05-17 13:12:17	7.26385300e-05	1.89450200e-04	-2.99930900e-01	-1.89382100e-04	66
2.73830434e+01	23-05-17 13:12:17	7.42276900e-05	1.89483100e-04	-2.99930400e-01	-1.89427700e-04	67
2.77897940e+01	23-05-17 13:12:18	7.31403400e-05	1.89540200e-04	-2.99930300e-01	-1.89379500e-04	68
2.81956011e+01	23-05-17 13:12:18	7.38095600e-05	1.89461000e-04	-2.99930200e-01	-1.89415800e-04	69
2.86023109e+01	23-05-17 13:12:19	7.39767200e-05	1.89483400e-04	-2.99930600e-01	-1.89425400e-04	70
2.89938788e+01	23-05-17 13:12:19	7.33074600e-05	1.89471300e-04	-2.99930700e-01	-1.89342600e-04	71
2.93833196e+01	23-05-17 13:12:19	7.27221500e-05	1.89455700e-04	-2.99930900e-01	-1.89399100e-04	72
2.97898930e+01	23-05-17 13:12:20	7.36421200e-05	1.89512100e-04	-2.99930800e-01	-1.89480800e-04	73
3.01956943e+01	23-05-17 13:12:20	7.35585000e-05	1.89476400e-04	-2.99931400e-01	-1.89398800e-04	74
3.06014011e+01	23-05-17 13:12:21	7.21365200e-05	1.89438700e-04	-2.99930300e-01	-1.89416700e-04	75
3.10090118e+01	23-05-17 13:12:21	7.26384700e-05	1.89541700e-04	-2.99931300e-01	-1.89508600e-04	76
3.13987289e+01	23-05-17 13:12:21	7.25548300e-05	1.89539300e-04	-2.99929800e-01	-1.89423700e-04	77
3.17897405e+01	23-05-17 13:12:22	7.30566100e-05	1.89442300e-04	-2.99930500e-01	-1.89369200e-04	78
3.21955681e+01	23-05-17 13:12:22	7.23874000e-05	1.89431100e-04	-2.99930100e-01	-1.89329300e-04	79
3.26017871e+01	23-05-17 13:12:23	7.28057300e-05	1.89540600e-04	-2.99929400e-01	-1.89514200e-04	80
3.29937731e+01	23-05-17 13:12:23	7.36421500e-05	1.89603200e-04	-2.99930200e-01	-1.89614400e-04	81
3.33830275e+01	23-05-17 13:12:23	7.33911300e-05	1.89705300e-04	-2.99930000e-01	-1.89678100e-04	82
3.37894841e+01	23-05-17 13:12:24	7.34748000e-05	1.89718700e-04	-2.99929900e-01	-1.89627600e-04	83
3.41955126e+01	23-05-17 13:12:24	7.23038400e-05	1.89810300e-04	-2.99929900e-01	-1.89767600e-04	84
3.46018022e+01	23-05-17 13:12:25	7.31402000e-05	1.89925100e-04	-2.99930400e-01	-1.89814600e-04	85
3.49944875e+01	23-05-17 13:12:25	7.42277500e-05	1.89947000e-04	-2.99930400e-01	-1.89920800e-04	86
3.53832725e+01	23-05-17 13:12:25	7.42277200e-05	1.89947800e-04	-2.99929700e-01	-1.89924800e-04	87
3.57896524e+01	23-05-17 13:12:26	7.38930000e-05	1.89979400e-04	-2.99929700e-01	-1.89862300e-04	88
3.61962843e+01	23-05-17 13:12:26	7.39766200e-05	1.89852100e-04	-2.99929900e-01	-1.89765300e-04	89
3.66019725e+01	23-05-17 13:12:27	7.33912400e-05	1.89756100e-04	-2.99930300e-01	-1.89756100e-04	90
3.69936718e+01	23-05-17 13:12:27	7.35585000e-05	1.89819800e-04	-2.99930100e-01	-1.89789500e-04	91
3.73829903e+01	23-05-17 13:12:27	7.28894700e-05	1.89845700e-04	-2.99929800e-01	-1.89772500e-04	92
3.77898414e+01	23-05-17 13:12:28	7.23875200e-05	1.89859100e-04	-2.99930500e-01	-1.89750400e-04	93
3.81955419e+01	23-05-17 13:12:28	7.30565200e-05	1.89831800e-04	-2.99929900e-01	-1.89747600e-04	94
3.86018891e+01	23-05-17 13:12:29	7.28893800e-05	1.89830300e-04	-2.99929200e-01	-1.89839400e-04	95
3.89939350e+01	23-05-17 13:12:29	7.26383400e-05	1.89986800e-04	-2.99930000e-01	-1.89932000e-04	96
3.93829278e+01	23-05-17 13:12:29	7.25548000e-05	1.90042000e-04	-2.99929900e-01	-1.89927600e-04	97
3.97897954e+01	23-05-17 13:12:30	7.23875200e-05	1.89973700e-04	-2.99929900e-01	-1.89973500e-04	98
4.01954394e+01	23-05-17 13:12:30	7.24711300e-05	1.89992200e-04	-2.99931300e-01	-1.89926200e-04	99
4.06017568e+01	23-05-17 13:12:31	7.27222700e-05	1.89969600e-04	-2.99931100e-01	-1.89913200e-04	100
4.09940745e+01	23-05-17 13:12:31	7.26384700e-05	1.90085800e-04	-2.99930300e-01	-1.90022900e-04	101
4.13839390e+01	23-05-17 13:12:31	7.29727300e-05	1.90167300e-04	-2.99930000e-01	-1.90223600e-04	102
4.17897372e+01	23-05-17 13:12:32	7.33076000e-05	1.90295500e-04	-2.99930600e-01	-1.90216300e-04	103
