Time elapsed	Time stamp	Source Voltage	Source Current	Drain2 Voltage	Drain2 Current	Loop2 Index
s		V	A	V	A	

7.78161600e-01	23-05-19 14:48:55	6.82879200e-05	1.27804300e-09	-2.99926500e-01	-6.16650500e-10	1
2.38076210e+00	23-05-19 14:48:57	6.78696400e-05	5.84824800e-10	-2.99926500e-01	-5.30012100e-10	2
2.84840720e+00	23-05-19 14:48:58	6.87063100e-05	5.21562000e-10	-2.99926800e-01	-4.96155600e-10	3
3.30146350e+00	23-05-19 14:48:58	6.88736300e-05	4.91232300e-10	-2.99926200e-01	-5.59285300e-10	4
3.75566350e+00	23-05-19 14:48:58	6.83715400e-05	6.52641400e-10	-2.99926400e-01	-4.75678600e-10	5
4.20781110e+00	23-05-19 14:48:59	6.91245000e-05	5.36321500e-10	-2.99926000e-01	-5.55299300e-10	6
4.66077930e+00	23-05-19 14:48:59	6.85390200e-05	5.01488200e-10	-2.99926000e-01	-4.90239300e-10	7
5.11400130e+00	23-05-19 14:49:00	6.87899000e-05	4.91711600e-10	-2.99926900e-01	-3.24636000e-10	8
5.56708040e+00	23-05-19 14:49:00	6.86224900e-05	4.64157100e-10	-2.99926800e-01	-5.19088100e-10	9
6.02070630e+00	23-05-19 14:49:01	6.77025500e-05	6.71622000e-10	-2.99925700e-01	-5.24129800e-10	10
6.47320010e+00	23-05-19 14:49:01	6.88734000e-05	5.23500700e-10	-2.99926100e-01	-4.04841500e-10	11
6.92534290e+00	23-05-19 14:49:02	6.84551800e-05	4.98902300e-10	-2.99926000e-01	-5.18675900e-10	12
7.36397340e+00	23-05-19 14:49:02	6.87897300e-05	4.98161800e-10	-2.99926300e-01	-5.15724400e-10	13
7.81699860e+00	23-05-19 14:49:02	6.81205700e-05	4.77919700e-10	-2.99926100e-01	-5.35637800e-10	14
8.27002780e+00	23-05-19 14:49:03	6.81206900e-05	5.40236100e-10	-2.99926300e-01	-5.39947700e-10	15
8.72329410e+00	23-05-19 14:49:03	6.84553800e-05	5.36195300e-10	-2.99925700e-01	-5.50535400e-10	16
9.17686220e+00	23-05-19 14:49:04	6.88734900e-05	5.46548200e-10	-2.99925400e-01	-5.60740200e-10	17
9.62958620e+00	23-05-19 14:49:04	6.86225500e-05	5.58456200e-10	-2.99925700e-01	-5.66992600e-10	18
1.00827598e+01	23-05-19 14:49:05	6.78696100e-05	5.69073400e-10	-2.99926000e-01	-5.78787000e-10	19
1.05356215e+01	23-05-19 14:49:05	6.82880300e-05	5.77962500e-10	-2.99926400e-01	-5.87965800e-10	20
1.09889286e+01	23-05-19 14:49:06	6.89570800e-05	5.88272300e-10	-2.99926500e-01	-5.96068400e-10	21
1.14420409e+01	23-05-19 14:49:06	6.87898700e-05	5.98835400e-10	-2.99927300e-01	-6.07875700e-10	22
1.18965726e+01	23-05-19 14:49:07	6.88735500e-05	6.09700900e-10	-2.99926300e-01	-6.17512700e-10	23
1.23484645e+01	23-05-19 14:49:07	6.83717000e-05	6.17454700e-10	-2.99926000e-01	-6.25892500e-10	24
1.28012890e+01	23-05-19 14:49:07	6.75351500e-05	6.31305200e-10	-2.99926200e-01	-6.35420600e-10	25
1.32543435e+01	23-05-19 14:49:08	6.81206300e-05	6.41426700e-10	-2.99925800e-01	-6.50154000e-10	26
1.37075247e+01	23-05-19 14:49:08	6.78698400e-05	1.37123900e-11	-2.99926100e-01	-1.37281700e-11	27
1.41608610e+01	23-05-19 14:49:09	6.83717300e-05	1.35315800e-11	-2.99926800e-01	-1.57338800e-11	28
1.46140036e+01	23-05-19 14:49:09	6.84553200e-05	1.34937300e-11	-2.99926100e-01	-1.54311100e-11	29
1.50669637e+01	23-05-19 14:49:10	6.81207500e-05	1.35652200e-11	-2.99926500e-01	-1.34800600e-11	30
1.55202017e+01	23-05-19 14:49:10	6.86225200e-05	1.35315800e-11	-2.99926100e-01	-1.66589200e-11	31
1.59712784e+01	23-05-19 14:49:11	6.89571800e-05	1.31237100e-11	-2.99926600e-01	-1.76638900e-11	32
1.64108750e+01	23-05-19 14:49:11	6.82044800e-05	1.38049000e-11	-2.99926200e-01	-1.45312900e-11	33
1.68640108e+01	23-05-19 14:49:12	6.91244700e-05	1.32834700e-11	-2.99925500e-01	-1.50526700e-11	34
1.73171614e+01	23-05-19 14:49:12	6.81208600e-05	1.32498600e-11	-2.99926000e-01	-1.63435500e-11	35
1.77703866e+01	23-05-19 14:49:12	6.96263200e-05	1.35610200e-11	-2.99926200e-01	-1.51073000e-11	36
1.82232636e+01	23-05-19 14:49:13	6.78698700e-05	1.34853500e-11	-2.99925800e-01	-1.52797400e-11	37
1.86766547e+01	23-05-19 14:49:13	6.81206300e-05	1.35820400e-11	-2.99927100e-01	-1.77521800e-11	38
1.91295818e+01	23-05-19 14:49:14	6.83717000e-05	1.37628500e-11	-2.99925700e-01	-1.23279200e-11	39
1.95827157e+01	23-05-19 14:49:14	6.88733700e-05	1.34432800e-11	-2.99926400e-01	-1.43714800e-11	40
2.00359191e+01	23-05-19 14:49:15	6.93753800e-05	1.32330500e-11	-2.99926000e-01	-1.73989400e-11	41
2.04893612e+01	23-05-19 14:49:15	6.92917100e-05	1.36787600e-11	-2.99925100e-01	-1.41864400e-11	42
2.09424798e+01	23-05-19 14:49:16	6.89572800e-05	1.36366800e-11	-2.99925900e-01	-1.60575900e-11	43
2.13967513e+01	23-05-19 14:49:16	6.86226700e-05	1.32792700e-11	-2.99926100e-01	-1.47583100e-11	44
2.18483104e+01	23-05-19 14:49:17	6.82044100e-05	1.43851600e-11	-2.99926600e-01	-1.12472900e-11	45
2.23015581e+01	23-05-19 14:49:17	6.84554700e-05	1.37670400e-11	-2.99926200e-01	-1.63183200e-11	46
2.27547439e+01	23-05-19 14:49:17	6.82880100e-05	1.35400000e-11	-2.99925900e-01	-1.62678500e-11	47
2.32075944e+01	23-05-19 14:49:18	6.89571400e-05	1.37922800e-11	-2.99925300e-01	-1.44345400e-11	48
2.36608696e+01	23-05-19 14:49:18	6.81207800e-05	1.37544300e-11	-2.99926100e-01	-1.64192500e-11	49
2.41138978e+01	23-05-19 14:49:19	6.84552300e-05	1.35988800e-11	-2.99925200e-01	-1.48760400e-11	50
2.45672444e+01	23-05-19 14:49:19	6.90408900e-05	1.34853300e-11	-2.99925400e-01	-1.39215800e-11	51
2.50195999e+01	23-05-19 14:49:20	6.82881800e-05	1.39016100e-11	-2.99925900e-01	-1.58389600e-11	52
2.54732214e+01	23-05-19 14:49:20	6.90408000e-05	1.35904600e-11	-2.99925800e-01	-1.55362300e-11	53
2.59266970e+01	23-05-19 14:49:21	6.81206300e-05	1.37586500e-11	-2.99926100e-01	-1.29881000e-11	54
2.63797707e+01	23-05-19 14:49:21	6.85387600e-05	1.37082100e-11	-2.99925800e-01	-1.75965600e-11	55
2.68331872e+01	23-05-19 14:49:21	6.83717300e-05	1.32751000e-11	-2.99926200e-01	-1.51493500e-11	56
2.72857239e+01	23-05-19 14:49:22	6.85388500e-05	1.38469600e-11	-2.99926300e-01	-1.48886400e-11	57
2.77391106e+01	23-05-19 14:49:22	6.82880100e-05	1.27116300e-11	-2.99925300e-01	-1.79371500e-11	58
2.81919984e+01	23-05-19 14:49:23	6.89571800e-05	1.38175200e-11	-2.99925500e-01	-1.45943100e-11	59
2.86465034e+01	23-05-19 14:49:23	6.86225500e-05	1.39142200e-11	-2.99926800e-01	-1.43966600e-11	60
2.90981888e+01	23-05-19 14:49:24	6.87062000e-05	1.30522300e-11	-2.99926300e-01	-1.58094800e-11	61
2.95515101e+01	23-05-19 14:49:24	6.90408000e-05	1.36240900e-11	-2.99926300e-01	-1.48886500e-11	62
3.00044442e+01	23-05-19 14:49:25	6.87897300e-05	1.37208100e-11	-2.99926700e-01	-1.34043300e-11	63
3.04577256e+01	23-05-19 14:49:25	6.86226400e-05	1.29050500e-11	-2.99926100e-01	-1.67724200e-11	64
3.09105267e+01	23-05-19 14:49:26	6.83716500e-05	1.36955800e-11	-2.99925600e-01	-1.43798500e-11	65
3.13636648e+01	23-05-19 14:49:26	6.89572100e-05	1.33507800e-11	-2.99925900e-01	-1.48592200e-11	66
3.18169298e+01	23-05-19 14:49:26	6.82880600e-05	1.34096700e-11	-2.99926000e-01	-1.59693000e-11	67
3.22701160e+01	23-05-19 14:49:27	6.76188000e-05	1.35400100e-11	-2.99925800e-01	-1.63771600e-11	68
3.27231655e+01	23-05-19 14:49:27	6.82878600e-05	1.35694700e-11	-2.99927000e-01	-1.53217600e-11	69
3.31769939e+01	23-05-19 14:49:28	6.84553200e-05	1.37880800e-11	-2.99925600e-01	-1.52166400e-11	70
3.36294510e+01	23-05-19 14:49:28	6.86225200e-05	1.32750600e-11	-2.99925800e-01	-1.67051500e-11	71
3.40827989e+01	23-05-19 14:49:29	6.82042800e-05	1.35652200e-11	-2.99926100e-01	-1.45312500e-11	72
3.45356162e+01	23-05-19 14:49:29	6.81206300e-05	1.37544700e-11	-2.99924900e-01	-1.40897400e-11	73
3.49871292e+01	23-05-19 14:49:30	6.79534000e-05	1.38764000e-11	-2.99925200e-01	-1.55362100e-11	74
3.54264192e+01	23-05-19 14:49:30	6.81207800e-05	1.36871600e-11	-2.99926700e-01	-1.77563800e-11	75
3.58795655e+01	23-05-19 14:49:31	6.87060800e-05	1.39773300e-11	-2.99925800e-01	-1.24582900e-11	76
3.63325664e+01	23-05-19 14:49:31	6.91243900e-05	1.37880800e-11	-2.99925500e-01	-1.47793700e-11	77
3.67858507e+01	23-05-19 14:49:31	6.94589400e-05	1.37923000e-11	-2.99926900e-01	-1.75839700e-11	78
3.72392620e+01	23-05-19 14:49:32	6.92916800e-05	1.37754700e-11	-2.99926700e-01	-1.32908500e-11	79
3.76922804e+01	23-05-19 14:49:32	6.86226400e-05	1.34517000e-11	-2.99926600e-01	-1.51787600e-11	80
3.81464989e+01	23-05-19 14:49:33	6.88735500e-05	1.35273900e-11	-2.99926500e-01	-1.77521500e-11	81
3.85982721e+01	23-05-19 14:49:33	6.86227000e-05	1.36156900e-11	-2.99927400e-01	-1.05829200e-11	82
3.90517529e+01	23-05-19 14:49:34	6.93752400e-05	1.37712600e-11	-2.99926500e-01	-1.44556000e-11	83
3.95044774e+01	23-05-19 14:49:34	6.85390200e-05	1.34643000e-11	-2.99926700e-01	-1.21429300e-11	84
3.99582726e+01	23-05-19 14:49:35	6.90407500e-05	1.35862600e-11	-2.99926700e-01	-1.11127400e-11	85
4.04107104e+01	23-05-19 14:49:35	6.92079800e-05	1.32540800e-11	-2.99926200e-01	-2.13599300e-11	86
4.08638959e+01	23-05-19 14:49:36	6.81206300e-05	1.34054300e-11	-2.99926800e-01	-1.53176100e-11	87
4.13176893e+01	23-05-19 14:49:36	6.93753200e-05	1.34601000e-11	-2.99926200e-01	-1.21933700e-11	88
4.17701188e+01	23-05-19 14:49:36	6.85388500e-05	1.37544500e-11	-2.99926100e-01	-1.59945300e-11	89
4.22232300e+01	23-05-19 14:49:37	6.91244700e-05	1.35358000e-11	-2.99925900e-01	-1.54184800e-11	90
4.26770867e+01	23-05-19 14:49:37	6.87062300e-05	1.33550000e-11	-2.99926000e-01	-1.40140500e-11	91
4.31298969e+01	23-05-19 14:49:38	6.95426400e-05	1.36241100e-11	-2.99926100e-01	-1.59566900e-11	92
4.35826704e+01	23-05-19 14:49:38	6.82879200e-05	1.33676000e-11	-2.99926900e-01	-1.63267300e-11	93
4.40352367e+01	23-05-19 14:49:39	6.87062300e-05	1.31657500e-11	-2.99926600e-01	-1.37533600e-11	94
4.44888351e+01	23-05-19 14:49:39	6.92080000e-05	1.35946400e-11	-2.99925500e-01	-1.56497400e-11	95
4.49420059e+01	23-05-19 14:49:40	6.81205400e-05	1.32120200e-11	-2.99926000e-01	-1.46994300e-11	96
4.53964759e+01	23-05-19 14:49:40	6.83715700e-05	1.36367100e-11	-2.99926900e-01	-1.32487700e-11	97
4.58484412e+01	23-05-19 14:49:41	6.82043600e-05	1.36114800e-11	-2.99926000e-01	-1.68985700e-11	98
4.63013408e+01	23-05-19 14:49:41	6.84550900e-05	1.33129100e-11	-2.99927000e-01	-1.56076800e-11	99
4.67545150e+01	23-05-19 14:49:41	6.95425000e-05	1.33381500e-11	-2.99926900e-01	-1.27399600e-11	100
4.72075398e+01	23-05-19 14:49:42	6.88733700e-05	1.35021500e-11	-2.99926000e-01	-1.62804500e-11	101
4.76606935e+01	23-05-19 14:49:42	6.92078300e-05	1.36199000e-11	-2.99926100e-01	-1.57548300e-11	102
4.81138064e+01	23-05-19 14:49:43	6.82041900e-05	1.38133400e-11	-2.99925800e-01	-1.38837000e-11	103
