Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Loop_TR Index
s		V	A	V/A	

2.12858492e-01	2023-05-22T18:49:33.656148	-3.00000000e-01	-1.57060000e-09	1.91009805e+08	1
5.14258860e-01	2023-05-22T18:49:33.957194	-3.00000000e-01	-1.78420000e-09	1.68142585e+08	2
5.64581280e-01	2023-05-22T18:49:34.007329	-3.00000000e-01	-6.23290000e-10	4.81316883e+08	3
1.05749000e+00	2023-05-22T18:49:34.498788	-3.00000000e-01	-4.82970000e-10	6.21156594e+08	4
1.43591021e+00	2023-05-22T18:49:34.878630	-3.00000000e-01	-4.02560000e-10	7.45230525e+08	5
1.80584139e+00	2023-05-22T18:49:35.248645	-3.00000000e-01	-3.07970000e-10	9.74120856e+08	6
2.17340376e+00	2023-05-22T18:49:35.608789	-3.00000000e-01	-3.38980000e-10	8.85007965e+08	7
2.54472366e+00	2023-05-22T18:49:35.978791	-3.00000000e-01	-2.01960000e-10	1.48544266e+09	8
2.91349053e+00	2023-05-22T18:49:36.348855	-3.00000000e-01	-3.01070000e-10	9.96446009e+08	9
3.28565966e+00	2023-05-22T18:49:36.729098	-3.00000000e-01	-1.62170000e-10	1.84991059e+09	10
3.65770941e+00	2023-05-22T18:49:37.099296	-3.00000000e-01	-2.53800000e-10	1.18203310e+09	11
4.02985557e+00	2023-05-22T18:49:37.469301	-3.00000000e-01	-1.58170000e-10	1.89669343e+09	12
4.40275372e+00	2023-05-22T18:49:37.839668	-3.00000000e-01	-1.93770000e-10	1.54822728e+09	13
4.77554398e+00	2023-05-22T18:49:38.209672	-3.00000000e-01	-1.78550000e-10	1.68020162e+09	14
5.14360686e+00	2023-05-22T18:49:38.579677	-3.00000000e-01	-1.34380000e-10	2.23247507e+09	15
5.51575876e+00	2023-05-22T18:49:38.949658	-3.00000000e-01	-1.99250000e-10	1.50564617e+09	16
5.89153978e+00	2023-05-22T18:49:39.329878	-3.00000000e-01	-9.08500000e-11	3.30214640e+09	17
6.25852615e+00	2023-05-22T18:49:39.699885	-3.00000000e-01	-2.03960000e-10	1.47087664e+09	18
6.63346697e+00	2023-05-22T18:49:40.069876	-3.00000000e-01	-9.92400000e-11	3.02297461e+09	19
7.00066010e+00	2023-05-22T18:49:40.439887	-3.00000000e-01	-1.79450000e-10	1.67177487e+09	20
7.37479723e+00	2023-05-22T18:49:40.809896	-3.00000000e-01	-9.49800000e-11	3.15855970e+09	21
7.74378442e+00	2023-05-22T18:49:41.179899	-3.00000000e-01	-1.33350000e-10	2.24971879e+09	22
8.11601467e+00	2023-05-22T18:49:41.549909	-3.00000000e-01	-1.21480000e-10	2.46954231e+09	23
8.49695303e+00	2023-05-22T18:49:41.939958	-3.00000000e-01	-8.37600000e-11	3.58166189e+09	24
8.86696052e+00	2023-05-22T18:49:42.309963	-3.00000000e-01	-1.60430000e-10	1.86997444e+09	25
9.22960145e+00	2023-05-22T18:49:42.670130	-3.00000000e-01	-5.04900000e-11	5.94177065e+09	26
9.60538248e+00	2023-05-22T18:49:43.040327	-3.00000000e-01	-1.67140000e-10	1.79490248e+09	27
9.97425807e+00	2023-05-22T18:49:43.410327	-3.00000000e-01	-4.76500000e-11	6.29590766e+09	28
1.03445687e+01	2023-05-22T18:49:43.780336	-3.00000000e-01	-1.46890000e-10	2.04234461e+09	29
1.07172622e+01	2023-05-22T18:49:44.160185	-3.00000000e-01	-7.44100000e-11	4.03171617e+09	30
1.10875811e+01	2023-05-22T18:49:44.530421	-3.00000000e-01	-1.04720000e-10	2.86478228e+09	31
1.14634687e+01	2023-05-22T18:49:44.900566	-3.00000000e-01	-1.14130000e-10	2.62858144e+09	32
1.18349146e+01	2023-05-22T18:49:45.270559	-3.00000000e-01	-6.06100000e-11	4.94967827e+09	33
1.22022300e+01	2023-05-22T18:49:45.640776	-3.00000000e-01	-1.75260000e-10	1.71174255e+09	34
1.25746297e+01	2023-05-22T18:49:46.011190	-3.00000000e-01	-3.34000000e-11	8.98203593e+09	35
1.29444165e+01	2023-05-22T18:49:46.381173	-3.00000000e-01	-1.55140000e-10	1.93373727e+09	36
1.33167136e+01	2023-05-22T18:49:46.751183	-3.00000000e-01	-3.72700000e-11	8.04936947e+09	37
1.36984437e+01	2023-05-22T18:49:47.141459	-3.00000000e-01	-1.18970000e-10	2.52164411e+09	38
1.40611561e+01	2023-05-22T18:49:47.501615	-3.00000000e-01	-6.78300000e-11	4.42282176e+09	39
1.44385104e+01	2023-05-22T18:49:47.881501	-3.00000000e-01	-8.78200000e-11	3.41607834e+09	40
1.48050800e+01	2023-05-22T18:49:48.241691	-3.00000000e-01	-1.08970000e-10	2.75305130e+09	41
1.51755190e+01	2023-05-22T18:49:48.611937	-3.00000000e-01	-4.24300000e-11	7.07046901e+09	42
1.55588943e+01	2023-05-22T18:49:49.001792	-3.00000000e-01	-1.41280000e-10	2.12344281e+09	43
1.59164674e+01	2023-05-22T18:49:49.352178	-3.00000000e-01	-2.21800000e-11	1.35256988e+10	44
1.62922800e+01	2023-05-22T18:49:49.732164	-3.00000000e-01	-1.43790000e-10	2.08637596e+09	45
1.66594128e+01	2023-05-22T18:49:50.102200	-3.00000000e-01	-3.20500000e-11	9.36037441e+09	46
1.70326880e+01	2023-05-22T18:49:50.472071	-3.00000000e-01	-1.15040000e-10	2.60778860e+09	47
1.74079660e+01	2023-05-22T18:49:50.842259	-3.00000000e-01	-6.80900000e-11	4.40593332e+09	48
1.77778213e+01	2023-05-22T18:49:51.212576	-3.00000000e-01	-7.03500000e-11	4.26439232e+09	49
1.81481829e+01	2023-05-22T18:49:51.582812	-3.00000000e-01	-1.09750000e-10	2.73348519e+09	50
1.85172894e+01	2023-05-22T18:49:51.953172	-3.00000000e-01	-2.99200000e-11	1.00267380e+10	51
1.88902151e+01	2023-05-22T18:49:52.333240	-3.00000000e-01	-1.36250000e-10	2.20183486e+09	52
1.92635473e+01	2023-05-22T18:49:52.703762	-3.00000000e-01	2.45000000e-12	-1.22448980e+11	53
1.96405180e+01	2023-05-22T18:49:53.083637	-3.00000000e-01	-1.32510000e-10	2.26398008e+09	54
2.00046564e+01	2023-05-22T18:49:53.443655	-3.00000000e-01	-3.21700000e-11	9.32545850e+09	55
2.03775439e+01	2023-05-22T18:49:53.813766	-3.00000000e-01	-9.89800000e-11	3.03091534e+09	56
2.07463239e+01	2023-05-22T18:49:54.183997	-3.00000000e-01	-6.74500000e-11	4.44773907e+09	57
2.11217185e+01	2023-05-22T18:49:54.563984	-3.00000000e-01	-5.45500000e-11	5.49954170e+09	58
2.14894552e+01	2023-05-22T18:49:54.924307	-3.00000000e-01	-1.11810000e-10	2.68312316e+09	59
2.18615874e+01	2023-05-22T18:49:55.304154	-3.00000000e-01	-1.77300000e-11	1.69204738e+10	60
2.22378669e+01	2023-05-22T18:49:55.674210	-3.00000000e-01	-1.31990000e-10	2.27289946e+09	61
2.26113390e+01	2023-05-22T18:49:56.054463	-3.00000000e-01	-9.54000000e-12	3.14465409e+10	62
2.29740443e+01	2023-05-22T18:49:56.414470	-3.00000000e-01	-1.22130000e-10	2.45639892e+09	63
2.33461466e+01	2023-05-22T18:49:56.784444	-3.00000000e-01	-3.30800000e-11	9.06892382e+09	64
2.37184105e+01	2023-05-22T18:49:57.154600	-3.00000000e-01	-8.56300000e-11	3.50344505e+09	65
2.40908184e+01	2023-05-22T18:49:57.534479	-3.00000000e-01	-7.43500000e-11	4.03496974e+09	66
2.44715040e+01	2023-05-22T18:49:57.914626	-3.00000000e-01	-4.11400000e-11	7.29217307e+09	67
2.48370602e+01	2023-05-22T18:49:58.274819	-3.00000000e-01	-1.31740000e-10	2.27721269e+09	68
2.52077323e+01	2023-05-22T18:49:58.644808	-3.00000000e-01	-9.09000000e-12	3.30033003e+10	69
2.55773763e+01	2023-05-22T18:49:59.014955	-3.00000000e-01	-1.28640000e-10	2.33208955e+09	70
2.59474589e+01	2023-05-22T18:49:59.384965	-3.00000000e-01	-7.74000000e-12	3.87596899e+10	71
2.63199427e+01	2023-05-22T18:49:59.755224	-3.00000000e-01	-1.05360000e-10	2.84738041e+09	72
2.66901750e+01	2023-05-22T18:50:00.125180	-3.00000000e-01	-3.72700000e-11	8.04936947e+09	73
2.70669809e+01	2023-05-22T18:50:00.505291	-3.00000000e-01	-7.19000000e-11	4.17246175e+09	74
2.74421149e+01	2023-05-22T18:50:00.885272	-3.00000000e-01	-8.01500000e-11	3.74298191e+09	75
2.78077339e+01	2023-05-22T18:50:01.245642	-3.00000000e-01	-2.65600000e-11	1.12951807e+10	76
2.81823059e+01	2023-05-22T18:50:01.625483	-3.00000000e-01	-1.15940000e-10	2.58754528e+09	77
2.85474531e+01	2023-05-22T18:50:01.986009	-3.00000000e-01	-2.38000000e-12	1.26050420e+11	78
2.89225884e+01	2023-05-22T18:50:02.365881	-3.00000000e-01	-1.24510000e-10	2.40944502e+09	79
2.92903075e+01	2023-05-22T18:50:02.726023	-3.00000000e-01	-8.19000000e-12	3.66300366e+10	80
2.96623088e+01	2023-05-22T18:50:03.106082	-3.00000000e-01	-1.01690000e-10	2.95014259e+09	81
3.00396541e+01	2023-05-22T18:50:03.476310	-3.00000000e-01	-4.21700000e-11	7.11406213e+09	82
3.04045950e+01	2023-05-22T18:50:03.846548	-3.00000000e-01	-9.02100000e-11	3.32557366e+09	83
3.07819173e+01	2023-05-22T18:50:04.216564	-3.00000000e-01	-8.46600000e-11	3.54358611e+09	84
3.11531712e+01	2023-05-22T18:50:04.596401	-3.00000000e-01	-1.88300000e-11	1.59320234e+10	85
3.15245481e+01	2023-05-22T18:50:04.967791	-3.00000000e-01	-1.17030000e-10	2.56344527e+09	86
3.19191233e+01	2023-05-22T18:50:05.363046	-3.00000000e-01	1.41900000e-11	-2.11416490e+10	87
3.22616289e+01	2023-05-22T18:50:05.705084	-3.00000000e-01	-1.21230000e-10	2.47463499e+09	88
3.26595318e+01	2023-05-22T18:50:06.103099	-3.00000000e-01	-9.03000000e-12	3.32225914e+10	89
3.30144320e+01	2023-05-22T18:50:06.457848	-3.00000000e-01	-9.49200000e-11	3.16055626e+09	90
3.33771562e+01	2023-05-22T18:50:06.820448	-3.00000000e-01	-4.12000000e-11	7.28155340e+09	91
3.37579723e+01	2023-05-22T18:50:07.201272	-3.00000000e-01	-5.25500000e-11	5.70884872e+09	92
3.41484019e+01	2023-05-22T18:50:07.591647	-3.00000000e-01	-8.61500000e-11	3.48229832e+09	93
3.44909801e+01	2023-05-22T18:50:07.934503	-3.00000000e-01	-1.24400000e-11	2.41157556e+10	94
3.48600571e+01	2023-05-22T18:50:08.304045	-3.00000000e-01	-1.14840000e-10	2.61233020e+09	95
3.52383813e+01	2023-05-22T18:50:08.681645	-3.00000000e-01	5.23000000e-12	-5.73613767e+10	96
3.56060405e+01	2023-05-22T18:50:09.046748	-3.00000000e-01	-1.17610000e-10	2.55080350e+09	97
3.59748546e+01	2023-05-22T18:50:09.418559	-3.00000000e-01	-7.67000000e-12	3.91134289e+10	98
3.63548580e+01	2023-05-22T18:50:09.798690	-3.00000000e-01	-9.02700000e-11	3.32336324e+09	99
3.67230144e+01	2023-05-22T18:50:10.166417	-3.00000000e-01	-4.24900000e-11	7.06048482e+09	100
3.70932262e+01	2023-05-22T18:50:10.536592	-3.00000000e-01	-4.83600000e-11	6.20347395e+09	101
3.74633030e+01	2023-05-22T18:50:10.906596	-3.00000000e-01	-6.72500000e-11	4.46096654e+09	102
3.78394414e+01	2023-05-22T18:50:11.282658	-3.00000000e-01	-9.80000000e-12	3.06122449e+10	103
3.82088700e+01	2023-05-22T18:50:11.652956	-3.00000000e-01	-1.13490000e-10	2.64340471e+09	104
3.85785558e+01	2023-05-22T18:50:12.021969	-3.00000000e-01	7.68000000e-12	-3.90625000e+10	105
3.89530876e+01	2023-05-22T18:50:12.392090	-3.00000000e-01	-1.11360000e-10	2.69396552e+09	106
3.93286873e+01	2023-05-22T18:50:12.771974	-3.00000000e-01	-3.35000000e-12	8.95522388e+10	107
3.96929574e+01	2023-05-22T18:50:13.131951	-3.00000000e-01	-9.09200000e-11	3.29960405e+09	108
4.00649156e+01	2023-05-22T18:50:13.502154	-3.00000000e-01	-3.69500000e-11	8.11907984e+09	109
4.04545198e+01	2023-05-22T18:50:13.898568	-3.00000000e-01	-5.00400000e-11	5.99520384e+09	110
4.08069634e+01	2023-05-22T18:50:14.249557	-3.00000000e-01	-7.67300000e-11	3.90981363e+09	111
4.12029471e+01	2023-05-22T18:50:14.639625	-3.00000000e-01	-1.32200000e-11	2.26928896e+10	112
