Time elapsed	Time stamp	Source Voltage	Source Current	Drain2 Voltage	Drain2 Current	Loop2 Index
s		V	A	V	A	

7.79398000e-01	23-05-22 13:01:44	7.35499800e-05	2.13816500e-04	-2.99926600e-01	-4.23731700e-04	1
1.25884690e+00	23-05-22 13:01:44	8.13294600e-05	4.63350200e-04	-2.99926000e-01	-4.56662300e-04	2
1.66361090e+00	23-05-22 13:01:45	8.08277700e-05	4.47216900e-04	-2.99927100e-01	-4.38996100e-04	3
2.06973770e+00	23-05-22 13:01:45	8.09948200e-05	4.31276400e-04	-2.99925900e-01	-4.19206900e-04	4
2.47590460e+00	23-05-22 13:01:45	7.99912900e-05	4.40107100e-04	-2.99927100e-01	-4.95767900e-04	5
2.86746900e+00	23-05-22 13:01:46	8.28353300e-05	5.00064500e-04	-2.99925900e-01	-5.12496800e-04	6
3.25711310e+00	23-05-22 13:01:46	8.29189400e-05	5.21915500e-04	-2.99926700e-01	-5.30461400e-04	7
3.66344970e+00	23-05-22 13:01:47	8.26681400e-05	5.31295900e-04	-2.99926900e-01	-5.34449500e-04	8
4.06961900e+00	23-05-22 13:01:47	8.19152600e-05	5.35064100e-04	-2.99927500e-01	-5.36675200e-04	9
4.47651630e+00	23-05-22 13:01:47	8.21662500e-05	5.37376200e-04	-2.99926800e-01	-5.39821500e-04	10
4.86781190e+00	23-05-22 13:01:48	8.26682700e-05	5.40048000e-04	-2.99927900e-01	-5.41221600e-04	11
5.25792760e+00	23-05-22 13:01:48	8.30863400e-05	5.40439500e-04	-2.99927100e-01	-5.41446400e-04	12
5.66336750e+00	23-05-22 13:01:49	8.36720400e-05	5.40701000e-04	-2.99927200e-01	-5.41928000e-04	13
6.07026660e+00	23-05-22 13:01:49	8.29191100e-05	5.41780500e-04	-2.99927100e-01	-5.41543700e-04	14
6.47537030e+00	23-05-22 13:01:49	8.29191100e-05	5.40540100e-04	-2.99926200e-01	-5.41506400e-04	15
6.86795320e+00	23-05-22 13:01:50	8.20827000e-05	5.40650600e-04	-2.99926800e-01	-5.41350200e-04	16
7.25714530e+00	23-05-22 13:01:50	8.29191100e-05	5.40257100e-04	-2.99927600e-01	-5.41192800e-04	17
7.66322070e+00	23-05-22 13:01:51	8.30027800e-05	5.39923300e-04	-2.99927300e-01	-5.40003000e-04	18
8.06963250e+00	23-05-22 13:01:51	8.30864300e-05	5.38338700e-04	-2.99925800e-01	-5.38884600e-04	19
8.47564300e+00	23-05-22 13:01:51	8.34209100e-05	5.37628100e-04	-2.99926500e-01	-5.37863200e-04	20
8.86777710e+00	23-05-22 13:01:52	8.21663400e-05	5.36723400e-04	-2.99926500e-01	-5.37937300e-04	21
9.25706070e+00	23-05-22 13:01:52	8.33374500e-05	5.37286700e-04	-2.99926500e-01	-5.38474600e-04	22
9.66333100e+00	23-05-22 13:01:53	8.30866300e-05	5.38154200e-04	-2.99926700e-01	-5.39643100e-04	23
1.00695513e+01	23-05-22 13:01:53	8.31702200e-05	5.39327900e-04	-2.99926600e-01	-5.40628100e-04	24
1.04761146e+01	23-05-22 13:01:53	8.36720800e-05	5.40371700e-04	-2.99926200e-01	-5.41777800e-04	25
1.08686192e+01	23-05-22 13:01:54	8.30028500e-05	5.41216600e-04	-2.99926100e-01	-5.42550400e-04	26
1.12579017e+01	23-05-22 13:01:54	8.32537800e-05	5.42118900e-04	-2.99926500e-01	-5.43335400e-04	27
1.16635721e+01	23-05-22 13:01:55	8.30864300e-05	5.42621900e-04	-2.99927700e-01	-5.43669100e-04	28
1.20696915e+01	23-05-22 13:01:55	8.22501300e-05	5.43336400e-04	-2.99926500e-01	-5.44734600e-04	29
1.24757938e+01	23-05-22 13:01:55	8.28357200e-05	5.43448200e-04	-2.99926800e-01	-5.44538400e-04	30
1.28678230e+01	23-05-22 13:01:56	8.32539500e-05	5.44066900e-04	-2.99927800e-01	-5.45231700e-04	31
1.32570121e+01	23-05-22 13:01:56	8.33375400e-05	5.44505200e-04	-2.99927200e-01	-5.45503000e-04	32
1.36633759e+01	23-05-22 13:01:57	8.36720400e-05	5.44791200e-04	-2.99926800e-01	-5.45736700e-04	33
1.40695580e+01	23-05-22 13:01:57	8.25848000e-05	5.44966400e-04	-2.99927800e-01	-5.45928300e-04	34
1.44759177e+01	23-05-22 13:01:57	8.26684100e-05	5.45016600e-04	-2.99926600e-01	-5.45895000e-04	35
1.48683654e+01	23-05-22 13:01:58	8.30029900e-05	5.45037400e-04	-2.99927000e-01	-5.45801100e-04	36
1.52570823e+01	23-05-22 13:01:58	8.33376000e-05	5.44858000e-04	-2.99927500e-01	-5.45754400e-04	37
1.56632119e+01	23-05-22 13:01:59	8.28357200e-05	5.44863000e-04	-2.99927400e-01	-5.45679000e-04	38
1.60699297e+01	23-05-22 13:01:59	8.23339200e-05	5.44764300e-04	-2.99927000e-01	-5.45578600e-04	39
1.64757786e+01	23-05-22 13:01:59	8.19992900e-05	5.44658800e-04	-2.99926500e-01	-5.45569600e-04	40
1.68681839e+01	23-05-22 13:02:00	8.22501600e-05	5.44676000e-04	-2.99927100e-01	-5.45585500e-04	41
1.72569843e+01	23-05-22 13:02:00	8.17482900e-05	5.44690700e-04	-2.99927200e-01	-5.45600900e-04	42
1.76632472e+01	23-05-22 13:02:01	8.25010900e-05	5.44747700e-04	-2.99926100e-01	-5.45644600e-04	43
1.80694796e+01	23-05-22 13:02:01	8.23336900e-05	5.44715600e-04	-2.99926300e-01	-5.45562500e-04	44
1.84765899e+01	23-05-22 13:02:01	8.18320000e-05	5.44669100e-04	-2.99927200e-01	-5.45544400e-04	45
1.88679640e+01	23-05-22 13:02:02	8.25011200e-05	5.44644300e-04	-2.99926900e-01	-5.45521300e-04	46
1.92577925e+01	23-05-22 13:02:02	8.16646800e-05	5.44548200e-04	-2.99926800e-01	-5.45421800e-04	47
1.96634256e+01	23-05-22 13:02:03	8.25847700e-05	5.44461400e-04	-2.99926800e-01	-5.45185100e-04	48
2.00696212e+01	23-05-22 13:02:03	8.25011500e-05	5.44174000e-04	-2.99926700e-01	-5.44924100e-04	49
2.04756488e+01	23-05-22 13:02:03	8.20830200e-05	5.43940100e-04	-2.99927400e-01	-5.44703500e-04	50
2.08677937e+01	23-05-22 13:02:04	8.23339200e-05	5.43693400e-04	-2.99926400e-01	-5.44461200e-04	51
2.12569468e+01	23-05-22 13:02:04	8.23338300e-05	5.43409800e-04	-2.99926500e-01	-5.44183500e-04	52
2.16631968e+01	23-05-22 13:02:05	8.28358800e-05	5.43181600e-04	-2.99926500e-01	-5.43978900e-04	53
2.20695021e+01	23-05-22 13:02:05	8.18320300e-05	5.43023400e-04	-2.99926800e-01	-5.43909700e-04	54
2.24755719e+01	23-05-22 13:02:05	8.28357500e-05	5.43098900e-04	-2.99926800e-01	-5.43992700e-04	55
2.28677432e+01	23-05-22 13:02:06	8.27522300e-05	5.43128800e-04	-2.99926800e-01	-5.43985500e-04	56
2.32726181e+01	23-05-22 13:02:06	8.27521700e-05	5.43129000e-04	-2.99927100e-01	-5.44070900e-04	57
2.36632837e+01	23-05-22 13:02:07	8.19157000e-05	5.43230600e-04	-2.99927000e-01	-5.44129200e-04	58
2.40694136e+01	23-05-22 13:02:07	8.20829500e-05	5.43275300e-04	-2.99927200e-01	-5.44210000e-04	59
2.44756431e+01	23-05-22 13:02:07	8.31704500e-05	5.43385500e-04	-2.99927500e-01	-5.44270800e-04	60
2.48680926e+01	23-05-22 13:02:08	8.25848500e-05	5.43411900e-04	-2.99926900e-01	-5.44409700e-04	61
2.52570118e+01	23-05-22 13:02:08	8.26684400e-05	5.43463600e-04	-2.99926700e-01	-5.44374500e-04	62
2.56631131e+01	23-05-22 13:02:09	8.25013000e-05	5.43561000e-04	-2.99926400e-01	-5.44479200e-04	63
2.60694236e+01	23-05-22 13:02:09	8.29194900e-05	5.43643100e-04	-2.99926700e-01	-5.44550500e-04	64
2.64754918e+01	23-05-22 13:02:09	8.32541900e-05	5.43727800e-04	-2.99926000e-01	-5.44591000e-04	65
2.68678744e+01	23-05-22 13:02:10	8.29196300e-05	5.43713100e-04	-2.99926300e-01	-5.44579500e-04	66
2.72568967e+01	23-05-22 13:02:10	8.27523200e-05	5.43762800e-04	-2.99926800e-01	-5.44668000e-04	67
2.76631125e+01	23-05-22 13:02:11	8.25013000e-05	5.43841600e-04	-2.99926700e-01	-5.44722700e-04	68
2.80695031e+01	23-05-22 13:02:11	8.26687600e-05	5.43907000e-04	-2.99928200e-01	-5.44796100e-04	69
2.84762593e+01	23-05-22 13:02:11	8.29196300e-05	5.43957800e-04	-2.99926800e-01	-5.44872900e-04	70
2.88675055e+01	23-05-22 13:02:12	8.30032200e-05	5.44032700e-04	-2.99926500e-01	-5.44920000e-04	71
2.92575434e+01	23-05-22 13:02:12	8.23340100e-05	5.44061500e-04	-2.99927300e-01	-5.44993800e-04	72
2.96631404e+01	23-05-22 13:02:13	8.25850000e-05	5.44145800e-04	-2.99927100e-01	-5.45076000e-04	73
3.00692864e+01	23-05-22 13:02:13	8.30033600e-05	5.44265400e-04	-2.99926500e-01	-5.45162700e-04	74
3.04758359e+01	23-05-22 13:02:13	8.25014700e-05	5.44325700e-04	-2.99927900e-01	-5.45214200e-04	75
3.08675816e+01	23-05-22 13:02:14	8.32541900e-05	5.44412800e-04	-2.99926700e-01	-5.45312700e-04	76
3.12725487e+01	23-05-22 13:02:14	8.22506600e-05	5.44528000e-04	-2.99927400e-01	-5.45452900e-04	77
3.16634581e+01	23-05-22 13:02:15	8.19158500e-05	5.44625900e-04	-2.99927400e-01	-5.45596600e-04	78
3.20702295e+01	23-05-22 13:02:15	8.30033600e-05	5.44796000e-04	-2.99926900e-01	-5.45695100e-04	79
3.24753907e+01	23-05-22 13:02:15	8.20831700e-05	5.44813000e-04	-2.99926600e-01	-5.45739400e-04	80
3.28675845e+01	23-05-22 13:02:16	8.17486400e-05	5.44845600e-04	-2.99927300e-01	-5.45793600e-04	81
3.32568488e+01	23-05-22 13:02:16	8.30870400e-05	5.44929000e-04	-2.99926800e-01	-5.45824100e-04	82
3.36634600e+01	23-05-22 13:02:17	8.24178800e-05	5.44972700e-04	-2.99927700e-01	-5.45913600e-04	83
3.40693516e+01	23-05-22 13:02:17	8.33380600e-05	5.45052800e-04	-2.99926500e-01	-5.45980400e-04	84
3.44759438e+01	23-05-22 13:02:17	8.33379700e-05	5.45162800e-04	-2.99927400e-01	-5.46065300e-04	85
3.48676354e+01	23-05-22 13:02:18	8.32541000e-05	5.45216700e-04	-2.99926900e-01	-5.46121900e-04	86
3.52569632e+01	23-05-22 13:02:18	8.33378900e-05	5.45204800e-04	-2.99928200e-01	-5.46143900e-04	87
3.56631532e+01	23-05-22 13:02:19	8.34216800e-05	5.45327300e-04	-2.99926600e-01	-5.46242800e-04	88
3.60696035e+01	23-05-22 13:02:19	8.37561600e-05	5.45394000e-04	-2.99927400e-01	-5.46288400e-04	89
3.64762989e+01	23-05-22 13:02:19	8.35889700e-05	5.45456400e-04	-2.99926900e-01	-5.46367500e-04	90
3.68675656e+01	23-05-22 13:02:20	8.39236300e-05	5.45508500e-04	-2.99926700e-01	-5.46407600e-04	91
3.72567681e+01	23-05-22 13:02:20	8.30869500e-05	5.45549900e-04	-2.99926400e-01	-5.46456800e-04	92
3.76633139e+01	23-05-22 13:02:21	8.40908100e-05	5.45598400e-04	-2.99928000e-01	-5.46480300e-04	93
3.80693153e+01	23-05-22 13:02:21	8.34216800e-05	5.45615100e-04	-2.99927100e-01	-5.46511300e-04	94
3.84750266e+01	23-05-22 13:02:21	8.27525800e-05	5.45627900e-04	-2.99927600e-01	-5.46521700e-04	95
3.88674723e+01	23-05-22 13:02:22	8.21669800e-05	5.45616100e-04	-2.99926300e-01	-5.46507000e-04	96
3.92567695e+01	23-05-22 13:02:22	8.25853500e-05	5.45621500e-04	-2.99926800e-01	-5.46490800e-04	97
3.96630145e+01	23-05-22 13:02:23	8.25853500e-05	5.45598100e-04	-2.99927300e-01	-5.46449200e-04	98
4.00693426e+01	23-05-22 13:02:23	8.20832400e-05	5.45588000e-04	-2.99927200e-01	-5.47034500e-04	99
4.04755783e+01	23-05-22 13:02:23	8.26688800e-05	5.45929000e-04	-2.99926700e-01	-5.46542000e-04	100
4.08674096e+01	23-05-22 13:02:24	8.19997500e-05	5.45573000e-04	-2.99927600e-01	-5.46466800e-04	101
4.12568479e+01	23-05-22 13:02:24	8.28362000e-05	5.45593000e-04	-2.99926600e-01	-5.46460900e-04	102
4.16637078e+01	23-05-22 13:02:25	8.23343000e-05	5.45557700e-04	-2.99928000e-01	-5.46424600e-04	103
