Time elapsed	Time stamp	Drain_TR Voltage	Drain_TR Current	Drain_TR Resistance	Loop_TR Index
s		V	A	V/A	

2.19433846e-01	2023-05-24T15:26:52.423860	-3.00000000e-01	-1.41660000e-08	2.11774672e+07	1
3.67901538e-01	2023-05-24T15:26:52.571997	-3.00000000e-01	-1.01490000e-08	2.95595625e+07	2
4.12983385e-01	2023-05-24T15:26:52.617089	-3.00000000e-01	-7.78140000e-09	3.85534737e+07	3
5.41904000e-01	2023-05-24T15:26:52.737020	-3.00000000e-01	-5.43040000e-09	5.52445492e+07	4
6.29578256e-01	2023-05-24T15:26:52.827084	-3.00000000e-01	-5.54180000e-09	5.41340359e+07	5
7.14322051e-01	2023-05-24T15:26:52.917098	-3.00000000e-01	-3.34300000e-09	8.97397547e+07	6
8.13164718e-01	2023-05-24T15:26:53.017044	-3.00000000e-01	-3.20150000e-09	9.37060753e+07	7
9.03152000e-01	2023-05-24T15:26:53.107012	-3.00000000e-01	-3.78610000e-09	7.92372098e+07	8
9.86996923e-01	2023-05-24T15:26:53.187038	-3.00000000e-01	-2.29250000e-09	1.30861505e+08	9
1.07416615e+00	2023-05-24T15:26:53.277042	-3.00000000e-01	-2.30260000e-09	1.30287501e+08	10
1.14825477e+00	2023-05-24T15:26:53.347097	-3.00000000e-01	-3.71960000e-09	8.06538337e+07	11
1.24443610e+00	2023-05-24T15:26:53.447061	-3.00000000e-01	-1.67510000e-09	1.79093785e+08	12
1.32721928e+00	2023-05-24T15:26:53.527055	-3.00000000e-01	-2.73630000e-09	1.09637101e+08	13
1.40896574e+00	2023-05-24T15:26:53.607063	-3.00000000e-01	-3.36800000e-09	8.90736342e+07	14
1.49322462e+00	2023-05-24T15:26:53.697018	-3.00000000e-01	-1.83450000e-09	1.63532298e+08	15
1.57917374e+00	2023-05-24T15:26:53.777018	-3.00000000e-01	-2.15750000e-09	1.39049826e+08	16
1.66600615e+00	2023-05-24T15:26:53.867176	-3.00000000e-01	-2.98360000e-09	1.00549672e+08	17
1.75309210e+00	2023-05-24T15:26:53.957019	-3.00000000e-01	-2.18610000e-09	1.37230685e+08	18
1.84024000e+00	2023-05-24T15:26:54.037167	-3.00000000e-01	-5.72050000e-09	5.24429683e+07	19
1.92971323e+00	2023-05-24T15:26:54.127044	-3.00000000e-01	-2.47260000e-09	1.21329774e+08	20
2.02432082e+00	2023-05-24T15:26:54.227052	-3.00000000e-01	-1.62150000e-09	1.85013876e+08	21
2.10901990e+00	2023-05-24T15:26:54.307048	-3.00000000e-01	-1.08130000e-09	2.77443818e+08	22
2.19148431e+00	2023-05-24T15:26:54.387052	-3.00000000e-01	-2.57620000e-09	1.16450586e+08	23
2.28300882e+00	2023-05-24T15:26:54.487021	-3.00000000e-01	-1.42720000e-09	2.10201794e+08	24
2.37302933e+00	2023-05-24T15:26:54.577035	-3.00000000e-01	-9.14800000e-10	3.27940533e+08	25
3.51038974e+00	2023-05-24T15:26:55.707184	-3.00000000e-01	-9.06930000e-10	3.30786279e+08	26
3.88236595e+00	2023-05-24T15:26:56.087060	-3.00000000e-01	-8.46050000e-10	3.54588972e+08	27
4.26315036e+00	2023-05-24T15:26:56.467062	-3.00000000e-01	-7.33520000e-10	4.08986803e+08	28
4.62559385e+00	2023-05-24T15:26:56.827192	-3.00000000e-01	-7.87360000e-10	3.81020118e+08	29
5.00320903e+00	2023-05-24T15:26:57.207242	-3.00000000e-01	-6.40780000e-10	4.68179406e+08	30
5.37023262e+00	2023-05-24T15:26:57.567244	-3.00000000e-01	-7.17500000e-10	4.18118467e+08	31
5.74080656e+00	2023-05-24T15:26:57.937594	-3.00000000e-01	-9.57810000e-10	3.13214521e+08	32
6.11352451e+00	2023-05-24T15:26:58.317477	-3.00000000e-01	-6.48710000e-10	4.62456259e+08	33
6.48223918e+00	2023-05-24T15:26:58.677605	-3.00000000e-01	-6.67540000e-10	4.49411271e+08	34
6.85470974e+00	2023-05-24T15:26:59.057691	-3.00000000e-01	-5.61580000e-10	5.34207059e+08	35
7.22514256e+00	2023-05-24T15:26:59.427995	-3.00000000e-01	-5.28630000e-10	5.67504682e+08	36
7.59824821e+00	2023-05-24T15:26:59.797997	-3.00000000e-01	-4.99510000e-10	6.00588577e+08	37
7.97401190e+00	2023-05-24T15:27:00.178073	-3.00000000e-01	-6.06510000e-10	4.94633229e+08	38
8.34136944e+00	2023-05-24T15:27:00.538196	-3.00000000e-01	-5.32820000e-10	5.63041928e+08	39
8.71130010e+00	2023-05-24T15:27:00.908197	-3.00000000e-01	-4.29630000e-10	6.98275260e+08	40
9.08338462e+00	2023-05-24T15:27:01.278520	-3.00000000e-01	-5.87440000e-10	5.10690453e+08	41
9.46444923e+00	2023-05-24T15:27:01.668379	-3.00000000e-01	-4.42500000e-10	6.77966102e+08	42
9.83452923e+00	2023-05-24T15:27:02.038608	-3.00000000e-01	-5.85310000e-10	5.12548906e+08	43
1.01973469e+01	2023-05-24T15:27:02.398735	-3.00000000e-01	-4.32020000e-10	6.94412296e+08	44
1.05693362e+01	2023-05-24T15:27:02.768734	-3.00000000e-01	-5.33140000e-10	5.62703980e+08	45
1.09506474e+01	2023-05-24T15:27:03.148822	-3.00000000e-01	-4.77420000e-10	6.28377529e+08	46
1.13130663e+01	2023-05-24T15:27:03.508891	-3.00000000e-01	-6.25340000e-10	4.79739022e+08	47
1.16823126e+01	2023-05-24T15:27:03.879184	-3.00000000e-01	-5.24690000e-10	5.71766186e+08	48
1.20552890e+01	2023-05-24T15:27:04.259148	-3.00000000e-01	-3.83780000e-10	7.81697848e+08	49
1.24295668e+01	2023-05-24T15:27:04.629068	-3.00000000e-01	-5.25600000e-10	5.70776256e+08	50
1.28050462e+01	2023-05-24T15:27:05.009067	-3.00000000e-01	-2.07350000e-10	1.44682903e+09	51
1.31750962e+01	2023-05-24T15:27:05.379071	-3.00000000e-01	-3.93780000e-10	7.61846716e+08	52
1.35449924e+01	2023-05-24T15:27:05.749083	-3.00000000e-01	-4.70840000e-10	6.37159120e+08	53
1.39150950e+01	2023-05-24T15:27:06.119040	-3.00000000e-01	-3.63980000e-10	8.24221111e+08	54
1.42852825e+01	2023-05-24T15:27:06.489090	-3.00000000e-01	-4.21960000e-10	7.10967864e+08	55
1.46552037e+01	2023-05-24T15:27:06.859141	-3.00000000e-01	-3.50050000e-10	8.57020426e+08	56
1.50353694e+01	2023-05-24T15:27:07.239314	-3.00000000e-01	-4.57140000e-10	6.56254102e+08	57
1.54005690e+01	2023-05-24T15:27:07.599480	-3.00000000e-01	-3.92420000e-10	7.64487029e+08	58
1.57754872e+01	2023-05-24T15:27:07.979482	-3.00000000e-01	-3.75400000e-10	7.99147576e+08	59
1.61456968e+01	2023-05-24T15:27:08.349711	-3.00000000e-01	-4.30210000e-10	6.97333860e+08	60
1.65161744e+01	2023-05-24T15:27:08.719908	-3.00000000e-01	-3.13550000e-10	9.56785202e+08	61
1.68835594e+01	2023-05-24T15:27:09.080029	-3.00000000e-01	-4.01990000e-10	7.46287221e+08	62
1.72558314e+01	2023-05-24T15:27:09.460106	-3.00000000e-01	-2.82980000e-10	1.06014559e+09	63
1.76285547e+01	2023-05-24T15:27:09.830239	-3.00000000e-01	-3.99160000e-10	7.51578314e+08	64
1.80009982e+01	2023-05-24T15:27:10.200120	-3.00000000e-01	-3.44010000e-10	8.72067672e+08	65
1.83724886e+01	2023-05-24T15:27:10.570287	-3.00000000e-01	-1.12600000e-10	2.66429840e+09	66
1.87462302e+01	2023-05-24T15:27:10.950322	-3.00000000e-01	-4.06290000e-10	7.38388836e+08	67
1.91162269e+01	2023-05-24T15:27:11.320347	-3.00000000e-01	-3.05120000e-10	9.83219717e+08	68
1.94847594e+01	2023-05-24T15:27:11.680451	-3.00000000e-01	-4.20670000e-10	7.13148073e+08	69
1.98664115e+01	2023-05-24T15:27:12.070524	-3.00000000e-01	-2.43640000e-10	1.23132491e+09	70
2.02281662e+01	2023-05-24T15:27:12.430656	-3.00000000e-01	-3.57990000e-10	8.38012235e+08	71
2.06034191e+01	2023-05-24T15:27:12.800652	-3.00000000e-01	-3.57150000e-10	8.39983200e+08	72
2.09737653e+01	2023-05-24T15:27:13.170655	-3.00000000e-01	-3.38120000e-10	8.87258961e+08	73
2.19982170e+01	2023-05-24T15:27:14.201119	-3.00000000e-01	-2.72080000e-10	1.10261688e+09	74
2.23750962e+01	2023-05-24T15:27:14.570999	-3.00000000e-01	-3.32060000e-10	9.03451184e+08	75
2.32868554e+01	2023-05-24T15:27:15.490972	-3.00000000e-01	-2.16880000e-10	1.38325341e+09	76
2.36469649e+01	2023-05-24T15:27:15.850974	-3.00000000e-01	-3.70750000e-10	8.09170600e+08	77
2.40171664e+01	2023-05-24T15:27:16.221127	-3.00000000e-01	-1.98560000e-10	1.51087832e+09	78
2.43970449e+01	2023-05-24T15:27:16.601153	-3.00000000e-01	-3.29030000e-10	9.11770963e+08	79
2.47602626e+01	2023-05-24T15:27:16.961288	-3.00000000e-01	-3.50760000e-10	8.55285665e+08	80
2.51322384e+01	2023-05-24T15:27:17.331283	-3.00000000e-01	-2.60860000e-10	1.15004217e+09	81
2.55075097e+01	2023-05-24T15:27:17.711172	-3.00000000e-01	-3.08260000e-10	9.73204438e+08	82
2.58757883e+01	2023-05-24T15:27:18.071287	-3.00000000e-01	-2.17330000e-10	1.38038927e+09	83
2.62454679e+01	2023-05-24T15:27:18.441288	-3.00000000e-01	-3.60180000e-10	8.32916875e+08	84
2.66214314e+01	2023-05-24T15:27:18.821140	-3.00000000e-01	-1.38780000e-10	2.16169477e+09	85
2.69916148e+01	2023-05-24T15:27:19.191175	-3.00000000e-01	-2.98070000e-10	1.00647499e+09	86
2.73672525e+01	2023-05-24T15:27:19.571337	-3.00000000e-01	-3.10910000e-10	9.64909459e+08	87
2.77373801e+01	2023-05-24T15:27:19.941339	-3.00000000e-01	-2.14110000e-10	1.40114894e+09	88
2.81051192e+01	2023-05-24T15:27:20.301714	-3.00000000e-01	-1.36850000e-10	2.19218122e+09	89
2.84776960e+01	2023-05-24T15:27:20.681598	-3.00000000e-01	-2.07850000e-10	1.44334857e+09	90
2.88473768e+01	2023-05-24T15:27:21.051567	-3.00000000e-01	-3.40960000e-10	8.79868606e+08	91
2.92231902e+01	2023-05-24T15:27:21.421727	-3.00000000e-01	-2.63180000e-10	1.13990425e+09	92
2.95973994e+01	2023-05-24T15:27:21.801583	-3.00000000e-01	-1.93600000e-10	1.54958678e+09	93
2.99674289e+01	2023-05-24T15:27:22.171616	-3.00000000e-01	-2.90850000e-10	1.03145952e+09	94
3.03339762e+01	2023-05-24T15:27:22.531733	-3.00000000e-01	-2.17460000e-10	1.37956406e+09	95
3.07075389e+01	2023-05-24T15:27:22.911615	-3.00000000e-01	-1.72510000e-10	1.73902962e+09	96
3.17373887e+01	2023-05-24T15:27:23.941609	-3.00000000e-01	-2.29580000e-10	1.30673404e+09	97
3.21074285e+01	2023-05-24T15:27:24.311617	-3.00000000e-01	-1.93150000e-10	1.55319700e+09	98
3.31293600e+01	2023-05-24T15:27:25.331896	-3.00000000e-01	-2.43320000e-10	1.23294427e+09	99
3.35043742e+01	2023-05-24T15:27:25.702092	-3.00000000e-01	-1.39230000e-10	2.15470804e+09	100
3.45365251e+01	2023-05-24T15:27:26.731975	-3.00000000e-01	-3.04720000e-10	9.84510370e+08	101
3.49028484e+01	2023-05-24T15:27:27.102180	-3.00000000e-01	-1.47290000e-10	2.03679815e+09	102
3.59281559e+01	2023-05-24T15:27:28.132282	-3.00000000e-01	-3.03430000e-10	9.88695910e+08	103
3.63080837e+01	2023-05-24T15:27:28.512289	-3.00000000e-01	-9.16900000e-10	3.27189443e+08	104
3.69166864e+01	2023-05-24T15:27:29.112440	-3.00000000e-01	-1.87470000e-10	1.60025604e+09	105
3.74107475e+01	2023-05-24T15:27:29.612464	-3.00000000e-01	-2.29580000e-10	1.30673404e+09	106
3.77837321e+01	2023-05-24T15:27:29.982451	-3.00000000e-01	4.72700000e-11	-6.34651999e+09	107
3.81570794e+01	2023-05-24T15:27:30.352437	-3.00000000e-01	-1.64380000e-10	1.82503954e+09	108
3.85258076e+01	2023-05-24T15:27:30.722450	-3.00000000e-01	-2.96330000e-10	1.01238484e+09	109
3.88983844e+01	2023-05-24T15:27:31.102454	-3.00000000e-01	-1.64130000e-10	1.82781941e+09	110
3.92882014e+01	2023-05-24T15:27:31.492303	-3.00000000e-01	-1.47750000e-10	2.03045685e+09	111
3.96406084e+01	2023-05-24T15:27:31.842463	-3.00000000e-01	-1.87280000e-10	1.60187954e+09	112
